name,tree,repl,model,logl,df,aic,aicc,bic
HA,yeast,1,Dayhoff,84009.073,189,168396.145,168588.178,169215.471
HA,yeast,1,Dayhoff+G4,82370.706,190,165121.412,165315.997,165945.073
HA,yeast,1,Dayhoff+F,82739.155,208,165894.309,166139.222,166796.000
HA,yeast,1,Dayhoff+F+G4,81087.678,209,162593.356,162841.322,163499.382
HA,yeast,1,mtMAM,91837.564,189,184053.128,184245.161,184872.454
HA,yeast,1,mtMAM+G4,87964.186,190,176308.372,176502.957,177132.032
HA,yeast,1,mtMAM+F,87958.372,208,176332.743,176577.656,177234.435
HA,yeast,1,mtMAM+F+G4,84891.426,209,170200.852,170448.818,171106.878
HA,yeast,1,JTT,81299.744,189,162977.489,163169.521,163796.814
HA,yeast,1,JTT+G4,79953.855,190,160287.711,160482.295,161111.371
HA,yeast,1,JTT+F,80882.073,208,162180.146,162425.058,163081.837
HA,yeast,1,JTT+F+G4,79464.575,209,159347.150,159595.116,160253.176
HA,yeast,1,WAG,81928.370,189,164234.740,164426.772,165054.065
HA,yeast,1,WAG+G4,80722.815,190,161825.631,162020.215,162649.291
HA,yeast,1,WAG+F,81056.032,208,162528.064,162772.977,163429.755
HA,yeast,1,WAG+F+G4,79814.018,209,160046.036,160294.002,160952.062
HA,yeast,1,cpREV,82840.483,189,166058.966,166250.998,166878.292
HA,yeast,1,cpREV+G4,81322.006,190,163024.012,163218.596,163847.672
HA,yeast,1,cpREV+F,82234.904,208,164885.809,165130.722,165787.500
HA,yeast,1,cpREV+F+G4,80657.552,209,161733.104,161981.070,162639.130
HA,yeast,1,mtREV,88161.109,189,176700.218,176892.250,177519.543
HA,yeast,1,mtREV+G4,85533.974,190,171447.948,171642.532,172271.608
HA,yeast,1,mtREV+F,84812.591,208,170041.181,170286.094,170942.873
HA,yeast,1,mtREV+F+G4,82514.402,209,165446.805,165694.771,166352.831
HA,yeast,1,rtREV,84839.439,189,170056.877,170248.909,170876.203
HA,yeast,1,rtREV+G4,83337.520,190,167055.039,167249.623,167878.699
HA,yeast,1,rtREV+F,84005.789,208,168427.578,168672.490,169329.269
HA,yeast,1,rtREV+F+G4,82307.954,209,165033.908,165281.874,165939.934
HA,yeast,1,mtART,94197.996,189,188773.993,188966.025,189593.318
HA,yeast,1,mtART+G4,89822.740,190,180025.480,180220.064,180849.140
HA,yeast,1,mtART+F,90732.743,208,181881.487,182126.399,182783.178
HA,yeast,1,mtART+F+G4,86857.199,209,174132.397,174380.363,175038.424
HA,yeast,1,mtZOA,89473.292,189,179324.584,179516.616,180143.909
HA,yeast,1,mtZOA+G4,86229.861,190,172839.722,173034.306,173663.382
HA,yeast,1,mtZOA+F,87255.444,208,174926.888,175171.801,175828.580
HA,yeast,1,mtZOA+F+G4,84331.538,209,169081.075,169329.041,169987.101
HA,yeast,1,VT,81852.130,189,164082.261,164274.293,164901.586
HA,yeast,1,VT+G4,80683.997,190,161747.994,161942.579,162571.655
HA,yeast,1,VT+F,81180.913,208,162777.826,163022.739,163679.518
HA,yeast,1,VT+F+G4,79962.440,209,160342.881,160590.847,161248.907
HA,yeast,1,LG,83640.071,189,167658.142,167850.174,168477.467
HA,yeast,1,LG+G4,82189.953,190,164759.907,164954.491,165583.567
HA,yeast,1,LG+F,83058.101,208,166532.202,166777.115,167433.893
HA,yeast,1,LG+F+G4,81452.322,209,163322.643,163570.609,164228.670
HA,yeast,1,DCMut,83990.521,189,168359.041,168551.074,169178.367
HA,yeast,1,DCMut+G4,82358.255,190,165096.510,165291.094,165920.170
HA,yeast,1,DCMut+F,82722.700,208,165861.400,166106.313,166763.092
HA,yeast,1,DCMut+F+G4,81076.934,209,162571.868,162819.835,163477.895
HA,yeast,1,PMB,82368.249,189,165114.499,165306.531,165933.824
HA,yeast,1,PMB+G4,81206.748,190,162793.497,162988.081,163617.157
HA,yeast,1,PMB+F,82066.277,208,164548.554,164793.467,165450.245
HA,yeast,1,PMB+F+G4,80851.679,209,162121.359,162369.325,163027.385
HA,yeast,1,HIVb,82463.988,189,165305.977,165498.009,166125.302
HA,yeast,1,HIVb+G4,80787.303,190,161954.606,162149.191,162778.267
HA,yeast,1,HIVb+F,82158.040,208,164732.081,164976.993,165633.772
HA,yeast,1,HIVb+F+G4,80377.664,209,161173.328,161421.294,162079.355
HA,yeast,1,HIVw,85163.100,189,170704.201,170896.233,171523.526
HA,yeast,1,HIVw+G4,83384.833,190,167149.666,167344.250,167973.326
HA,yeast,1,HIVw+F,83123.317,208,166662.634,166907.547,167564.325
HA,yeast,1,HIVw+F+G4,81407.391,209,163232.781,163480.747,164138.808
HA,yeast,1,JTTDCMut,81371.783,189,163121.567,163313.599,163940.892
HA,yeast,1,JTTDCMut+G4,80025.945,190,160431.890,160626.474,161255.550
HA,yeast,1,JTTDCMut+F,80914.088,208,162244.175,162489.088,163145.867
HA,yeast,1,JTTDCMut+F+G4,79496.509,209,159411.017,159658.983,160317.043
HA,yeast,1,FLU,84313.284,189,169004.569,169196.601,169823.894
HA,yeast,1,FLU+G4,82614.880,190,165609.761,165804.345,166433.421
HA,yeast,1,FLU+F,83015.655,208,166447.310,166692.223,167349.002
HA,yeast,1,FLU+F+G4,81262.714,209,162943.428,163191.394,163849.454
HA,yeast,1,Blosum62,83048.979,189,166475.959,166667.991,167295.284
HA,yeast,1,Blosum62+G4,81833.058,190,164046.116,164240.700,164869.776
HA,yeast,1,Blosum62+F,82479.686,208,165375.372,165620.285,166277.063
HA,yeast,1,Blosum62+F+G4,81214.323,209,162846.646,163094.612,163752.673
HA,yeast,1,mtMet,87492.728,189,175363.456,175555.488,176182.781
HA,yeast,1,mtMet+G4,84984.499,190,170348.999,170543.583,171172.659
HA,yeast,1,mtMet+F,84202.317,208,168820.635,169065.547,169722.326
HA,yeast,1,mtMet+F+G4,81989.951,209,164397.902,164645.868,165303.929
HA,yeast,1,mtVer,88016.371,189,176410.742,176602.774,177230.067
HA,yeast,1,mtVer+G4,85233.389,190,170846.779,171041.363,171670.439
HA,yeast,1,mtVer+F,84587.881,208,169591.762,169836.675,170493.453
HA,yeast,1,mtVer+F+G4,82400.064,209,165218.127,165466.093,166124.154
HA,yeast,1,mtInv,87748.916,189,175875.831,176067.863,176695.156
HA,yeast,1,mtInv+G4,85498.222,190,171376.444,171571.028,172200.104
HA,yeast,1,mtInv+F,83689.470,208,167794.941,168039.854,168696.632
HA,yeast,1,mtInv+F+G4,81662.675,209,163743.350,163991.316,164649.376
HA,yeast,2,Dayhoff,82934.373,189,166246.746,166438.778,167066.071
HA,yeast,2,Dayhoff+G4,81245.220,190,162870.440,163065.024,163694.100
HA,yeast,2,Dayhoff+F,81906.639,208,164229.277,164474.190,165130.969
HA,yeast,2,Dayhoff+F+G4,80244.987,209,160907.973,161155.939,161813.999
HA,yeast,2,mtMAM,90473.635,189,181325.270,181517.302,182144.595
HA,yeast,2,mtMAM+G4,87006.611,190,174393.221,174587.806,175216.882
HA,yeast,2,mtMAM+F,86769.593,208,173955.187,174200.099,174856.878
HA,yeast,2,mtMAM+F+G4,83953.532,209,168325.064,168573.030,169231.091
HA,yeast,2,JTT,80311.363,189,161000.727,161192.759,161820.052
HA,yeast,2,JTT+G4,79024.224,190,158428.447,158623.032,159252.107
HA,yeast,2,JTT+F,80028.845,208,160473.690,160718.603,161375.381
HA,yeast,2,JTT+F+G4,78657.039,209,157732.078,157980.044,158638.104
HA,yeast,2,WAG,80972.701,189,162323.402,162515.434,163142.728
HA,yeast,2,WAG+G4,79742.423,190,159864.847,160059.431,160688.507
HA,yeast,2,WAG+F,80272.145,208,160960.290,161205.203,161861.982
HA,yeast,2,WAG+F+G4,79027.162,209,158472.323,158720.289,159378.350
HA,yeast,2,cpREV,81555.213,189,163488.426,163680.458,164307.751
HA,yeast,2,cpREV+G4,80126.125,190,160632.250,160826.835,161455.911
HA,yeast,2,cpREV+F,81156.612,208,162729.223,162974.136,163630.915
HA,yeast,2,cpREV+F+G4,79670.877,209,159759.754,160007.721,160665.781
HA,yeast,2,mtREV,86938.294,189,174254.587,174446.619,175073.912
HA,yeast,2,mtREV+G4,84569.820,190,169519.640,169714.225,170343.301
HA,yeast,2,mtREV+F,83838.607,208,168093.213,168338.126,168994.904
HA,yeast,2,mtREV+F+G4,81688.367,209,163794.734,164042.700,164700.760
HA,yeast,2,rtREV,83800.930,189,167979.861,168171.893,168799.186
HA,yeast,2,rtREV+G4,82308.920,190,164997.840,165192.424,165821.500
HA,yeast,2,rtREV+F,83139.763,208,166695.526,166940.439,167597.217
HA,yeast,2,rtREV+F+G4,81470.986,209,163359.972,163607.938,164265.998
HA,yeast,2,mtART,92529.151,189,185436.301,185628.334,186255.627
HA,yeast,2,mtART+G4,88779.876,190,177939.753,178134.337,178763.413
HA,yeast,2,mtART+F,89422.141,208,179260.282,179505.195,180161.973
HA,yeast,2,mtART+F+G4,85990.343,209,172398.686,172646.652,173304.712
HA,yeast,2,mtZOA,88165.053,189,176708.105,176900.137,177527.431
HA,yeast,2,mtZOA+G4,85308.855,190,170997.711,171192.295,171821.371
HA,yeast,2,mtZOA+F,86262.166,208,172940.333,173185.245,173842.024
HA,yeast,2,mtZOA+F+G4,83614.391,209,167646.782,167894.748,168552.808
HA,yeast,2,VT,80884.738,189,162147.476,162339.508,162966.802
HA,yeast,2,VT+G4,79731.770,190,159843.539,160038.124,160667.200
HA,yeast,2,VT+F,80389.805,208,161195.609,161440.522,162097.300
HA,yeast,2,VT+F+G4,79184.025,209,158786.051,159034.017,159692.077
HA,yeast,2,LG,82509.486,189,165396.972,165589.004,166216.297
HA,yeast,2,LG+G4,81084.158,190,162548.316,162742.900,163371.976
HA,yeast,2,LG+F,82153.289,208,164722.578,164967.490,165624.269
HA,yeast,2,LG+F+G4,80584.386,209,161586.773,161834.739,162492.799
HA,yeast,2,DCMut,82914.513,189,166207.026,166399.058,167026.351
HA,yeast,2,DCMut+G4,81232.875,190,162845.750,163040.334,163669.410
HA,yeast,2,DCMut+F,81888.417,208,164192.833,164437.746,165094.525
HA,yeast,2,DCMut+F+G4,80233.497,209,160884.994,161132.960,161791.020
HA,yeast,2,PMB,81375.878,189,163129.755,163321.787,163949.081
HA,yeast,2,PMB+G4,80229.334,190,160838.667,161033.252,161662.328
HA,yeast,2,PMB+F,81200.374,208,162816.748,163061.661,163718.440
HA,yeast,2,PMB+F+G4,80001.574,209,160421.148,160669.114,161327.174
HA,yeast,2,HIVb,81383.592,189,163145.184,163337.216,163964.509
HA,yeast,2,HIVb+G4,79895.637,190,160171.275,160365.859,160994.935
HA,yeast,2,HIVb+F,81048.587,208,162513.173,162758.086,163414.864
HA,yeast,2,HIVb+F+G4,79422.808,209,159263.616,159511.583,160169.643
HA,yeast,2,HIVw,84243.484,189,168864.968,169057.000,169684.293
HA,yeast,2,HIVw+G4,82613.685,190,165607.370,165801.954,166431.030
HA,yeast,2,HIVw+F,82280.694,208,164977.387,165222.300,165879.079
HA,yeast,2,HIVw+F+G4,80631.570,209,161681.140,161929.106,162587.167
HA,yeast,2,JTTDCMut,80376.098,189,161130.195,161322.227,161949.520
HA,yeast,2,JTTDCMut+G4,79088.210,190,158556.419,158751.004,159380.080
HA,yeast,2,JTTDCMut+F,80062.773,208,160541.546,160786.458,161443.237
HA,yeast,2,JTTDCMut+F+G4,78690.630,209,157799.260,158047.226,158705.286
HA,yeast,2,FLU,83122.482,189,166622.963,166814.995,167442.288
HA,yeast,2,FLU+G4,81577.347,190,163534.694,163729.278,164358.354
HA,yeast,2,FLU+F,81980.067,208,164376.134,164621.047,165277.825
HA,yeast,2,FLU+F+G4,80343.712,209,161105.424,161353.390,162011.450
HA,yeast,2,Blosum62,82108.767,189,164595.533,164787.566,165414.859
HA,yeast,2,Blosum62+G4,80897.809,190,162175.619,162370.203,162999.279
HA,yeast,2,Blosum62+F,81676.177,208,163768.353,164013.266,164670.045
HA,yeast,2,Blosum62+F+G4,80414.148,209,161246.295,161494.261,162152.321
HA,yeast,2,mtMet,86439.427,189,173256.854,173448.887,174076.180
HA,yeast,2,mtMet+G4,84223.651,190,168827.301,169021.886,169650.962
HA,yeast,2,mtMet+F,83398.325,208,167212.650,167457.563,168114.341
HA,yeast,2,mtMet+F+G4,81316.647,209,163051.293,163299.259,163957.320
HA,yeast,2,mtVer,87005.289,189,174388.577,174580.610,175207.903
HA,yeast,2,mtVer+G4,84520.495,190,169420.990,169615.575,170244.651
HA,yeast,2,mtVer+F,83734.129,208,167884.259,168129.172,168785.950
HA,yeast,2,mtVer+F+G4,81650.663,209,163719.327,163967.293,164625.353
HA,yeast,2,mtInv,86684.495,189,173746.990,173939.022,174566.315
HA,yeast,2,mtInv+G4,84683.371,190,169746.742,169941.326,170570.402
HA,yeast,2,mtInv+F,82904.458,208,166224.916,166469.828,167126.607
HA,yeast,2,mtInv+F+G4,80985.495,209,162388.989,162636.956,163295.016
HA,yeast,3,Dayhoff,84726.929,189,169831.858,170023.890,170651.184
HA,yeast,3,Dayhoff+G4,82871.073,190,166122.146,166316.731,166945.806
HA,yeast,3,Dayhoff+F,83438.370,208,167292.739,167537.652,168194.430
HA,yeast,3,Dayhoff+F+G4,81667.415,209,163752.830,164000.796,164658.856
HA,yeast,3,mtMAM,92145.939,189,184669.878,184861.910,185489.203
HA,yeast,3,mtMAM+G4,88403.448,190,177186.897,177381.481,178010.557
HA,yeast,3,mtMAM+F,87839.866,208,176095.731,176340.644,176997.422
HA,yeast,3,mtMAM+F+G4,84967.356,209,170352.712,170600.678,171258.739
HA,yeast,3,JTT,82000.602,189,164379.204,164571.236,165198.529
HA,yeast,3,JTT+G4,80508.757,190,161397.514,161592.099,162221.174
HA,yeast,3,JTT+F,81518.475,208,163452.950,163697.863,164354.641
HA,yeast,3,JTT+F+G4,80022.098,209,160462.197,160710.163,161368.223
HA,yeast,3,WAG,82757.677,189,165893.354,166085.386,166712.679
HA,yeast,3,WAG+G4,81365.408,190,163110.816,163305.400,163934.476
HA,yeast,3,WAG+F,81876.750,208,164169.499,164414.412,165071.190
HA,yeast,3,WAG+F+G4,80515.111,209,161448.222,161696.188,162354.248
HA,yeast,3,cpREV,83298.506,189,166975.011,167167.044,167794.337
