type,name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
rtree,NP,0.3,1,q4,optimizedtruetree,-69873.9512,198,140143.9023,140407.4608,140977.6011,0,36.37611071360001
rtree,NP,0.3,1,pogofit,inferredtree,-61887.5358,198,124171.0715,124434.6301,125004.7704,0,26.340302515800005
rtree,NP,0.3,1,q1,optimizedtruetree,-65181.4303,217,130796.8606,131134.7606,131710.5608,0,27.245028807799994
rtree,NP,0.3,1,q5,optimizedtruetree,-77568.3933,197,155530.7866,155790.8266,156360.2749,0,40.449966184200015
rtree,NP,0.3,1,q5,inferredtree,-77568.3932,197,155530.7865,155790.8265,156360.2747,0,40.448091263100004
rtree,NP,0.3,1,q4,inferredtree,-69873.9507,198,140143.9014,140407.4600,140977.6002,0,36.35801425469997
rtree,NP,0.3,1,q2,inferredtree,-67108.9666,217,134651.9332,134989.8332,135565.6335,0,31.288399658299987
rtree,NP,0.3,1,q3,inferredtree,-68012.8396,216,136457.6792,136791.2878,137367.1689,0,29.384500834099995
rtree,NP,0.3,1,q1,inferredtree,-65181.4301,217,130796.8601,131134.7601,131710.5603,0,27.237037747000006
rtree,NP,0.3,1,poisson,optimizedtruetree,-70474.4097,197,141342.8194,141602.8594,142172.3077,0,26.770405367400013
rtree,NP,0.3,1,hbstyle,inferredtree,-62295.4442,217,125024.8884,125362.7884,125938.5886,0,26.540981098699984
rtree,NP,0.3,1,q3,optimizedtruetree,-68012.8397,216,136457.6793,136791.2879,137367.1689,0,29.383565851
rtree,NP,0.3,1,hbstyle,optimizedtruetree,-62295.4448,217,125024.8897,125362.7897,125938.5899,0,26.552292466299996
rtree,NP,0.3,1,poisson,inferredtree,-70474.4097,197,141342.8193,141602.8593,142172.3075,0,26.7714930178
rtree,NP,0.3,1,pogofit,optimizedtruetree,-61887.5362,198,124171.0725,124434.6310,125004.7713,0,26.351963772500003
rtree,NP,0.3,1,q2,optimizedtruetree,-67108.9684,217,134651.9368,134989.8368,135565.6371,0,31.314048196499993
rtree,NP,1.5,1,q5,inferredtree,-125076.3345,197,250546.6689,250806.7089,251376.1571,34,181.2116395186
rtree,NP,1.5,1,hbstyle,inferredtree,-113006.2482,217,226446.4964,226784.3964,227360.1966,22,84.69090549799999
rtree,NP,1.5,1,pogofit,optimizedtruetree,-110382.1750,198,221160.3499,221423.9084,221994.0487,0,79.02097736610001
rtree,NP,1.5,1,q3,optimizedtruetree,-115583.0303,198,231562.0607,231825.6192,232395.7595,0,96.69151023960003
rtree,NP,1.5,1,q4,inferredtree,-117523.6573,197,235441.3146,235701.3546,236270.8028,36,80.98392046260005
rtree,NP,1.5,1,q2,inferredtree,-114282.6546,217,228999.3092,229337.2092,229913.0094,32,124.40720060770005
rtree,NP,1.5,1,hbstyle,optimizedtruetree,-113052.3373,217,226538.6746,226876.5746,227452.3748,0,85.58135494189997
rtree,NP,1.5,1,q3,inferredtree,-115486.8359,198,231369.6718,231633.2303,232203.3706,36,95.0228342193
rtree,NP,1.5,1,q1,inferredtree,-112143.7029,217,224721.4058,225059.3058,225635.1060,36,83.75986638710002
rtree,NP,1.5,1,poisson,inferredtree,-117809.6191,197,236013.2383,236273.2783,236842.7265,42,68.83405850250001
rtree,NP,1.5,1,q2,optimizedtruetree,-114357.2220,217,229148.4440,229486.3440,230062.1442,0,125.76320193350003
rtree,NP,1.5,1,poisson,optimizedtruetree,-117944.9789,197,236283.9579,236543.9979,237113.4461,0,69.29529618640001
rtree,NP,1.5,1,q4,optimizedtruetree,-117637.9449,197,235669.8898,235929.9298,236499.3780,0,81.43878566310002
rtree,NP,1.5,1,q5,optimizedtruetree,-125176.7594,197,250747.5189,251007.5589,251577.0071,0,182.6971316482999
rtree,NP,1.5,1,pogofit,inferredtree,-110303.7308,198,221003.4616,221267.0202,221837.1604,32,78.33358554450004
rtree,NP,1.5,1,q1,optimizedtruetree,-112243.7742,217,224921.5483,225259.4483,225835.2485,0,84.32278014820001
rtree,NP,3,1,hbstyle,inferredtree,-120040.8467,217,240515.6933,240853.5933,241429.3935,96,117.44053545620001
rtree,NP,3,1,q3,optimizedtruetree,-121911.3930,198,244218.7860,244482.3446,245052.4849,0,126.98807362800001
rtree,NP,3,1,poisson,inferredtree,-123575.7693,197,247545.5387,247805.5787,248375.0269,112,81.91321081499996
rtree,NP,3,1,q2,optimizedtruetree,-120189.2231,198,240774.4463,241038.0048,241608.1451,0,125.4251996648
