name,tree,repl,model,logl,df,aic,aicc,bic
NP,rtree64_bl0.3.tree,1,Dayhoff,42973.902,125,86197.804,86282.482,86724.129
NP,rtree64_bl0.3.tree,1,Dayhoff+I,42959.460,126,86170.919,86257.183,86701.455
NP,rtree64_bl0.3.tree,1,Dayhoff+G4,42375.110,126,85002.220,85088.484,85532.756
NP,rtree64_bl0.3.tree,1,Dayhoff+I+G4,42373.875,127,85001.749,85089.620,85536.495
NP,rtree64_bl0.3.tree,1,Dayhoff+F,42516.290,144,85320.580,85438.881,85926.907
NP,rtree64_bl0.3.tree,1,Dayhoff+F+I,42503.313,145,85296.625,85416.909,85907.162
NP,rtree64_bl0.3.tree,1,Dayhoff+F+G4,41935.545,145,84161.090,84281.375,84771.627
NP,rtree64_bl0.3.tree,1,Dayhoff+F+I+G4,41934.322,146,84160.644,84282.934,84775.392
NP,rtree64_bl0.3.tree,1,mtMAM,46931.476,125,94112.951,94197.629,94639.276
NP,rtree64_bl0.3.tree,1,mtMAM+I,46930.924,126,94113.847,94200.112,94644.383
NP,rtree64_bl0.3.tree,1,mtMAM+G4,45611.317,126,91474.635,91560.899,92005.170
NP,rtree64_bl0.3.tree,1,mtMAM+I+G4,45611.314,127,91476.628,91564.498,92011.374
NP,rtree64_bl0.3.tree,1,mtMAM+F,44861.479,144,90010.957,90129.257,90617.283
NP,rtree64_bl0.3.tree,1,mtMAM+F+I,44859.202,145,90008.403,90128.687,90618.940
NP,rtree64_bl0.3.tree,1,mtMAM+F+G4,43811.733,145,87913.466,88033.750,88524.003
NP,rtree64_bl0.3.tree,1,mtMAM+F+I+G4,43811.739,146,87915.477,88037.768,88530.225
NP,rtree64_bl0.3.tree,1,JTT,41359.221,125,82968.443,83053.120,83494.768
NP,rtree64_bl0.3.tree,1,JTT+I,41343.699,126,82939.397,83025.661,83469.933
NP,rtree64_bl0.3.tree,1,JTT+G4,40896.484,126,82044.969,82131.233,82575.504
NP,rtree64_bl0.3.tree,1,JTT+I+G4,40894.304,127,82042.608,82130.479,82577.355
NP,rtree64_bl0.3.tree,1,JTT+F,41249.579,144,82787.159,82905.459,83393.485
NP,rtree64_bl0.3.tree,1,JTT+F+I,41234.816,145,82759.632,82879.916,83370.169
NP,rtree64_bl0.3.tree,1,JTT+F+G4,40791.100,145,81872.201,81992.485,82482.738
NP,rtree64_bl0.3.tree,1,JTT+F+I+G4,40789.079,146,81870.158,81992.448,82484.905
NP,rtree64_bl0.3.tree,1,WAG,42028.099,125,84306.198,84390.875,84832.523
NP,rtree64_bl0.3.tree,1,WAG+I,42014.693,126,84281.386,84367.650,84811.922
NP,rtree64_bl0.3.tree,1,WAG+G4,41592.497,126,83436.993,83523.257,83967.529
NP,rtree64_bl0.3.tree,1,WAG+I+G4,41590.725,127,83435.449,83523.320,83970.196
NP,rtree64_bl0.3.tree,1,WAG+F,41643.381,144,83574.761,83693.061,84181.087
NP,rtree64_bl0.3.tree,1,WAG+F+I,41631.776,145,83553.552,83673.836,84164.089
NP,rtree64_bl0.3.tree,1,WAG+F+G4,41222.261,145,82734.522,82854.806,83345.059
NP,rtree64_bl0.3.tree,1,WAG+F+I+G4,41221.036,146,82734.072,82856.363,83348.820
NP,rtree64_bl0.3.tree,1,cpREV,42395.402,125,85040.803,85125.481,85567.128
NP,rtree64_bl0.3.tree,1,cpREV+I,42385.545,126,85023.090,85109.354,85553.626
NP,rtree64_bl0.3.tree,1,cpREV+G4,41900.690,126,84053.380,84139.644,84583.916
NP,rtree64_bl0.3.tree,1,cpREV+I+G4,41899.805,127,84053.610,84141.480,84588.356
NP,rtree64_bl0.3.tree,1,cpREV+F,42081.714,144,84451.428,84569.728,85057.755
NP,rtree64_bl0.3.tree,1,cpREV+F+I,42072.951,145,84435.903,84556.187,85046.440
NP,rtree64_bl0.3.tree,1,cpREV+F+G4,41581.501,145,83453.002,83573.286,84063.539
NP,rtree64_bl0.3.tree,1,cpREV+F+I+G4,41581.146,146,83454.292,83576.582,84069.039
NP,rtree64_bl0.3.tree,1,mtREV,45120.297,125,90490.595,90575.272,91016.920
NP,rtree64_bl0.3.tree,1,mtREV+I,45118.632,126,90489.264,90575.528,91019.800
NP,rtree64_bl0.3.tree,1,mtREV+G4,44293.089,126,88838.178,88924.442,89368.713
NP,rtree64_bl0.3.tree,1,mtREV+I+G4,44293.090,127,88840.180,88928.051,89374.927
NP,rtree64_bl0.3.tree,1,mtREV+F,43315.917,144,86919.834,87038.134,87526.160
NP,rtree64_bl0.3.tree,1,mtREV+F+I,43312.669,145,86915.338,87035.622,87525.875
NP,rtree64_bl0.3.tree,1,mtREV+F+G4,42585.952,145,85461.903,85582.187,86072.440
NP,rtree64_bl0.3.tree,1,mtREV+F+I+G4,42585.939,146,85463.879,85586.169,86078.626
NP,rtree64_bl0.3.tree,1,rtREV,43881.066,125,88012.132,88096.809,88538.457
NP,rtree64_bl0.3.tree,1,rtREV+I,43870.665,126,87993.330,88079.594,88523.866
NP,rtree64_bl0.3.tree,1,rtREV+G4,43365.792,126,86983.584,87069.848,87514.120
NP,rtree64_bl0.3.tree,1,rtREV+I+G4,43364.652,127,86983.303,87071.174,87518.050
NP,rtree64_bl0.3.tree,1,rtREV+F,43413.292,144,87114.583,87232.884,87720.910
NP,rtree64_bl0.3.tree,1,rtREV+F+I,43407.212,145,87104.423,87224.707,87714.960
NP,rtree64_bl0.3.tree,1,rtREV+F+G4,42874.652,145,86039.305,86159.589,86649.842
NP,rtree64_bl0.3.tree,1,rtREV+F+I+G4,42874.683,146,86041.367,86163.657,86656.115
NP,rtree64_bl0.3.tree,1,mtART,48464.536,125,97179.072,97263.750,97705.397
NP,rtree64_bl0.3.tree,1,mtART+I,48464.536,126,97181.072,97267.336,97711.608
NP,rtree64_bl0.3.tree,1,mtART+G4,47030.166,126,94312.333,94398.597,94842.868
NP,rtree64_bl0.3.tree,1,mtART+I+G4,47030.156,127,94314.312,94402.183,94849.059
NP,rtree64_bl0.3.tree,1,mtART+F,46704.139,144,93696.278,93814.579,94302.605
NP,rtree64_bl0.3.tree,1,mtART+F+I,46704.139,145,93698.279,93818.563,94308.816
NP,rtree64_bl0.3.tree,1,mtART+F+G4,45403.028,145,91096.056,91216.341,91706.593
NP,rtree64_bl0.3.tree,1,mtART+F+I+G4,45403.061,146,91098.122,91220.413,91712.870
NP,rtree64_bl0.3.tree,1,mtZOA,45749.737,125,91749.473,91834.151,92275.798
NP,rtree64_bl0.3.tree,1,mtZOA+I,45749.737,126,91751.474,91837.738,92282.010
NP,rtree64_bl0.3.tree,1,mtZOA+G4,44762.097,126,89776.194,89862.458,90306.729
NP,rtree64_bl0.3.tree,1,mtZOA+I+G4,44762.059,127,89778.118,89865.989,90312.865
NP,rtree64_bl0.3.tree,1,mtZOA+F,44581.570,144,89451.140,89569.440,90057.466
