name,tree,repl,model,logl,df,aic,aicc,bic
HA,yeast,1,Dayhoff,84061.859,189,168501.718,168693.750,169321.043
HA,yeast,1,Dayhoff+G4,82394.381,190,165168.762,165363.346,165992.422
HA,yeast,1,Dayhoff+F,82787.736,208,165991.471,166236.384,166893.163
HA,yeast,1,Dayhoff+F+G4,81106.429,209,162630.857,162878.823,163536.883
HA,yeast,1,mtMAM,91910.041,189,184198.082,184390.114,185017.407
HA,yeast,1,mtMAM+G4,87981.193,190,176342.386,176536.971,177166.047
HA,yeast,1,mtMAM+F,88018.719,208,176453.438,176698.350,177355.129
HA,yeast,1,mtMAM+F+G4,84914.449,209,170246.897,170494.864,171152.924
HA,yeast,1,JTT,81343.293,189,163064.587,163256.619,163883.912
HA,yeast,1,JTT+G4,79974.571,190,160329.142,160523.726,161152.802
HA,yeast,1,JTT+F,80923.348,208,162262.695,162507.608,163164.387
HA,yeast,1,JTT+F+G4,79481.029,209,159380.058,159628.024,160286.084
HA,yeast,1,WAG,81967.646,189,164313.291,164505.324,165132.617
HA,yeast,1,WAG+G4,80743.268,190,161866.536,162061.121,162690.197
HA,yeast,1,WAG+F,81092.852,208,162601.704,162846.617,163503.395
HA,yeast,1,WAG+F+G4,79830.135,209,160078.270,160326.236,160984.296
HA,yeast,1,cpREV,82888.424,189,166154.848,166346.880,166974.173
HA,yeast,1,cpREV+G4,81345.235,190,163070.471,163265.055,163894.131
HA,yeast,1,cpREV+F,82285.942,208,164987.885,165232.798,165889.576
HA,yeast,1,cpREV+F+G4,80680.132,209,161778.263,162026.230,162684.290
HA,yeast,1,mtREV,88229.279,189,176836.558,177028.590,177655.883
HA,yeast,1,mtREV+G4,85557.599,190,171495.197,171689.782,172318.858
HA,yeast,1,mtREV+F,84869.002,208,170154.004,170398.916,171055.695
HA,yeast,1,mtREV+F+G4,82536.551,209,165491.103,165739.069,166397.129
HA,yeast,1,rtREV,84887.474,189,170152.948,170344.980,170972.273
HA,yeast,1,rtREV+G4,83361.675,190,167103.351,167297.935,167927.011
HA,yeast,1,rtREV+F,84053.891,208,168523.782,168768.694,169425.473
HA,yeast,1,rtREV+F+G4,82324.393,209,165066.785,165314.751,165972.811
HA,yeast,1,mtART,94286.111,189,188950.223,189142.255,189769.548
HA,yeast,1,mtART+G4,89851.889,190,180083.778,180278.362,180907.438
HA,yeast,1,mtART+F,90807.836,208,182031.673,182276.586,182933.364
HA,yeast,1,mtART+F+G4,86886.163,209,174190.326,174438.292,175096.352
HA,yeast,1,mtZOA,89547.975,189,179473.949,179665.981,180293.275
HA,yeast,1,mtZOA+G4,86264.989,190,172909.979,173104.563,173733.639
HA,yeast,1,mtZOA+F,87312.015,208,175040.030,175284.943,175941.721
HA,yeast,1,mtZOA+F+G4,84351.486,209,169120.973,169368.939,170026.999
HA,yeast,1,VT,81888.498,189,164154.995,164347.027,164974.320
HA,yeast,1,VT+G4,80699.655,190,161779.311,161973.895,162602.971
HA,yeast,1,VT+F,81216.072,208,162848.144,163093.057,163749.836
HA,yeast,1,VT+F+G4,79976.075,209,160370.150,160618.117,161276.177
HA,yeast,1,LG,83689.845,189,167757.689,167949.721,168577.014
HA,yeast,1,LG+G4,82211.986,190,164803.972,164998.557,165627.633
HA,yeast,1,LG+F,83104.929,208,166625.857,166870.770,167527.548
HA,yeast,1,LG+F+G4,81469.717,209,163357.435,163605.401,164263.461
HA,yeast,1,DCMut,84043.144,189,168464.287,168656.319,169283.612
HA,yeast,1,DCMut+G4,82381.835,190,165143.669,165338.254,165967.330
HA,yeast,1,DCMut+F,82771.078,208,165958.156,166203.069,166859.847
HA,yeast,1,DCMut+F+G4,81095.567,209,162609.134,162857.100,163515.160
HA,yeast,1,PMB,82400.713,189,165179.426,165371.458,165998.751
HA,yeast,1,PMB+G4,81219.903,190,162819.807,163014.391,163643.467
HA,yeast,1,PMB+F,82099.707,208,164615.413,164860.326,165517.104
HA,yeast,1,PMB+F+G4,80864.688,209,162147.376,162395.342,163053.403
HA,yeast,1,HIVb,82518.933,189,165415.866,165607.898,166235.191
HA,yeast,1,HIVb+G4,80812.457,190,162004.915,162199.499,162828.575
HA,yeast,1,HIVb+F,82217.874,208,164851.748,165096.661,165753.439
HA,yeast,1,HIVb+F+G4,80405.291,209,161228.583,161476.549,162134.609
HA,yeast,1,HIVw,85211.611,189,170801.222,170993.254,171620.547
HA,yeast,1,HIVw+G4,83415.324,190,167210.649,167405.233,168034.309
HA,yeast,1,HIVw+F,83171.411,208,166758.822,167003.734,167660.513
HA,yeast,1,HIVw+F+G4,81432.796,209,163283.591,163531.557,164189.617
HA,yeast,1,JTTDCMut,81416.029,189,163210.058,163402.090,164029.383
HA,yeast,1,JTTDCMut+G4,80047.409,190,160474.818,160669.403,161298.478
HA,yeast,1,JTTDCMut+F,80955.990,208,162327.981,162572.893,163229.672
HA,yeast,1,JTTDCMut+F+G4,79513.410,209,159444.820,159692.786,160350.846
HA,yeast,1,FLU,84381.059,189,169140.118,169332.151,169959.444
HA,yeast,1,FLU+G4,82655.174,190,165690.347,165884.932,166514.007
HA,yeast,1,FLU+F,83075.455,208,166566.911,166811.823,167468.602
HA,yeast,1,FLU+F+G4,81295.319,209,163008.637,163256.603,163914.664
HA,yeast,1,Blosum62,83082.720,189,166543.439,166735.471,167362.764
HA,yeast,1,Blosum62+G4,81846.449,190,164072.897,164267.482,164896.557
HA,yeast,1,Blosum62+F,82516.063,208,165448.125,165693.038,166349.817
HA,yeast,1,Blosum62+F+G4,81227.988,209,162873.976,163121.942,163780.002
HA,yeast,1,mtMet,87556.478,189,175490.957,175682.989,176310.282
HA,yeast,1,mtMet+G4,85003.851,190,170387.702,170582.286,171211.362
HA,yeast,1,mtMet+F,84252.658,208,168921.317,169166.230,169823.008
HA,yeast,1,mtMet+F+G4,82007.297,209,164432.594,164680.560,165338.621
