name,tree,repl,model,logl,df,aic,aicc,bic
NP,rtree100_bl0.03_rep1,1,Dayhoff,13623.663,197,27641.326,27901.366,28470.814
NP,rtree100_bl0.03_rep1,1,Dayhoff+I,13566.875,198,27529.749,27793.308,28363.448
NP,rtree100_bl0.03_rep1,1,Dayhoff+G4,13414.315,198,27224.631,27488.189,28058.330
NP,rtree100_bl0.03_rep1,1,Dayhoff+I+G4,13414.968,199,27227.935,27495.049,28065.844
NP,rtree100_bl0.03_rep1,1,Dayhoff+F,13503.826,216,27439.653,27773.261,28349.142
NP,rtree100_bl0.03_rep1,1,Dayhoff+F+I,13439.661,217,27313.321,27651.221,28227.021
NP,rtree100_bl0.03_rep1,1,Dayhoff+F+G4,13293.077,217,27020.154,27358.054,27933.854
NP,rtree100_bl0.03_rep1,1,Dayhoff+F+I+G4,13293.189,218,27022.378,27364.614,27940.288
NP,rtree100_bl0.03_rep1,1,mtMAM,14625.108,197,29644.216,29904.256,30473.704
NP,rtree100_bl0.03_rep1,1,mtMAM+I,14542.345,198,29480.690,29744.248,30314.389
NP,rtree100_bl0.03_rep1,1,mtMAM+G4,14186.423,198,28768.847,29032.405,29602.545
NP,rtree100_bl0.03_rep1,1,mtMAM+I+G4,14186.851,199,28771.702,29038.817,29609.612
NP,rtree100_bl0.03_rep1,1,mtMAM+F,14099.443,216,28630.886,28964.494,29540.375
NP,rtree100_bl0.03_rep1,1,mtMAM+F+I,14021.497,217,28476.994,28814.894,29390.695
NP,rtree100_bl0.03_rep1,1,mtMAM+F+G4,13750.730,217,27935.461,28273.361,28849.161
NP,rtree100_bl0.03_rep1,1,mtMAM+F+I+G4,13750.826,218,27937.652,28279.888,28855.563
NP,rtree100_bl0.03_rep1,1,JTT,13060.721,197,26515.443,26775.483,27344.931
NP,rtree100_bl0.03_rep1,1,JTT+I,13002.093,198,26400.187,26663.745,27233.886
NP,rtree100_bl0.03_rep1,1,JTT+G4,12909.521,198,26215.043,26478.601,27048.741
NP,rtree100_bl0.03_rep1,1,JTT+I+G4,12909.424,199,26216.848,26483.962,27054.757
NP,rtree100_bl0.03_rep1,1,JTT+F,13024.139,216,26480.279,26813.887,27389.768
NP,rtree100_bl0.03_rep1,1,JTT+F+I,12961.478,217,26356.957,26694.857,27270.657
NP,rtree100_bl0.03_rep1,1,JTT+F+G4,12872.006,217,26178.013,26515.913,27091.713
NP,rtree100_bl0.03_rep1,1,JTT+F+I+G4,12871.583,218,26179.167,26521.403,27097.078
NP,rtree100_bl0.03_rep1,1,WAG,13263.641,197,26921.282,27181.322,27750.771
NP,rtree100_bl0.03_rep1,1,WAG+I,13209.547,198,26815.094,27078.652,27648.793
NP,rtree100_bl0.03_rep1,1,WAG+G4,13117.527,198,26631.053,26894.612,27464.752
NP,rtree100_bl0.03_rep1,1,WAG+I+G4,13117.549,199,26633.099,26900.213,27471.008
NP,rtree100_bl0.03_rep1,1,WAG+F,13152.985,216,26737.971,27071.579,27647.460
NP,rtree100_bl0.03_rep1,1,WAG+F+I,13094.917,217,26623.834,26961.734,27537.534
NP,rtree100_bl0.03_rep1,1,WAG+F+G4,13008.436,217,26450.873,26788.773,27364.573
NP,rtree100_bl0.03_rep1,1,WAG+F+I+G4,13008.130,218,26452.260,26794.496,27370.170
NP,rtree100_bl0.03_rep1,1,cpREV,13371.051,197,27136.103,27396.143,27965.591
NP,rtree100_bl0.03_rep1,1,cpREV+I,13317.404,198,27030.807,27294.366,27864.506
NP,rtree100_bl0.03_rep1,1,cpREV+G4,13212.736,198,26821.473,27085.031,27655.171
NP,rtree100_bl0.03_rep1,1,cpREV+I+G4,13212.769,199,26823.538,27090.653,27661.448
NP,rtree100_bl0.03_rep1,1,cpREV+F,13283.673,216,26999.346,27332.954,27908.835
NP,rtree100_bl0.03_rep1,1,cpREV+F+I,13226.357,217,26886.714,27224.614,27800.414
NP,rtree100_bl0.03_rep1,1,cpREV+F+G4,13121.023,217,26676.047,27013.947,27589.747
NP,rtree100_bl0.03_rep1,1,cpREV+F+I+G4,13120.708,218,26677.416,27019.653,27595.327
NP,rtree100_bl0.03_rep1,1,mtREV,14092.521,197,28579.042,28839.082,29408.531
NP,rtree100_bl0.03_rep1,1,mtREV+I,14026.363,198,28448.726,28712.284,29282.425
NP,rtree100_bl0.03_rep1,1,mtREV+G4,13821.896,198,28039.793,28303.351,28873.491
NP,rtree100_bl0.03_rep1,1,mtREV+I+G4,13822.118,199,28042.236,28309.351,28880.146
NP,rtree100_bl0.03_rep1,1,mtREV+F,13622.685,216,27677.370,28010.978,28586.859
NP,rtree100_bl0.03_rep1,1,mtREV+F+I,13558.312,217,27550.625,27888.525,28464.325
NP,rtree100_bl0.03_rep1,1,mtREV+F+G4,13380.257,217,27194.514,27532.414,28108.215
NP,rtree100_bl0.03_rep1,1,mtREV+F+I+G4,13380.212,218,27196.425,27538.661,28114.335
NP,rtree100_bl0.03_rep1,1,rtREV,13818.320,197,28030.641,28290.681,28860.129
NP,rtree100_bl0.03_rep1,1,rtREV+I,13761.966,198,27919.931,28183.490,28753.630
NP,rtree100_bl0.03_rep1,1,rtREV+G4,13658.690,198,27713.380,27976.939,28547.079
NP,rtree100_bl0.03_rep1,1,rtREV+I+G4,13658.649,199,27715.297,27982.411,28553.206
NP,rtree100_bl0.03_rep1,1,rtREV+F,13683.826,216,27799.651,28133.260,28709.141
NP,rtree100_bl0.03_rep1,1,rtREV+F+I,13621.786,217,27677.571,28015.471,28591.271
NP,rtree100_bl0.03_rep1,1,rtREV+F+G4,13505.746,217,27445.493,27783.393,28359.193
NP,rtree100_bl0.03_rep1,1,rtREV+F+I+G4,13505.496,218,27446.992,27789.229,28364.903
NP,rtree100_bl0.03_rep1,1,mtART,15224.858,197,30843.717,31103.757,31673.205
NP,rtree100_bl0.03_rep1,1,mtART+I,15150.844,198,30697.688,30961.246,31531.386
NP,rtree100_bl0.03_rep1,1,mtART+G4,14794.272,198,29984.544,30248.102,30818.243
NP,rtree100_bl0.03_rep1,1,mtART+I+G4,14794.593,199,29987.185,30254.300,30825.095
NP,rtree100_bl0.03_rep1,1,mtART+F,14818.589,216,30069.177,30402.786,30978.667
