name,tree,repl,bic,model_name,modelm
HA,greenalga,1,21785.612,HIVb+F+G4,1
HA,greenalga,1,22280.347,WAG+F,2
HA,greenalga,1,22622.264,PMB,3
HA,greenalga,1,23174.836,mtMet+I+G4,4
HA,greenalga,1,25807.884,mtART,5
HA,greenalga,2,21264.869,JTT+F+G4,1
HA,greenalga,2,21729.922,VT+I,2
HA,greenalga,2,22002.055,Blosum62+F+G4,3
HA,greenalga,2,22546.735,rtREV+I,4
HA,greenalga,2,25069.801,mtART,5
HA,greenalga,3,21877.261,JTT+F+G4,1
HA,greenalga,3,22331.903,VT+F+I,2
HA,greenalga,3,22673.895,Blosum62+F+I+G4,3
HA,greenalga,3,23289.971,rtREV+F,4
HA,greenalga,3,25980.701,mtART,5
HA,greenalga,4,22139.607,JTT+G4,1
HA,greenalga,4,22614.405,DCMut+F+I+G4,2
HA,greenalga,4,22915.597,LG+F+G4,3
HA,greenalga,4,23448.376,rtREV+F,4
HA,greenalga,4,25864.991,mtART,5
HA,greenalga,5,22502.2,JTT+G4,1
HA,greenalga,5,23007.52,HIVw+F+I,2
HA,greenalga,5,23344.927,FLU+I,3
HA,greenalga,5,23898.575,mtMet+I+G4,4
HA,greenalga,5,26655.473,mtART,5
HA,greenalga,6,22136.9,JTT+G4,1
HA,greenalga,6,22620.101,cpREV+G4,2
HA,greenalga,6,22945.77,Dayhoff+I+G4,3
HA,greenalga,6,23580.242,rtREV+I,4
HA,greenalga,6,26228.139,mtART,5
HA,greenalga,7,21678.004,JTT+I+G4,1
HA,greenalga,7,22149.819,VT+I,2
HA,greenalga,7,22474.166,LG+F+G4,3
HA,greenalga,7,23066.72,rtREV+F,4
HA,greenalga,7,25674.841,mtART,5
HA,greenalga,8,21639.756,JTT+G4,1
HA,greenalga,8,22116.437,HIVw+F+I,2
HA,greenalga,8,22460.974,Blosum62+G4,3
HA,greenalga,8,22943.475,rtREV+F,4
HA,greenalga,8,25576.555,mtART,5
HA,greenalga,9,21677.968,JTT+G4,1
HA,greenalga,9,22185.831,VT+I,2
HA,greenalga,9,22488.156,Blosum62+F+I+G4,3
HA,greenalga,9,22994.127,mtMet+I+G4,4
HA,greenalga,9,25300.545,mtART,5
HA,greenalga,10,22033.082,JTT+G4,1
HA,greenalga,10,22492.727,cpREV+G4,2
HA,greenalga,10,22777.379,FLU+I,3
HA,greenalga,10,23365.517,mtMet+I+G4,4
HA,greenalga,10,25910.925,mtART,5
HA,greenalga,11,21063.245,JTT+G4,1
HA,greenalga,11,21566.274,cpREV+F+I+G4,2
HA,greenalga,11,21873.036,Dayhoff+I+G4,3
HA,greenalga,11,22328.54,rtREV+I,4
HA,greenalga,11,24825.39,mtART,5
HA,greenalga,12,21393.951,JTT+G4,1
HA,greenalga,12,21844.21,cpREV+I+G4,2
HA,greenalga,12,22165.768,Blosum62+F+I+G4,3
HA,greenalga,12,22743.599,mtVer+G4,4
HA,greenalga,12,25352.42,mtART,5
HA,greenalga,13,22213.047,JTT+F+G4,1
HA,greenalga,13,22722.022,FLU+F+G4,2
HA,greenalga,13,23010.709,Blosum62+F+G4,3
HA,greenalga,13,23533.599,mtMet+I+G4,4
HA,greenalga,13,26039.209,mtART,5
HA,greenalga,14,22042.73,JTT+F+G4,1
HA,greenalga,14,22517.512,VT+I,2
HA,greenalga,14,22835.109,DCMut+F+I,3
HA,greenalga,14,23343.207,rtREV+I,4
HA,greenalga,14,26144.047,mtART,5
HA,greenalga,15,21277.9,HIVb+F+G4,1
HA,greenalga,15,21861.405,VT+F+I,2
HA,greenalga,15,22151.563,Dayhoff+G4,3
HA,greenalga,15,22619.923,mtVer+I+G4,4
HA,greenalga,15,25225.463,mtART,5
HA,greenalga,16,21689.123,JTT+G4,1
HA,greenalga,16,22180.744,FLU+F+I+G4,2
HA,greenalga,16,22500.254,DCMut+F+I,3
HA,greenalga,16,22971.612,mtVer+G4,4
HA,greenalga,16,25449.395,mtART,5
HA,greenalga,17,23113.771,JTT+G4,1
HA,greenalga,17,23579.71,cpREV+I+G4,2
HA,greenalga,17,23951.489,mtMet+F+I+G4,3
HA,greenalga,17,24513.865,rtREV,4
HA,greenalga,17,27256.736,mtART,5
HA,greenalga,18,21430.485,HIVb+G4,1
HA,greenalga,18,21944.604,WAG+I,2
HA,greenalga,18,22267.825,PMB+I,3
HA,greenalga,18,22744.946,mtMet+G4,4
HA,greenalga,18,25277.247,mtART,5
HA,greenalga,19,22097.175,JTT+I+G4,1
HA,greenalga,19,22615.714,WAG+F,2
HA,greenalga,19,22944.219,Dayhoff+F+I,3
HA,greenalga,19,23375.633,mtVer+G4,4
HA,greenalga,19,25936.216,mtART,5
HA,greenalga,20,21457.498,HIVb+F+G4,1
HA,greenalga,20,21991.164,cpREV+G4,2
HA,greenalga,20,22265.588,Blosum62+F+G4,3
HA,greenalga,20,22753.027,mtVer+G4,4
HA,greenalga,20,25417.58,mtART,5
HA,opisthokonta,1,108657.097,JTT+F+I+G4,1
HA,opisthokonta,1,111641.756,PMB+G4,2
