name,tree,repl,bic,model_name,modelm
LAC,opisthokonta,1,36007.31,WAG+I+G4,1
LAC,opisthokonta,1,36692.956,DCMut+F+G4,2
LAC,opisthokonta,1,38673.834,JTTDCMut+I,3
LAC,opisthokonta,1,40045.213,JTT+F,4
LAC,opisthokonta,1,44895.665,mtMAM,5
LAC,opisthokonta,2,36983.203,WAG+I+G4,1
LAC,opisthokonta,2,37621.564,DCMut+F+G4,2
LAC,opisthokonta,2,39641.532,PMB+F+I,3
LAC,opisthokonta,2,40922.882,rtREV,4
LAC,opisthokonta,2,46328.245,mtMAM,5
LAC,opisthokonta,3,37144.644,WAG+I+G4,1
LAC,opisthokonta,3,37986.82,Dayhoff+F+G4,2
LAC,opisthokonta,3,39806.478,JTT+I,3
LAC,opisthokonta,3,41027.635,DCMut,4
LAC,opisthokonta,3,46219.962,mtMAM,5
LAC,opisthokonta,4,37619.994,WAG+I+G4,1
LAC,opisthokonta,4,38438.895,DCMut+F+G4,2
LAC,opisthokonta,4,40398.959,mtInv+G4,3
LAC,opisthokonta,4,41829.085,Dayhoff,4
LAC,opisthokonta,4,47311.601,mtMAM,5
LAC,opisthokonta,5,36455.605,WAG+I+G4,1
LAC,opisthokonta,5,37087.784,rtREV+F+I+G4,2
LAC,opisthokonta,5,39130.919,LG+I,3
LAC,opisthokonta,5,40365.353,mtMet+F+I,4
LAC,opisthokonta,5,44939.238,mtMAM,5
LAC,opisthokonta,6,37163.725,WAG+I+G4,1
LAC,opisthokonta,6,37948.529,DCMut+F+G4,2
LAC,opisthokonta,6,40015.319,mtMAM+F+G4,3
LAC,opisthokonta,6,41386.422,Dayhoff,4
LAC,opisthokonta,6,46741.309,mtMAM,5
LAC,opisthokonta,7,37358.53,WAG+I+G4,1
LAC,opisthokonta,7,38177.757,DCMut+F+G4,2
LAC,opisthokonta,7,40223.802,mtInv+I+G4,3
LAC,opisthokonta,7,41486.93,FLU+I,4
LAC,opisthokonta,7,46597.696,mtMAM,5
LAC,opisthokonta,8,35813.106,WAG+I+G4,1
LAC,opisthokonta,8,36492.531,Dayhoff+F+G4,2
LAC,opisthokonta,8,38517.301,HIVw+F+G4,3
LAC,opisthokonta,8,39727.06,mtMAM+G4,4
LAC,opisthokonta,8,45296.163,mtMAM,5
LAC,opisthokonta,9,37650.843,WAG+I+G4,1
LAC,opisthokonta,9,38526.525,DCMut+F+G4,2
LAC,opisthokonta,9,40452.037,DCMut+I,3
LAC,opisthokonta,9,41732.079,FLU+F+I,4
LAC,opisthokonta,9,47026.111,mtMAM,5
LAC,opisthokonta,10,36591.541,WAG+I+G4,1
LAC,opisthokonta,10,37328.334,DCMut+F+G4,2
LAC,opisthokonta,10,39382.745,rtREV+F+I,3
LAC,opisthokonta,10,40557.968,mtMet+F+I,4
LAC,opisthokonta,10,45569.676,mtMAM,5
LAC,opisthokonta,11,35721.13,WAG+I+G4,1
LAC,opisthokonta,11,36526.454,Dayhoff+F+G4,2
LAC,opisthokonta,11,38344.41,LG+F+I,3
LAC,opisthokonta,11,39585.157,FLU+I,4
LAC,opisthokonta,11,44882.254,mtMAM,5
LAC,opisthokonta,12,36490.386,WAG+I+G4,1
LAC,opisthokonta,12,37215.75,DCMut+F+G4,2
LAC,opisthokonta,12,39224.334,PMB+F+I,3
LAC,opisthokonta,12,40457.57,cpREV,4
LAC,opisthokonta,12,44984.707,mtMAM,5
LAC,opisthokonta,13,36445.012,WAG+I+G4,1
LAC,opisthokonta,13,37233.164,Dayhoff+F+G4,2
LAC,opisthokonta,13,39324.353,PMB+F+I,3
LAC,opisthokonta,13,40496.863,Dayhoff,4
LAC,opisthokonta,13,45571.589,mtMAM,5
LAC,opisthokonta,14,36810.583,WAG+I+G4,1
LAC,opisthokonta,14,37506.274,DCMut+F+G4,2
LAC,opisthokonta,14,39688.976,JTT+I,3
LAC,opisthokonta,14,40858.487,rtREV,4
LAC,opisthokonta,14,46180.386,mtMAM,5
LAC,opisthokonta,15,36755.551,WAG+I+G4,1
LAC,opisthokonta,15,37484.198,DCMut+F+G4,2
LAC,opisthokonta,15,39511.22,LG+F+I,3
LAC,opisthokonta,15,40831.347,mtREV+F+I,4
LAC,opisthokonta,15,45898.866,mtMAM,5
LAC,opisthokonta,16,37663.431,WAG+I+G4,1
LAC,opisthokonta,16,38502.675,DCMut+F+G4,2
LAC,opisthokonta,16,40258.372,HIVw+F+G4,3
LAC,opisthokonta,16,41612.479,DCMut,4
LAC,opisthokonta,16,46791.404,mtMAM,5
LAC,opisthokonta,17,36735.381,WAG+I+G4,1
LAC,opisthokonta,17,37429.676,DCMut+F+G4,2
LAC,opisthokonta,17,39360.804,LG+I,3
LAC,opisthokonta,17,40594.179,rtREV+F,4
LAC,opisthokonta,17,45499.697,mtMAM,5
LAC,opisthokonta,18,36627.784,WAG+I+G4,1
LAC,opisthokonta,18,37487.855,DCMut+F+G4,2
LAC,opisthokonta,18,39304.551,LG+F+I,3
LAC,opisthokonta,18,40555.503,mtREV+F+I,4
LAC,opisthokonta,18,45708.368,mtMAM,5
LAC,opisthokonta,19,35585.585,WAG+I+G4,1
LAC,opisthokonta,19,36338.959,DCMut+F+G4,2
LAC,opisthokonta,19,38305.701,mtREV+G4,3
LAC,opisthokonta,19,39486.083,Dayhoff,4
LAC,opisthokonta,19,44993.492,mtMAM,5
