name,tree,repl,bic,model,modelr
HA,greenalga,1,NA,HIVb+F+G4,1
HA,greenalga,1,NA,mtMet+F+I,2
HA,greenalga,1,NA,mtZOA+F,3
HA,greenalga,1,NA,mtMAM,4
HA,greenalga,1,NA,mtART,5
HA,greenalga,2,NA,JTT+F+G4,1
HA,greenalga,2,NA,HIVw+I,2
HA,greenalga,2,NA,mtZOA+I+G4,3
HA,greenalga,2,NA,mtMAM+I,4
HA,greenalga,2,NA,mtART,5
HA,greenalga,3,NA,JTT+F+G4,1
HA,greenalga,3,NA,Blosum62+F,2
HA,greenalga,3,NA,mtMAM+F+I,3
HA,greenalga,3,NA,mtART+F+I,4
HA,greenalga,3,NA,mtART,5
HA,greenalga,4,NA,JTT+G4,1
HA,greenalga,4,NA,Blosum62+F+I,2
HA,greenalga,4,NA,mtInv,3
HA,greenalga,4,NA,mtMAM,4
HA,greenalga,4,NA,mtART,5
HA,greenalga,5,NA,JTT+G4,1
HA,greenalga,5,NA,Blosum62+F+I,2
HA,greenalga,5,NA,mtInv,3
HA,greenalga,5,NA,mtART+G4,4
HA,greenalga,5,NA,mtART,5
HA,greenalga,6,NA,JTT+G4,1
HA,greenalga,6,NA,mtMet+F+I,2
HA,greenalga,6,NA,mtREV+I,3
HA,greenalga,6,NA,mtART+F+I,4
HA,greenalga,6,NA,mtART,5
HA,greenalga,7,NA,JTT+I+G4,1
HA,greenalga,7,NA,LG,2
HA,greenalga,7,NA,mtMAM+F+I,3
HA,greenalga,7,NA,mtMAM,4
HA,greenalga,7,NA,mtART,5
HA,greenalga,8,NA,JTT+G4,1
HA,greenalga,8,NA,LG+F,2
HA,greenalga,8,NA,mtREV+I,3
HA,greenalga,8,NA,mtMAM+I,4
HA,greenalga,8,NA,mtART,5
HA,greenalga,9,NA,JTT+G4,1
HA,greenalga,9,NA,LG+F+I,2
HA,greenalga,9,NA,mtVer,3
HA,greenalga,9,NA,mtART+F+I,4
HA,greenalga,9,NA,mtART,5
HA,greenalga,10,NA,JTT+G4,1
HA,greenalga,10,NA,Blosum62,2
HA,greenalga,10,NA,mtZOA+F+I,3
HA,greenalga,10,NA,mtMAM+I,4
HA,greenalga,10,NA,mtART,5
HA,greenalga,11,NA,JTT+G4,1
HA,greenalga,11,NA,LG+F+I,2
HA,greenalga,11,NA,mtREV+I,3
HA,greenalga,11,NA,mtART+F+I,4
HA,greenalga,11,NA,mtART,5
HA,greenalga,12,NA,JTT+G4,1
HA,greenalga,12,NA,Blosum62+F,2
HA,greenalga,12,NA,mtInv,3
HA,greenalga,12,NA,mtMAM,4
HA,greenalga,12,NA,mtART,5
HA,greenalga,13,NA,JTT+F+G4,1
HA,greenalga,13,NA,mtREV+F+G4,2
HA,greenalga,13,NA,mtInv,3
HA,greenalga,13,NA,mtART+G4,4
HA,greenalga,13,NA,mtART,5
HA,greenalga,14,NA,JTT+F+G4,1
HA,greenalga,14,NA,mtMet+F,2
HA,greenalga,14,NA,mtREV+I,3
HA,greenalga,14,NA,mtMAM,4
HA,greenalga,14,NA,mtART,5
HA,greenalga,15,NA,HIVb+F+G4,1
HA,greenalga,15,NA,HIVw+I,2
HA,greenalga,15,NA,mtInv,3
HA,greenalga,15,NA,mtART+I+G4,4
