name,tree,repl,model,modelq
NP,rtree100_bl0.3_rep1,1,JTT+F+I+G4,1
NP,rtree100_bl0.3_rep1,1,Dayhoff+F+G4,2
NP,rtree100_bl0.3_rep1,1,mtInv+F+I,3
NP,rtree100_bl0.3_rep1,1,rtREV+F,4
NP,rtree100_bl0.3_rep1,1,mtART+I,5
NP,rtree100_bl0.3_rep1,2,JTT+I+G4,1
NP,rtree100_bl0.3_rep1,2,WAG+I,2
NP,rtree100_bl0.3_rep1,2,PMB,3
NP,rtree100_bl0.3_rep1,2,rtREV+F,4
NP,rtree100_bl0.3_rep1,2,mtART+I,5
NP,rtree100_bl0.3_rep1,3,JTT+I+G4,1
NP,rtree100_bl0.3_rep1,3,WAG+I,2
NP,rtree100_bl0.3_rep1,3,PMB+F+I,3
NP,rtree100_bl0.3_rep1,3,mtMet+G4,4
NP,rtree100_bl0.3_rep1,3,mtART,5
NP,rtree100_bl0.3_rep1,4,JTT+F+I+G4,1
NP,rtree100_bl0.3_rep1,4,DCMut+F+G4,2
NP,rtree100_bl0.3_rep1,4,Dayhoff+F+I,3
NP,rtree100_bl0.3_rep1,4,rtREV+F,4
NP,rtree100_bl0.3_rep1,4,mtART+I,5
NP,rtree100_bl0.3_rep1,5,JTT+F+G4,1
NP,rtree100_bl0.3_rep1,5,WAG,2
NP,rtree100_bl0.3_rep1,5,PMB,3
NP,rtree100_bl0.3_rep1,5,rtREV+F,4
NP,rtree100_bl0.3_rep1,5,mtART,5
NP,rtree100_bl0.3_rep1,6,JTT+F+G4,1
NP,rtree100_bl0.3_rep1,6,FLU+F+G4,2
NP,rtree100_bl0.3_rep1,6,HIVw+G4,3
NP,rtree100_bl0.3_rep1,6,rtREV+F,4
NP,rtree100_bl0.3_rep1,6,mtART,5
NP,rtree100_bl0.3_rep1,7,JTT+G4,1
NP,rtree100_bl0.3_rep1,7,VT,2
NP,rtree100_bl0.3_rep1,7,HIVw+G4,3
NP,rtree100_bl0.3_rep1,7,mtMet+G4,4
NP,rtree100_bl0.3_rep1,7,mtART,5
NP,rtree100_bl0.3_rep1,8,JTT+F+G4,1
NP,rtree100_bl0.3_rep1,8,mtMet+F+G4,2
NP,rtree100_bl0.3_rep1,8,FLU+G4,3
NP,rtree100_bl0.3_rep1,8,HIVw,4
NP,rtree100_bl0.3_rep1,8,mtART,5
NP,rtree100_bl0.3_rep1,9,JTT+F+G4,1
NP,rtree100_bl0.3_rep1,9,DCMut+F+G4,2
NP,rtree100_bl0.3_rep1,9,mtREV+F+G4,3
NP,rtree100_bl0.3_rep1,9,rtREV+F,4
NP,rtree100_bl0.3_rep1,9,mtART,5
NP,rtree100_bl0.3_rep1,10,JTT+F+G4,1
NP,rtree100_bl0.3_rep1,10,Dayhoff+F+G4,2
NP,rtree100_bl0.3_rep1,10,Dayhoff+F,3
NP,rtree100_bl0.3_rep1,10,rtREV+F,4
NP,rtree100_bl0.3_rep1,10,mtART,5
NP,rtree100_bl0.3_rep1,11,JTT+I+G4,1
NP,rtree100_bl0.3_rep1,11,Dayhoff+F+G4,2
NP,rtree100_bl0.3_rep1,11,Dayhoff+F,3
