name,tree,repl,model,modelq
NP,rtree64_bl0.3.tree,1,JTT+F+G4,1
NP,rtree64_bl0.3.tree,1,DCMut+F+G4,2
NP,rtree64_bl0.3.tree,1,PMB+I,3
NP,rtree64_bl0.3.tree,1,rtREV+F,4
NP,rtree64_bl0.3.tree,1,mtART+I,5
NP,rtree64_bl0.3.tree,2,JTT+F+G4,1
NP,rtree64_bl0.3.tree,2,Dayhoff+F+G4,2
NP,rtree64_bl0.3.tree,2,HIVw+G4,3
NP,rtree64_bl0.3.tree,2,rtREV+F,4
NP,rtree64_bl0.3.tree,2,mtART,5
NP,rtree64_bl0.3.tree,3,JTT+F+I+G4,1
NP,rtree64_bl0.3.tree,3,Dayhoff+F+I+G4,2
NP,rtree64_bl0.3.tree,3,Dayhoff+F+I,3
NP,rtree64_bl0.3.tree,3,mtMet+G4,4
NP,rtree64_bl0.3.tree,3,mtART,5
NP,rtree64_bl0.3.tree,4,JTT+G4,1
NP,rtree64_bl0.3.tree,4,WAG+I,2
NP,rtree64_bl0.3.tree,4,PMB+F+I,3
NP,rtree64_bl0.3.tree,4,rtREV+F,4
NP,rtree64_bl0.3.tree,4,mtART+I,5
NP,rtree64_bl0.3.tree,5,JTT+F+I+G4,1
NP,rtree64_bl0.3.tree,5,cpREV+I+G4,2
NP,rtree64_bl0.3.tree,5,mtREV+F+I+G4,3
NP,rtree64_bl0.3.tree,5,HIVw,4
NP,rtree64_bl0.3.tree,5,mtART,5
NP,rtree64_bl3.0.tree,1,VT+F+G4,1
NP,rtree64_bl3.0.tree,1,JTTDCMut+G4,2
NP,rtree64_bl3.0.tree,1,Dayhoff+G4,3
NP,rtree64_bl3.0.tree,1,rtREV,4
NP,rtree64_bl3.0.tree,1,HIVw,5
NP,rtree64_bl3.0.tree,2,VT+F+G4,1
NP,rtree64_bl3.0.tree,2,JTTDCMut+G4,2
NP,rtree64_bl3.0.tree,2,DCMut+G4,3
NP,rtree64_bl3.0.tree,2,mtREV+G4,4
NP,rtree64_bl3.0.tree,2,HIVw,5
NP,rtree64_bl3.0.tree,3,VT+F+G4,1
NP,rtree64_bl3.0.tree,3,JTTDCMut+G4,2
NP,rtree64_bl3.0.tree,3,Dayhoff+G4,3
NP,rtree64_bl3.0.tree,3,rtREV,4
NP,rtree64_bl3.0.tree,3,HIVw,5
NP,rtree64_bl3.0.tree,4,VT+F+G4,1
NP,rtree64_bl3.0.tree,4,JTTDCMut+G4,2
NP,rtree64_bl3.0.tree,4,Dayhoff+G4,3
NP,rtree64_bl3.0.tree,4,mtMAM+F,4
NP,rtree64_bl3.0.tree,4,HIVw,5
NP,rtree64_bl3.0.tree,5,VT+F+G4,1
NP,rtree64_bl3.0.tree,5,JTTDCMut+G4,2
NP,rtree64_bl3.0.tree,5,Dayhoff+G4,3
NP,rtree64_bl3.0.tree,5,mtREV+G4,4
NP,rtree64_bl3.0.tree,5,HIVw,5
NP,btree64_bl0.3.tree,1,JTT+F+I+G4,1
NP,btree64_bl0.3.tree,1,mtInv+F+I+G4,2
NP,btree64_bl0.3.tree,1,LG+G4,3
NP,btree64_bl0.3.tree,1,rtREV+G4,4
NP,btree64_bl0.3.tree,1,mtART,5
NP,btree64_bl0.3.tree,2,JTT+F+I+G4,1
NP,btree64_bl0.3.tree,2,DCMut+F+G4,2
NP,btree64_bl0.3.tree,2,HIVw+F+I,3
NP,btree64_bl0.3.tree,2,rtREV+F,4
NP,btree64_bl0.3.tree,2,mtART,5
NP,btree64_bl0.3.tree,3,JTT+F+G4,1
NP,btree64_bl0.3.tree,3,HIVw+F+I+G4,2
NP,btree64_bl0.3.tree,3,mtREV+F+I+G4,3
NP,btree64_bl0.3.tree,3,rtREV+F,4
NP,btree64_bl0.3.tree,3,mtART+I,5
NP,btree64_bl0.3.tree,4,JTT+F+G4,1
NP,btree64_bl0.3.tree,4,DCMut+F+G4,2
NP,btree64_bl0.3.tree,4,FLU+G4,3
NP,btree64_bl0.3.tree,4,mtMet+G4,4
NP,btree64_bl0.3.tree,4,mtART,5
NP,btree64_bl0.3.tree,5,JTT+G4,1
NP,btree64_bl0.3.tree,5,HIVw+F+I+G4,2
NP,btree64_bl0.3.tree,5,LG+I+G4,3
NP,btree64_bl0.3.tree,5,rtREV+F,4
NP,btree64_bl0.3.tree,5,mtART,5
NP,btree64_bl3.0.tree,1,VT+F+G4,1
NP,btree64_bl3.0.tree,1,JTTDCMut+G4,2
NP,btree64_bl3.0.tree,1,rtREV+G4,3
NP,btree64_bl3.0.tree,1,DCMut,4
NP,btree64_bl3.0.tree,1,HIVw,5
NP,btree64_bl3.0.tree,2,VT+F+G4,1
NP,btree64_bl3.0.tree,2,JTTDCMut+G4,2
NP,btree64_bl3.0.tree,2,Dayhoff+G4,3
NP,btree64_bl3.0.tree,2,mtREV+G4,4
NP,btree64_bl3.0.tree,2,HIVw,5
NP,btree64_bl3.0.tree,3,VT+F+G4,1
NP,btree64_bl3.0.tree,3,JTTDCMut+G4,2
NP,btree64_bl3.0.tree,3,Dayhoff+G4,3
NP,btree64_bl3.0.tree,3,mtREV+G4,4
NP,btree64_bl3.0.tree,3,HIVw,5
NP,btree64_bl3.0.tree,4,VT+F+G4,1
NP,btree64_bl3.0.tree,4,JTTDCMut+G4,2
NP,btree64_bl3.0.tree,4,rtREV+G4,3
NP,btree64_bl3.0.tree,4,rtREV,4
NP,btree64_bl3.0.tree,4,HIVw,5
NP,btree64_bl3.0.tree,5,VT+F+G4,1
NP,btree64_bl3.0.tree,5,JTTDCMut+G4,2
NP,btree64_bl3.0.tree,5,DCMut+F,3
NP,btree64_bl3.0.tree,5,DCMut,4
NP,btree64_bl3.0.tree,5,HIVw,5
HA,rtree64_bl0.3.tree,1,JTT+F+I+G4,1
HA,rtree64_bl0.3.tree,1,FLU+F+G4,2
HA,rtree64_bl0.3.tree,1,mtVer+F+G4,3
HA,rtree64_bl0.3.tree,1,mtREV+F,4
HA,rtree64_bl0.3.tree,1,mtART,5
HA,rtree64_bl0.3.tree,2,JTT+F+I+G4,1
HA,rtree64_bl0.3.tree,2,cpREV+I+G4,2
HA,rtree64_bl0.3.tree,2,mtVer+F+G4,3
HA,rtree64_bl0.3.tree,2,mtMet+I+G4,4
HA,rtree64_bl0.3.tree,2,mtART,5
HA,rtree64_bl0.3.tree,3,JTT+G4,1
HA,rtree64_bl0.3.tree,3,VT+F+I,2
HA,rtree64_bl0.3.tree,3,mtMet+F+I+G4,3
HA,rtree64_bl0.3.tree,3,rtREV,4
HA,rtree64_bl0.3.tree,3,mtART,5
HA,rtree64_bl0.3.tree,4,JTT+F+G4,1
HA,rtree64_bl0.3.tree,4,DCMut+F+G4,2
HA,rtree64_bl0.3.tree,4,mtVer+F+G4,3
HA,rtree64_bl0.3.tree,4,mtREV+F,4
HA,rtree64_bl0.3.tree,4,mtART,5
HA,rtree64_bl0.3.tree,5,JTT+F+I+G4,1
HA,rtree64_bl0.3.tree,5,HIVb+I,2
HA,rtree64_bl0.3.tree,5,HIVw+F,3
HA,rtree64_bl0.3.tree,5,mtREV+F,4
HA,rtree64_bl0.3.tree,5,mtART,5
HA,rtree64_bl3.0.tree,1,PMB+F+G4,1
HA,rtree64_bl3.0.tree,1,cpREV+G4,2
HA,rtree64_bl3.0.tree,1,DCMut+F,3
HA,rtree64_bl3.0.tree,1,Dayhoff,4
HA,rtree64_bl3.0.tree,1,mtART,5
HA,rtree64_bl3.0.tree,2,PMB+F+G4,1
HA,rtree64_bl3.0.tree,2,cpREV+G4,2
HA,rtree64_bl3.0.tree,2,mtVer+F+G4,3
HA,rtree64_bl3.0.tree,2,HIVb,4
HA,rtree64_bl3.0.tree,2,mtART,5
HA,rtree64_bl3.0.tree,3,PMB+F+G4,1
HA,rtree64_bl3.0.tree,3,JTTDCMut+G4,2
HA,rtree64_bl3.0.tree,3,mtVer+F+G4,3
HA,rtree64_bl3.0.tree,3,mtMet+F,4
HA,rtree64_bl3.0.tree,3,mtART,5
HA,rtree64_bl3.0.tree,4,PMB+F+G4,1
HA,rtree64_bl3.0.tree,4,JTTDCMut+G4,2
HA,rtree64_bl3.0.tree,4,HIVb+G4,3
HA,rtree64_bl3.0.tree,4,HIVb,4
HA,rtree64_bl3.0.tree,4,mtART,5
HA,rtree64_bl3.0.tree,5,PMB+F+G4,1
HA,rtree64_bl3.0.tree,5,cpREV+G4,2
HA,rtree64_bl3.0.tree,5,DCMut+F,3
HA,rtree64_bl3.0.tree,5,mtREV+G4,4
HA,rtree64_bl3.0.tree,5,mtART,5
HA,btree64_bl0.3.tree,1,JTT+G4,1
HA,btree64_bl0.3.tree,1,DCMut+F+G4,2
HA,btree64_bl0.3.tree,1,DCMut+F+I,3
HA,btree64_bl0.3.tree,1,rtREV+F,4
HA,btree64_bl0.3.tree,1,mtART,5
HA,btree64_bl0.3.tree,2,JTT+F+G4,1
HA,btree64_bl0.3.tree,2,HIVb+I,2
HA,btree64_bl0.3.tree,2,PMB+F+I,3
HA,btree64_bl0.3.tree,2,mtREV+F,4
HA,btree64_bl0.3.tree,2,mtART,5
HA,btree64_bl0.3.tree,3,JTT+F+G4,1
HA,btree64_bl0.3.tree,3,cpREV+I+G4,2
HA,btree64_bl0.3.tree,3,Dayhoff+G4,3
HA,btree64_bl0.3.tree,3,rtREV,4
HA,btree64_bl0.3.tree,3,mtART,5
HA,btree64_bl0.3.tree,4,JTT+I+G4,1
HA,btree64_bl0.3.tree,4,WAG+I,2
HA,btree64_bl0.3.tree,4,PMB,3
HA,btree64_bl0.3.tree,4,mtMet+G4,4
HA,btree64_bl0.3.tree,4,mtART,5
HA,btree64_bl0.3.tree,5,JTT+F+I+G4,1
HA,btree64_bl0.3.tree,5,FLU+F+I+G4,2
HA,btree64_bl0.3.tree,5,mtVer+F+G4,3
HA,btree64_bl0.3.tree,5,rtREV+F,4
HA,btree64_bl0.3.tree,5,mtART,5
HA,btree64_bl3.0.tree,1,PMB+F+G4,1
HA,btree64_bl3.0.tree,1,cpREV+G4,2
HA,btree64_bl3.0.tree,1,DCMut+F,3
HA,btree64_bl3.0.tree,1,mtZOA+G4,4
HA,btree64_bl3.0.tree,1,mtART,5
HA,btree64_bl3.0.tree,2,PMB+F+G4,1
HA,btree64_bl3.0.tree,2,JTTDCMut+G4,2
HA,btree64_bl3.0.tree,2,Dayhoff+F,3
HA,btree64_bl3.0.tree,2,mtZOA+G4,4
HA,btree64_bl3.0.tree,2,mtART,5
HA,btree64_bl3.0.tree,3,PMB+F+G4,1
HA,btree64_bl3.0.tree,3,JTTDCMut+G4,2
HA,btree64_bl3.0.tree,3,Dayhoff+G4,3
HA,btree64_bl3.0.tree,3,mtZOA+G4,4
HA,btree64_bl3.0.tree,3,mtART,5
HA,btree64_bl3.0.tree,4,PMB+F+G4,1
HA,btree64_bl3.0.tree,4,JTTDCMut+G4,2
HA,btree64_bl3.0.tree,4,HIVb+G4,3
HA,btree64_bl3.0.tree,4,Dayhoff,4
HA,btree64_bl3.0.tree,4,mtART,5
HA,btree64_bl3.0.tree,5,PMB+F+G4,1
HA,btree64_bl3.0.tree,5,cpREV+G4,2
HA,btree64_bl3.0.tree,5,WAG,3
HA,btree64_bl3.0.tree,5,Dayhoff,4
HA,btree64_bl3.0.tree,5,mtART,5
HIV,rtree64_bl0.3.tree,1,JTT+I+G4,1
HIV,rtree64_bl0.3.tree,1,VT+I,2
HIV,rtree64_bl0.3.tree,1,Blosum62+F+G4,3
HIV,rtree64_bl0.3.tree,1,mtREV+F+I,4
HIV,rtree64_bl0.3.tree,1,mtART+I,5
HIV,rtree64_bl0.3.tree,2,JTT+G4,1
HIV,rtree64_bl0.3.tree,2,cpREV+F+G4,2
HIV,rtree64_bl0.3.tree,2,FLU+G4,3
HIV,rtree64_bl0.3.tree,2,rtREV+F,4
HIV,rtree64_bl0.3.tree,2,mtART,5
HIV,rtree64_bl0.3.tree,3,JTT+F+G4,1
HIV,rtree64_bl0.3.tree,3,HIVw+F,2
HIV,rtree64_bl0.3.tree,3,Dayhoff+G4,3
HIV,rtree64_bl0.3.tree,3,rtREV+G4,4
HIV,rtree64_bl0.3.tree,3,mtART,5
HIV,rtree64_bl0.3.tree,4,JTT+F+G4,1
HIV,rtree64_bl0.3.tree,4,VT,2
HIV,rtree64_bl0.3.tree,4,mtInv+F,3
HIV,rtree64_bl0.3.tree,4,rtREV+G4,4
HIV,rtree64_bl0.3.tree,4,mtART,5
HIV,rtree64_bl0.3.tree,5,JTT+F+G4,1
HIV,rtree64_bl0.3.tree,5,WAG,2
HIV,rtree64_bl0.3.tree,5,DCMut+G4,3
HIV,rtree64_bl0.3.tree,5,rtREV+G4,4
HIV,rtree64_bl0.3.tree,5,mtART,5
HIV,rtree64_bl3.0.tree,1,PMB+F+G4,1
HIV,rtree64_bl3.0.tree,1,JTT+F,2
HIV,rtree64_bl3.0.tree,1,mtInv+F,3
HIV,rtree64_bl3.0.tree,1,FLU+G4,4
HIV,rtree64_bl3.0.tree,1,mtInv,5
HIV,rtree64_bl3.0.tree,2,PMB+F+G4,1
HIV,rtree64_bl3.0.tree,2,JTT+F,2
HIV,rtree64_bl3.0.tree,2,WAG+G4,3
HIV,rtree64_bl3.0.tree,2,FLU+G4,4
HIV,rtree64_bl3.0.tree,2,mtInv,5
HIV,rtree64_bl3.0.tree,3,PMB+F+G4,1
HIV,rtree64_bl3.0.tree,3,JTTDCMut+F,2
HIV,rtree64_bl3.0.tree,3,WAG+G4,3
HIV,rtree64_bl3.0.tree,3,FLU+G4,4
HIV,rtree64_bl3.0.tree,3,mtInv,5
HIV,rtree64_bl3.0.tree,4,PMB+F+G4,1
HIV,rtree64_bl3.0.tree,4,JTTDCMut+F,2
