model1,model2,r,rmse
HIVb,JTT,0.9061267006878839,30.92574616588492
HIVb,WAG,0.8179191315416201,32.48848004448868
HIVb,Blosum62,0.7026986928154362,32.96034778567393
HIVb,cpREV,0.8152540905521694,32.60762849806513
HIVb,Dayhoff,0.74786449205143,29.671694076095754
HIVb,DCMut,0.7481062180596071,29.70614925563911
HIVb,FLU,0.8684732728658326,55.64549204252501
HIVb,HIVw,0.8537481625383037,21.492593058437222
HIVb,JTTDCMut,0.9070691106854248,30.99505691075211
HIVb,LG,0.8056285167143213,33.20155764435798
HIVb,mtInv,0.7512902574633303,33.02047920170893
HIVb,mtMet,0.7999518138977348,31.912130832825383
HIVb,mtVer,0.823294273698263,27.770726705019865
HIVb,PMB,0.7126515786427985,32.73315423885213
HIVb,VT,0.8422597131701834,32.81051107226543
HIVb,mtMAM,0.7765718183615977,262859526.38267818
HIVb,mtREV,0.8128991763020137,31.087197176679027
HIVb,mtZOA,0.7052551476237796,33.23059006115859
HIVb,rtREV,0.7157173011691969,33.506293632417254
HIVb,mtART,0.6451847526000924,33.19589162699195
JTT,WAG,0.9354758621601187,1.726886963893806
JTT,Blosum62,0.8245778699177875,2.234857459619759
JTT,cpREV,0.8753633883481589,1.9511993999774513
JTT,Dayhoff,0.8977495851579562,2.752673009903647
JTT,DCMut,0.8979914690915869,2.706226476413917
JTT,FLU,0.8863856191502927,80.8050428103795
JTT,HIVw,0.7979723066471887,41.550522253926864
JTT,JTTDCMut,0.9993534972900316,0.12407811545913167
JTT,LG,0.9159485212517444,2.4822203086392176
JTT,mtInv,0.91360252628388,2.2496214785836237
JTT,mtMet,0.9062954631541638,1.3490285143290215
JTT,mtVer,0.876446965647689,4.782031138526662
JTT,PMB,0.8324762680141009,2.022380546470644
JTT,VT,0.9536169678752562,2.0558710912483193
JTT,mtMAM,0.8387252896356541,262859551.05381238
JTT,mtREV,0.8992302557417223,1.2567841508009097
JTT,mtZOA,0.8537068415140061,2.497237863006621
JTT,rtREV,0.8369535704039128,2.8072290914082902
JTT,mtART,0.7915963218884825,2.4705237546032195
WAG,Blosum62,0.9334197744134655,0.597321525809107
WAG,cpREV,0.9038371619170138,0.5749847990946597
WAG,Dayhoff,0.9200675046758954,3.953747763136794
WAG,DCMut,0.9205006122469442,3.903608620967548
WAG,FLU,0.8387367579305429,82.29499713470626
WAG,HIVw,0.6889956310146388,42.98849536761707
WAG,JTTDCMut,0.9398265003009427,1.6423290335596623
WAG,LG,0.9618981626849983,0.8733790859201459
WAG,mtInv,0.8803018484400377,0.7755541523907536
WAG,mtMet,0.8279066812904841,1.22805192417287
WAG,mtVer,0.7802775932491116,6.1770277259213255
WAG,PMB,0.9381224771612737,0.47310398951838506
WAG,VT,0.9792533372300963,0.46721186103806417
WAG,mtMAM,0.7572821711867641,262859552.51939678
WAG,mtREV,0.8713692207096043,1.9651192535708237
WAG,mtZOA,0.8521965085692462,0.9582649504655496
WAG,rtREV,0.8994995681012681,1.202115510919613
WAG,mtART,0.8106434185989047,0.949805794914904
Blosum62,cpREV,0.8208225732981003,0.7116923827745851
Blosum62,Dayhoff,0.7923402435461966,4.475728447940645
Blosum62,DCMut,0.7932647695858328,4.425225181448236
Blosum62,FLU,0.7769959360672177,82.73611346947911
Blosum62,HIVw,0.5848456804960994,43.40090074830431
Blosum62,JTTDCMut,0.8293869438704196,2.15383613280332
Blosum62,LG,0.9451751819530085,0.48617286829580525
Blosum62,mtInv,0.803162102548219,0.5904242418176099
Blosum62,mtMet,0.7454683278731364,1.5509535501119776
Blosum62,mtVer,0.6829805767638133,6.602007406570016
Blosum62,PMB,0.9701777578707729,0.37545047946669635
Blosum62,VT,0.9402038333422403,0.30756866810385347
Blosum62,mtMAM,0.7118298981524345,262859552.9164913
Blosum62,mtREV,0.7819108983233374,2.399285671231361
Blosum62,mtZOA,0.8213635430859423,0.6272119800409747
Blosum62,rtREV,0.9119911627434737,0.7674909196918649
Blosum62,mtART,0.8039022296181988,0.6391845655908692
cpREV,Dayhoff,0.8332224428798098,4.195500547583061
cpREV,DCMut,0.8332389772061816,4.146364136284799
cpREV,FLU,0.81425430084578,82.43582743673211
cpREV,HIVw,0.7144523383109045,43.06455714231121
cpREV,JTTDCMut,0.88121798327721,1.8660139511269065
cpREV,LG,0.8604322471608736,0.8343166739850557
cpREV,mtInv,0.8374581457919121,0.7266240830625664
cpREV,mtMet,0.7970713939466416,1.3385332140843904
cpREV,mtVer,0.774386602337283,6.282032305549466
cpREV,PMB,0.8424306125598153,0.6906183129594957
cpREV,VT,0.8929967281832767,0.5817528053838285
cpREV,mtMAM,0.710741104962898,262859552.67536965
cpREV,mtREV,0.8340674413569096,2.1262679789192367
cpREV,mtZOA,0.8306220518079884,0.8486839248070506
cpREV,rtREV,0.7889578597825226,1.1067443970993691
cpREV,mtART,0.7714906555206641,0.8720053511572039
Dayhoff,DCMut,0.9999917771278517,0.05387840304018371
Dayhoff,FLU,0.7449533571878544,79.43984254293366
Dayhoff,HIVw,0.5833750257130462,40.75484182022125
Dayhoff,JTTDCMut,0.9019389951840326,2.7874360755067573
Dayhoff,LG,0.85658307261099,4.745491000016282
Dayhoff,mtInv,0.8758290202180791,4.501871336414736
Dayhoff,mtMet,0.8183637553816516,3.6129743284897304
Dayhoff,mtVer,0.7562141309752779,4.453841082885695
Dayhoff,PMB,0.8208773631482713,4.226596544323249
Dayhoff,VT,0.8873368560719073,4.349712412010155
Dayhoff,mtMAM,0.6964073409958078,262859549.7480013
Dayhoff,mtREV,0.8195926747989222,3.0590866752417103
Dayhoff,mtZOA,0.8232669640023154,4.735677721956203
Dayhoff,rtREV,0.8079905069345267,5.04594883012505
Dayhoff,mtART,0.7702101408266947,4.694027236283208
DCMut,FLU,0.7455016390962386,79.4751241571612
DCMut,HIVw,0.5834616433575772,40.78258860016817
DCMut,JTTDCMut,0.9021512735542503,2.740656346256793
DCMut,LG,0.857165277629519,4.695650698993752
DCMut,mtInv,0.87586740811757,4.452471871618499
DCMut,mtMet,0.8184008138240635,3.5659374491828446
DCMut,mtVer,0.7560375220213849,4.461095288073091
DCMut,PMB,0.8217417712231996,4.175923776227739
DCMut,VT,0.8879843562242875,4.299343224443287
DCMut,mtMAM,0.6965532448803812,262859549.7841754
DCMut,mtREV,0.8195798284382262,3.0168890267118886
DCMut,mtZOA,0.8233570934912113,4.686308050678924
DCMut,rtREV,0.808808388012632,4.9961821937164395
DCMut,mtART,0.7704867862533524,4.644624196739616
FLU,HIVw,0.8388175033923035,50.4610925449281
FLU,JTTDCMut,0.8859610215189058,80.87640070000967
FLU,LG,0.8298437714893755,83.01305091384374
FLU,mtInv,0.7620443452029434,82.83736168806288
FLU,mtMet,0.7825398515725595,81.76296864394902
FLU,mtVer,0.7569184594445617,77.87839596387774
FLU,PMB,0.7928590724398064,82.49265902861502
FLU,VT,0.8578076606970029,82.63184831744793
FLU,mtMAM,0.7485804030114409,262859488.1298884
FLU,mtREV,0.7757488240653412,81.00013726404825
FLU,mtZOA,0.7517415681201645,83.02360856055931
FLU,rtREV,0.7678369620739218,83.31386215285914
FLU,mtART,0.7097107054736033,82.97007860629
HIVw,JTTDCMut,0.7971177762554713,41.61709112037646
HIVw,LG,0.6546590838248434,43.62898273219099
HIVw,mtInv,0.6165978800179517,43.469360598081806
HIVw,mtMet,0.6816464006292628,42.47940752565904
HIVw,mtVer,0.7441283106714212,38.60341422657243
HIVw,PMB,0.5639725238165552,43.228806679631994
HIVw,VT,0.7136619071914102,43.26401648670001
HIVw,mtMAM,0.7025297870980963,262859520.7909908
HIVw,mtREV,0.6956076246901238,41.7473064143154
HIVw,mtZOA,0.5418257702746794,43.67500704210117
HIVw,rtREV,0.5434470058415033,43.90045561026569
HIVw,mtART,0.46713231508678266,43.66734348550164
JTTDCMut,LG,0.9189862788852906,2.401275203889103
JTTDCMut,mtInv,0.9105154581922889,2.1744882023400343
JTTDCMut,mtMet,0.9014658714751291,1.3087452837280793
JTTDCMut,mtVer,0.8750696303512865,4.8437051761551935
JTTDCMut,PMB,0.8369934577287593,1.942673084811888
JTTDCMut,VT,0.9550244421046488,1.9766077058665814
JTTDCMut,mtMAM,0.8368657078346657,262859551.12531736
JTTDCMut,mtREV,0.8985972834958842,1.2536902630195235
JTTDCMut,mtZOA,0.8532947379397315,2.418968146448631
JTTDCMut,rtREV,0.8403687039914021,2.7269909266453727
JTTDCMut,mtART,0.7914456386055334,2.3928506217040866
LG,mtInv,0.8892204855925585,0.4382622648460293
LG,mtMet,0.8396621770053356,1.6955004834061265
LG,mtVer,0.7892763643878027,6.798541910382721
LG,PMB,0.9430428640946307,0.764527997802082
LG,VT,0.9793768877149528,0.48690782047884845
LG,mtMAM,0.7952382603455229,262859553.15049016
LG,mtREV,0.8643380643505263,2.6224004089378385
LG,mtZOA,0.8952368322048054,0.31429084348637437
LG,rtREV,0.948787488196559,0.36020193765579145
LG,mtART,0.8676447016212301,0.4093233929037693
mtInv,mtMet,0.959697568863968,1.3552857589264222
mtInv,mtVer,0.8677188453971499,6.518182787537364
mtInv,PMB,0.8264517966026836,0.7476783554662726
mtInv,VT,0.9052902152038608,0.4634883086668277
mtInv,mtMAM,0.8280888436360063,262859552.90244702
mtInv,mtREV,0.9050064503776346,2.3621007498710864
mtInv,mtZOA,0.9566111642402918,0.3244667404654355
mtInv,rtREV,0.8362520063678974,0.6729843944080144
mtInv,mtART,0.9164425159736687,0.371037096354426
mtMet,mtVer,0.9402459714206877,5.257302095500691
mtMet,PMB,0.7634883662713986,1.4185086309966548
mtMet,VT,0.8638837985384976,1.3799877821329631
mtMet,mtMAM,0.906545421113915,262859551.6431893
mtMet,mtREV,0.9217334749419646,1.3587833138612888
mtMet,mtZOA,0.9214939135511031,1.59342896804177
mtMet,rtREV,0.7779306319175037,1.977248483834705
mtMet,mtART,0.8716883345060935,1.5561083331544827
mtVer,PMB,0.6842971710009276,6.4166884141678
mtVer,VT,0.8104880853207028,6.452866505725296
mtVer,mtMAM,0.9603552733721185,262859546.61829612
mtVer,mtREV,0.9106916294788394,4.549483559513105
mtVer,mtZOA,0.8310230721680816,6.73400493774704
mtVer,rtREV,0.7045251868283067,7.089050444954342
mtVer,mtART,0.7734458006502771,6.691847341913951
PMB,VT,0.942582372818448,0.4154834560917212
PMB,mtMAM,0.6920192177855886,262859552.72536427
PMB,mtREV,0.7904330437918007,2.208704538865902
PMB,mtZOA,0.8451143285942718,0.8531183988029247
PMB,rtREV,0.912121774829672,1.057668260449662
PMB,mtART,0.8319757702156858,0.8299850699738813
VT,mtMAM,0.7950314091332478,262859552.81229642
VT,mtREV,0.8808581643788878,2.25925029163661
