model1,model2,r
LG,cpREV,0.8604322471608736
LG,mtREV,0.8643380643505263
LG,Dayhoff,0.85658307261099
LG,mtMAM,0.7952382603455229
LG,JTT,0.9159485212517444
LG,WAG,0.9618981626849983
LG,mtART,0.8676447016212301
LG,mtZOA,0.8952368322048054
LG,VT,0.9793768877149528
LG,rtREV,0.948787488196559
LG,DCMut,0.857165277629519
LG,PMB,0.9430428640946307
LG,HIVb,0.8056285167143213
LG,HIVw,0.6546590838248434
LG,JTTDCMut,0.9189862788852906
LG,FLU,0.8298437714893755
LG,Blosum62,0.9451751819530085
LG,mtMet,0.8396621770053356
LG,mtVer,0.7892763643878027
LG,mtInv,0.8892204855925585
cpREV,mtREV,0.8340674413569096
cpREV,Dayhoff,0.8332224428798098
cpREV,mtMAM,0.710741104962898
cpREV,JTT,0.8753633883481589
cpREV,WAG,0.9038371619170138
cpREV,mtART,0.7714906555206641
cpREV,mtZOA,0.8306220518079884
cpREV,VT,0.8929967281832767
cpREV,rtREV,0.7889578597825226
cpREV,DCMut,0.8332389772061816
cpREV,PMB,0.8424306125598153
cpREV,HIVb,0.8152540905521694
cpREV,HIVw,0.7144523383109045
cpREV,JTTDCMut,0.88121798327721
cpREV,FLU,0.81425430084578
cpREV,Blosum62,0.8208225732981003
cpREV,mtMet,0.7970713939466416
cpREV,mtVer,0.774386602337283
cpREV,mtInv,0.8374581457919121
mtREV,Dayhoff,0.8195926747989222
mtREV,mtMAM,0.9134310262432916
mtREV,JTT,0.8992302557417223
mtREV,WAG,0.8713692207096043
mtREV,mtART,0.8425364593282854
mtREV,mtZOA,0.8864305650500115
mtREV,VT,0.8808581643788878
mtREV,rtREV,0.7857927922986234
mtREV,DCMut,0.8195798284382262
mtREV,PMB,0.7904330437918007
mtREV,HIVb,0.8128991763020137
mtREV,HIVw,0.6956076246901238
mtREV,JTTDCMut,0.8985972834958842
mtREV,FLU,0.7757488240653412
mtREV,Blosum62,0.7819108983233374
mtREV,mtMet,0.9217334749419646
mtREV,mtVer,0.9106916294788394
mtREV,mtInv,0.9050064503776346
Dayhoff,mtMAM,0.6964073409958078
Dayhoff,JTT,0.8977495851579562
Dayhoff,WAG,0.9200675046758954
Dayhoff,mtART,0.7702101408266947
Dayhoff,mtZOA,0.8232669640023154
Dayhoff,VT,0.8873368560719073
Dayhoff,rtREV,0.8079905069345267
Dayhoff,DCMut,0.9999917771278517
Dayhoff,PMB,0.8208773631482713
