name,tree,rep,model,logl,k,AIC,AICc,BIC,rf,treelength
LAC,dosreis,1,m3,-21069.7529,563,43265.5058,678329.5058,45274.4838,96,12.789815319299942
LAC,dosreis,1,m2,-19985.7435,563,41097.4869,676161.4869,43106.4649,94,16.616491994599954
LAC,dosreis,1,m1,-19538.9539,545,40167.9077,635307.9077,42112.6555,84,15.846855684499962
LAC,dosreis,1,m4,-21669.6868,544,44427.3736,637387.3736,46368.5530,102,12.934112508899966
LAC,dosreis,1,m5,-24277.3284,543,49640.6567,640424.6567,51578.2678,92,16.530101631799962
LAC,dosreis,1,poisson,-23089.4762,543,47264.9523,638048.9523,49202.5634,92,12.242037654399983
LAC,dosreis,1,GTR20,-20889.3737,751,43280.7474,1172784.7474,45960.5741,92,12.420774517399956
LAC,andersen,1,m4,-9537.5141,363,19801.0282,284065.0282,21096.3372,140,12.487140235199973
LAC,andersen,1,m5,-10765.5113,343,22217.0225,258201.0225,23440.9647,134,7.125291285600005
LAC,andersen,1,m3,-9375.1031,345,19440.2061,258180.2061,20671.2850,133,13.299922968799988
LAC,andersen,1,m2,-9004.2411,364,18736.4822,284456.4822,20035.3596,142,9.429687558500008
LAC,andersen,1,m1,-8858.1159,345,18406.2319,257146.2319,19637.3107,140,8.154241922700006
LAC,andersen,1,poisson,-10177.4521,343,21040.9042,257024.9042,22264.8463,136,5.3915369357000085
LAC,andersen,1,GTR20,-9254.9389,551,19611.8778,627915.8778,21578.0356,142,5.526883171100003
LAC,opisthokonta,1,m3,-18742.3887,138,37760.7774,38072.6798,38253.2089,14,47.37128819410002
LAC,opisthokonta,1,poisson,-20924.4743,137,42122.9486,42427.8841,42611.8118,16,14.919153853799994
LAC,opisthokonta,1,m2,-17873.6300,157,36061.2599,36538.2984,36621.4900,10,25.084345720500007
LAC,opisthokonta,1,m1,-17586.9854,139,35451.9708,35770.9872,35947.9707,12,23.3438748637
LAC,opisthokonta,1,m4,-19657.7414,137,39589.4828,39894.4182,40078.3460,16,16.1765602448
LAC,opisthokonta,1,m5,-22016.9863,137,44307.9725,44612.9080,44796.8357,18,23.537584090999992
LAC,opisthokonta,1,GTR20,-19130.5476,345,38951.0952,277691.0952,40182.1740,14,15.547842989700008
LAC,prum,1,m1,-8864.0218,399,18526.0436,337726.0436,19949.8131,121,5.265174302700004
LAC,prum,1,m3,-9326.3209,416,19484.6419,366428.6419,20969.0732,129,4.6806821573000015
LAC,prum,1,m2,-9090.8478,418,19017.6956,369301.6956,20509.2636,130,6.200050875100003
LAC,prum,1,m4,-9582.9727,416,19997.9454,366941.9454,21482.3767,136,4.7386486264000025
LAC,prum,1,m5,-10726.5233,397,22247.0466,338259.0466,23663.6794,147,6.343242623300006
LAC,prum,1,GTR20,-9164.4800,605,19538.9599,752798.9599,21697.8083,134,4.6758742132
LAC,prum,1,poisson,-10148.8760,397,21091.7521,337103.7521,22508.3848,134,4.6469211610000025
LAC,ruhfel,1,poisson,-31782.6045,671,64907.2090,966731.2090,67301.5681,240,19.649940728799997
LAC,ruhfel,1,m1,-26904.4046,673,55154.8092,962358.8092,57556.3050,230,28.15363261110004
LAC,ruhfel,1,m3,-29017.0098,672,59378.0196,963890.0196,61775.9471,232,19.611179999400036
LAC,ruhfel,1,m2,-27437.0051,691,56256.0102,1012600.0102,58721.7362,230,32.498764608499904
LAC,ruhfel,1,m4,-29767.9371,690,60915.8742,1014495.8742,63378.0319,238,20.67028779800002
LAC,ruhfel,1,m5,-33657.1315,671,68656.2631,970480.2631,71050.6222,234,28.63796019320004
LAC,ruhfel,1,GTR20,-29053.3129,879,59864.6259,1606904.6259,63001.2007,236,19.99967563470004
LAC,salichos,1,poisson,-8214.1209,43,16514.2417,16531.5995,16667.6805,2,6.0142549260000004
