name,tree,rep,total_entropy
HIV,ruhfel,10,2.8636016582476738
HIV,ruhfel,11,2.8234361454570376
HA,salichos,1,2.8321967383524056
NP,rayfinned,18,2.822963829050251
NP,salichos,1,2.8031295284339857
NP,rayfinned,19,2.8274065919094147
HA,ruhfel,2,2.826216317791226
HA,ruhfel,3,2.825995793969559
HA,andersen,14,2.81191107090351
LAC,salichos,13,2.783150341980437
HA,andersen,15,2.8481334434835346
LAC,salichos,12,2.7988253474682203
LAC,spiralia,18,2.753167623120011
NP,dosreis,3,2.8188897656960803
HIV,andersen,1,2.8488560460509627
LAC,spiralia,19,2.816279846341411
NP,dosreis,2,2.7862333991102157
LAC,dosreis,6,2.7775865313130015
HA,dosreis,4,2.838927239670314
LAC,dosreis,7,2.8031877191270054
HA,dosreis,5,2.8156731078409845
NP,andersen,4,2.8061565861343905
NP,andersen,5,2.770484956851875
HIV,spiralia,11,2.848151280945965
HIV,spiralia,10,2.854972234774368
HA,andersen,4,2.842493821630428
LAC,opisthokonta,5,2.787520847014301
HA,andersen,5,2.8338627374216423
LAC,opisthokonta,4,2.799442784530955
HIV,salichos,4,2.8452141637705957
HIV,salichos,5,2.8574079622456408
NP,prum,1,2.8122248359865867
LAC,rayfinned,4,2.7689509081547663
LAC,rayfinned,5,2.7620458113162685
LAC,ruhfel,7,2.8146357495032968
HA,dosreis,20,2.8212445594982127
LAC,ruhfel,6,2.765025421502043
HA,opisthokonta,5,2.8276948503401687
NP,dosreis,20,2.800607971148795
HA,opisthokonta,4,2.8356037129649425
HA,dosreis,14,2.8071880835528344
HA,dosreis,15,2.835314966622483
NP,dosreis,14,2.7713344248211853
HIV,rayfinned,7,2.8582380286728344
NP,dosreis,15,2.8170369092159677
HIV,rayfinned,6,2.8482404026602834
NP,dosreis,9,2.791832531418313
LAC,spiralia,12,2.7745110591115707
NP,dosreis,8,2.7979212495692574
LAC,spiralia,13,2.8097139750045432
NP,andersen,11,2.8121617378455217
LAC,salichos,19,2.8030759395124445
NP,andersen,10,2.818416589098075
LAC,salichos,18,2.7575091772483686
NP,rayfinned,12,2.8359411456285843
NP,rayfinned,13,2.8020489209572244
HA,ruhfel,8,2.8237922275715786
HA,ruhfel,9,2.8080919068938694
NP,opisthokonta,7,2.8161597452099216
NP,opisthokonta,6,2.8100714716331834
HIV,dosreis,10,2.8575933447604727
HIV,dosreis,11,2.8308834607054294
HA,andersen,20,2.8318304129930842
LAC,spiralia,1,2.812535861644592
HA,opisthokonta,17,2.8279011779736596
HA,opisthokonta,16,2.825897021008569
HA,prum,10,2.823468326046173
HA,prum,11,2.8176615025588805
HIV,salichos,10,2.8442641428297266
HIV,salichos,11,2.8358599862315694
HA,prum,7,2.8090521524631105
HA,prum,6,2.828763530194648
LAC,andersen,10,2.8346701735866553
NP,salichos,18,2.8160258464420096
HA,salichos,17,2.853411870010463
LAC,andersen,11,2.7676531638400172
NP,salichos,19,2.8235128373517173
HA,salichos,16,2.829339920366528
NP,spiralia,13,2.7970470762799735
NP,spiralia,12,2.832058824702649
LAC,dosreis,18,2.7977973966488836
NP,opisthokonta,20,2.815095498746278
HIV,opisthokonta,20,2.8309329545492883
LAC,dosreis,19,2.720283326575009
LAC,prum,7,2.7931309181599095
HIV,prum,2,2.841745448154991
LAC,prum,6,2.817488774778253
NP,ruhfel,20,2.799283201482882
HIV,prum,3,2.8236671304448664
LAC,salichos,6,2.801903197356539
LAC,salichos,7,2.7537357450850446
HIV,spiralia,9,2.8400045289419293
HIV,ruhfel,1,2.870741062315874
HIV,spiralia,8,2.8202413977752467
LAC,rayfinned,15,2.739143494953627
LAC,rayfinned,14,2.815617214099986
LAC,prum,14,2.7759986745794882
LAC,prum,15,2.773972355792337
HA,ruhfel,18,2.8345060895728498
HA,ruhfel,19,2.8346527386474034
HA,rayfinned,10,2.8091997401682733
HA,rayfinned,11,2.792199469257319
HIV,andersen,19,2.844209464929197
LAC,opisthokonta,14,2.7957285730650985
HIV,andersen,18,2.859889443042935
LAC,opisthokonta,15,2.7935090405872494
NP,prum,20,2.8094486078980156
LAC,andersen,2,2.785257199318178
LAC,andersen,3,2.7883318255552156
HIV,rayfinned,10,2.84939054619507
HIV,rayfinned,11,2.812745671621178
HA,rayfinned,1,2.8238781945668276
HIV,prum,10,2.859754576619026
HIV,prum,11,2.8638332344445976
HIV,spiralia,3,2.865783718077972
HIV,spiralia,2,2.8360765739179974
HIV,prum,8,2.8381068463608528
HIV,prum,9,2.8271146119599138
NP,prum,14,2.831759315030492
NP,prum,15,2.7833320952535705
HIV,opisthokonta,1,2.842152747562631
LAC,dosreis,12,2.8006357189844024
LAC,opisthokonta,20,2.794383463255847
LAC,dosreis,13,2.7780621534017786
NP,spiralia,19,2.8275143231346376
HA,spiralia,16,2.833956032792996
NP,spiralia,18,2.8226301522815445
HA,spiralia,17,2.8254827710204347
LAC,prum,20,2.789778494593701
NP,salichos,12,2.8225759778073
NP,salichos,13,2.8126525601050685
HA,spiralia,7,2.840762469883017
HA,spiralia,6,2.83500609801104
NP,spiralia,7,2.80699376949631
LAC,rayfinned,20,2.7581173983430327
NP,spiralia,6,2.802940702437172
HIV,dosreis,6,2.848820052814305
NP,rayfinned,5,2.75864875359867
NP,rayfinned,4,2.8178965032230847
HIV,dosreis,7,2.845796417072382
NP,ruhfel,15,2.814763631279966
LAC,andersen,8,2.812373102337114
NP,ruhfel,14,2.819386078678191
LAC,andersen,9,2.7965611028010877
HIV,andersen,13,2.8455312842472282
HIV,opisthokonta,14,2.856184746687844
NP,opisthokonta,14,2.803997415300395
NP,ruhfel,4,2.7815454319040667
HIV,andersen,12,2.8578676544069617
NP,ruhfel,5,2.805913050248732
HIV,opisthokonta,15,2.842898336243926
NP,opisthokonta,15,2.8052092150329244
HA,ruhfel,12,2.8610453094061703
LAC,ruhfel,10,2.7811305293235042
HA,ruhfel,13,2.8510173607792026
LAC,ruhfel,11,2.795240917795842
HIV,andersen,20,2.8572866904896683
HA,prum,1,2.820135218098283
LAC,andersen,17,2.792093737526356
HA,salichos,10,2.8408916897559076
HA,ruhfel,20,2.831975609507466
LAC,andersen,16,2.6876847845837744
HA,salichos,11,2.823779317150447
NP,spiralia,14,2.8277863699556662
NP,spiralia,15,2.788423889051423
LAC,rayfinned,12,2.766717588273199
LAC,rayfinned,13,2.741488742396611
HIV,prum,5,2.8724604469619828
LAC,prum,1,2.7823737669179898
HIV,prum,4,2.8511606183283185
NP,prum,19,2.8220297444357287
LAC,salichos,1,2.785175665897399
NP,prum,18,2.8172102845935445
HIV,ruhfel,7,2.8370128874982865
HIV,ruhfel,6,2.8278812442523122
NP,ruhfel,9,2.7767067325219204
HIV,opisthokonta,19,2.849571763666261
NP,opisthokonta,19,2.806920605679718
LAC,opisthokonta,13,2.7893586250882363
LAC,dosreis,20,2.805515804801396
HIV,opisthokonta,18,2.8588461700463252
NP,opisthokonta,18,2.8031435951573207
LAC,opisthokonta,12,2.812149790626891
NP,ruhfel,8,2.814125020993076
LAC,prum,13,2.7923504233373926
LAC,prum,12,2.747713773883646
NP,salichos,20,2.8084388072217736
HA,rayfinned,17,2.817152156983353
HA,rayfinned,16,2.8279946452238143
HIV,rayfinned,17,2.824133093928498
HIV,rayfinned,16,2.818756163231981
HA,rayfinned,7,2.8209994408608514
NP,rayfinned,8,2.7975715070558698
HA,rayfinned,6,2.824360309270069
NP,rayfinned,9,2.817924272116813
NP,ruhfel,18,2.810677387351011
LAC,andersen,5,2.7434691172663985
NP,ruhfel,19,2.806062785565028
LAC,andersen,4,2.793381627415186
HIV,spiralia,4,2.854618340999327
HIV,spiralia,5,2.8607423619788377
NP,prum,13,2.8202055347419934
HIV,opisthokonta,7,2.8649456310249293
HIV,opisthokonta,6,2.856807205844807
NP,prum,12,2.7906679078526553
HIV,prum,17,2.8369839352031105
HIV,prum,16,2.806002060196484
LAC,rayfinned,18,2.7557244160568546
LAC,rayfinned,19,2.7757045771106124
HA,spiralia,11,2.7866307042068734
HA,spiralia,10,2.8440103226913527
NP,salichos,15,2.8095906888562006
NP,salichos,14,2.819966845399999
LAC,dosreis,15,2.75975550304027
LAC,dosreis,14,2.7972741741240763
NP,ruhfel,12,2.8067751926263154
NP,ruhfel,13,2.7946651690086486
HA,spiralia,1,2.797363489826264
NP,spiralia,1,2.8025740320159063
HIV,dosreis,1,2.83251810460302
NP,rayfinned,2,2.7953669004525854
NP,rayfinned,3,2.832364268338919
HA,ruhfel,15,2.8477801159381393
LAC,ruhfel,17,2.7709743638066353
HA,ruhfel,14,2.8535208477001963
LAC,ruhfel,16,2.800229491941042
LAC,prum,19,2.7796115522392215
LAC,prum,18,2.7767594711458488
NP,spiralia,20,2.8197351291992376
HIV,andersen,14,2.8415910945395
NP,ruhfel,3,2.831749843023282
LAC,opisthokonta,19,2.786086820571983
HIV,opisthokonta,13,2.8574048612291607
NP,opisthokonta,13,2.8007316916071705
HIV,andersen,15,2.847623289162798
LAC,opisthokonta,18,2.800145094005097
HIV,opisthokonta,12,2.8511253429822037
NP,opisthokonta,12,2.8186202230653907
NP,ruhfel,2,2.787771684218485
HA,andersen,13,2.821050195678743
LAC,salichos,14,2.794365835671851
HA,andersen,12,2.8360574841330335
LAC,salichos,15,2.7870349886566563
HIV,andersen,7,2.8567932793973867
NP,dosreis,4,2.7981843844717385
HIV,andersen,6,2.852726578344109
NP,dosreis,5,2.820472246903069
HIV,ruhfel,17,2.8504016693596728
HIV,ruhfel,16,2.8539325754408487
HA,salichos,7,2.8330681619144706
HA,salichos,6,2.8534493480508956
NP,salichos,7,2.81763551735635
NP,salichos,6,2.815634882337961
HA,ruhfel,5,2.853912326969954
HA,ruhfel,4,2.847550416648951
NP,dosreis,19,2.78858776181563
NP,dosreis,18,2.8039009038857428
HA,dosreis,19,2.838499737690562
HA,dosreis,18,2.848574686083437
LAC,dosreis,1,2.840194526070029
HA,dosreis,3,2.8009671583655726
HA,dosreis,2,2.821298876519599
HIV,salichos,3,2.846758995840446
HIV,salichos,2,2.8498884563743814
LAC,spiralia,20,2.790913239586739
NP,prum,6,2.8042975843159446
NP,prum,7,2.8003954573393055
NP,andersen,3,2.8118355274743236
NP,andersen,2,2.8028582140724536
NP,rayfinned,20,2.802323033017853
HIV,spiralia,16,2.845054890734282
HIV,spiralia,17,2.8558319433433463
HA,andersen,3,2.8364690278466544
LAC,opisthokonta,2,2.827216248231162
HA,andersen,2,2.826242756854841
LAC,opisthokonta,3,2.801372657808825
LAC,ruhfel,1,2.8086059899252667
HA,opisthokonta,2,2.8391793026017322
HA,opisthokonta,3,2.838193870220701
