name,tree,rep,model,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,andersen,1,poisson,-29044.8309,351,58791.6617,60484.1549,60269.5824,78,8.955479418600003
NP,andersen,1,q1,-26823.2085,353,54352.4170,56088.0003,55838.7588,80,9.45139249990001
NP,andersen,1,q2,-27448.5083,353,55603.0166,57338.6000,57089.3585,78,10.018693480999998
NP,andersen,1,q3,-27895.0249,352,56494.0499,58207.9257,57976.1811,76,9.870677005400005
NP,andersen,1,q4,-28436.1377,351,57574.2753,59266.7685,59052.1959,78,9.550265283200002
NP,andersen,1,q5,-31410.3317,351,63522.6635,65215.1566,65000.5841,86,13.3237971341
NP,dosreis,1,poisson,-66142.8995,545,133375.7990,728515.7990,135670.5761,30,20.24776507640001
NP,dosreis,1,q1,-60123.1349,565,121376.2698,760956.2698,123755.2589,36,22.262454113
NP,dosreis,1,q2,-61735.9678,565,124601.9356,764181.9356,126980.9247,32,25.11345700790002
NP,dosreis,1,q3,-63422.8367,546,127937.6734,725261.6734,130236.6611,32,20.8598693166
NP,dosreis,1,q4,-64514.7826,545,130119.5652,725259.5652,132414.3423,34,21.163255773600014
NP,dosreis,1,q5,-72917.5121,546,146927.0241,744251.0241,149226.0118,54,27.923665112399988
NP,greenalga,1,poisson,-10799.6141,43,21685.2281,21693.5629,21866.2839,0,3.3326302515999995
NP,greenalga,1,q1,-10011.2731,44,20110.5462,20119.2879,20295.8126,2,3.5607757867000003
NP,greenalga,1,q2,-10235.3094,63,20596.6188,20615.1995,20861.8866,0,4.281729390699999
NP,greenalga,1,q3,-10371.9959,43,20829.9919,20838.3267,21011.0477,2,3.4077443177999998
NP,greenalga,1,q4,-10544.4687,44,21176.9375,21185.6792,21362.2039,0,3.766132637
NP,greenalga,1,q5,-11769.4448,43,23624.8896,23633.2244,23805.9454,0,4.882452842400001
NP,opisthokonta,1,poisson,-56105.3696,137,112484.7393,112589.7726,113061.5915,6,24.632828620399994
NP,opisthokonta,1,q1,-51398.7359,157,103111.4718,103257.3895,103772.5361,6,29.1222420282
NP,opisthokonta,1,q2,-52692.8668,137,105659.7337,105764.7670,106236.5859,4,25.803877996999997
NP,opisthokonta,1,q3,-54121.9010,156,108555.8021,108699.4502,109212.6557,8,29.612622115899995
NP,opisthokonta,1,q4,-54519.1411,137,109312.2823,109417.3156,109889.1345,4,27.127263521199993
NP,opisthokonta,1,q5,-60751.5348,137,121777.0696,121882.1030,122353.9218,6,43.35892916170002
NP,prum,1,poisson,-29324.9513,397,59443.9025,62604.0225,61115.5107,98,7.7634675964
NP,prum,1,q1,-26974.1050,399,54746.2100,58003.3528,56426.2394,94,8.421481260300006
NP,prum,1,q2,-27599.7868,418,56035.5735,60469.5482,57795.6044,100,10.411033694000011
NP,prum,1,q3,-28315.0218,417,57464.0435,61821.6935,59219.8637,96,8.9301263859
NP,prum,1,q4,-28824.7316,397,58443.4632,61603.5832,60115.0714,94,7.763715081199996
NP,prum,1,q5,-32264.7033,397,65323.4066,68483.5266,66995.0148,90,9.990039451899998
NP,ruhfel,1,poisson,-89923.4964,693,181232.9928,1143116.9928,184150.9387,126,32.94378102609998
NP,ruhfel,1,q1,-82616.0789,713,166658.1579,1184822.1579,169660.3157,118,35.25269223670001
NP,ruhfel,1,q2,-85020.5584,713,171467.1169,1189631.1169,174469.2747,132,44.04044532839998
NP,ruhfel,1,q3,-86815.0538,712,175054.1076,1190366.1076,178052.0549,124,38.006971722699966
NP,ruhfel,1,q4,-87994.9267,694,177377.8533,1142037.8533,180300.0098,126,53.45803125880002
