name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,andersen,1,poisson,inferredtree,-29044.8309,351,58791.6617,60484.1549,60269.5824,78,8.955479418600003
NP,andersen,1,r1,inferredtree,-26823.2085,353,54352.4170,56088.0003,55838.7588,80,9.45139249990001
NP,andersen,1,r2,inferredtree,-28016.7114,351,56735.4228,58427.9159,58213.3434,76,9.197777049699997
NP,andersen,1,r3,inferredtree,-29319.6398,370,59379.2795,61541.0118,60937.2015,82,10.949740512799996
NP,andersen,1,r4,inferredtree,-30398.3908,352,61500.7816,63214.6575,62982.9128,84,12.782741923100001
NP,andersen,1,r5,inferredtree,-31410.3317,351,63522.6635,65215.1566,65000.5841,86,13.3237971341
NP,andersen,1,poisson,optimizedtruetree,-29066.8350,351,58835.6700,60528.1632,60313.5907,4,8.971355106900004
NP,andersen,1,r1,optimizedtruetree,-26841.9566,353,54389.9132,56125.4965,55876.2550,4,9.467296786400004
NP,andersen,1,r2,optimizedtruetree,-28039.1959,351,56780.3918,58472.8849,58258.3124,4,9.212191162500007
NP,andersen,1,r3,optimizedtruetree,-29351.4946,370,59442.9893,61604.7216,61000.9113,4,10.970202786500003
NP,andersen,1,r4,optimizedtruetree,-30439.1900,352,61582.3801,63296.2559,63064.5113,4,12.80629008410001
NP,andersen,1,r5,optimizedtruetree,-31460.7712,351,63623.5424,65316.0355,65101.4630,4,13.330025080300008
NP,dosreis,1,poisson,inferredtree,-66142.8995,545,133375.7990,728515.7990,135670.5761,30,20.24776507640001
NP,dosreis,1,r1,inferredtree,-60123.1349,565,121376.2698,760956.2698,123755.2589,36,22.262454113
NP,dosreis,1,r2,inferredtree,-63446.9210,545,127983.8420,723123.8420,130278.6191,32,20.862509119299997
NP,dosreis,1,r3,inferredtree,-66515.9495,564,134159.8991,771479.8991,136534.6775,38,21.607611088800017
NP,dosreis,1,r4,inferredtree,-69753.6800,546,140599.3600,737923.3600,142898.3477,46,57.12299958939997
NP,dosreis,1,r5,inferredtree,-72917.5121,546,146927.0241,744251.0241,149226.0118,54,27.923665112399988
NP,dosreis,1,poisson,optimizedtruetree,-66160.7301,545,133411.4602,728551.4602,135706.2372,0,20.25926347390001
NP,dosreis,1,r1,optimizedtruetree,-60143.0789,565,121416.1577,760996.1577,123795.1468,0,22.32636089739999
NP,dosreis,1,r2,optimizedtruetree,-63465.8456,545,128021.6912,723161.6912,130316.4682,0,20.869667544500015
NP,dosreis,1,r3,optimizedtruetree,-66544.7889,564,134217.5778,771537.5778,136592.3562,0,21.62272707100001
NP,dosreis,1,r4,optimizedtruetree,-69803.1966,546,140698.3932,738022.3932,142997.3809,0,57.4070176034999
NP,dosreis,1,r5,optimizedtruetree,-72963.6896,546,147019.3793,744343.3793,149318.3669,0,27.948506513699982
NP,opisthokonta,1,poisson,inferredtree,-56105.3696,137,112484.7393,112589.7726,113061.5915,6,24.632828620399994
NP,opisthokonta,1,r1,inferredtree,-51398.7359,157,103111.4718,103257.3895,103772.5361,6,29.1222420282
NP,opisthokonta,1,r2,inferredtree,-53479.6273,137,107233.2546,107338.2880,107810.1068,4,26.428065920600012
NP,opisthokonta,1,r3,inferredtree,-55396.0811,137,111066.1621,111171.1955,111643.0143,6,27.2751028
NP,opisthokonta,1,r4,inferredtree,-58415.2047,156,117142.4095,117286.0575,117799.2631,10,36.142012627300026
NP,opisthokonta,1,r5,inferredtree,-60751.5348,137,121777.0696,121882.1030,122353.9218,6,43.35892916170002
NP,opisthokonta,1,poisson,optimizedtruetree,-56112.3926,137,112498.7853,112603.8186,113075.6375,0,24.648933878700003
NP,opisthokonta,1,r1,optimizedtruetree,-51404.1281,157,103122.2562,103268.1739,103783.3204,0,29.0960923625
