name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,andersen,1,m1,inferredtree,-26823.2085,353,54352.4170,56088.0003,55838.7588,80,9.45139249990001
NP,andersen,1,m2,inferredtree,-27448.5083,353,55603.0166,57338.6000,57089.3585,78,10.018693480999998
NP,andersen,1,m3,inferredtree,-27895.0249,352,56494.0499,58207.9257,57976.1811,76,9.870677005400005
NP,andersen,1,m4,inferredtree,-28436.1377,351,57574.2753,59266.7685,59052.1959,78,9.550265283200002
NP,andersen,1,m5,inferredtree,-31410.3317,351,63522.6635,65215.1566,65000.5841,86,13.3237971341
NP,andersen,1,poisson,inferredtree,-29044.8309,351,58791.6617,60484.1549,60269.5824,78,8.955479418600003
NP,andersen,1,m1,optimizedtruetree,-26841.9566,353,54389.9132,56125.4965,55876.2550,4,9.467296786400004
NP,andersen,1,m2,optimizedtruetree,-27468.3255,353,55642.6510,57378.2344,57128.9929,4,10.029100023600002
NP,andersen,1,m3,optimizedtruetree,-27915.9659,352,56535.9319,58249.8078,58018.0631,4,9.8994350497
NP,andersen,1,m4,optimizedtruetree,-28458.5635,351,57619.1271,59311.6202,59097.0477,4,9.564933864200002
NP,andersen,1,m5,optimizedtruetree,-31460.7712,351,63623.5424,65316.0355,65101.4630,4,13.330025080300008
NP,andersen,1,poisson,optimizedtruetree,-29066.8350,351,58835.6700,60528.1632,60313.5907,4,8.971355106900004
NP,dosreis,1,m1,inferredtree,-60123.1349,565,121376.2698,760956.2698,123755.2589,36,22.262454113
NP,dosreis,1,m2,inferredtree,-61735.9678,565,124601.9356,764181.9356,126980.9247,32,25.11345700790002
NP,dosreis,1,m3,inferredtree,-63422.8367,546,127937.6734,725261.6734,130236.6611,32,20.8598693166
NP,dosreis,1,m4,inferredtree,-64514.7826,545,130119.5652,725259.5652,132414.3423,34,21.163255773600014
NP,dosreis,1,m5,inferredtree,-72917.5121,546,146927.0241,744251.0241,149226.0118,54,27.923665112399988
NP,dosreis,1,poisson,inferredtree,-66142.8995,545,133375.7990,728515.7990,135670.5761,30,20.24776507640001
NP,dosreis,1,m1,optimizedtruetree,-60143.0789,565,121416.1577,760996.1577,123795.1468,0,22.32636089739999
NP,dosreis,1,m2,optimizedtruetree,-61760.9100,565,124651.8200,764231.8200,127030.8091,0,25.1356171104
NP,dosreis,1,m3,optimizedtruetree,-63441.7478,546,127975.4956,725299.4956,130274.4832,0,20.86718148930001
NP,dosreis,1,m4,optimizedtruetree,-64542.4689,545,130174.9377,725314.9377,132469.7148,0,21.175342818799983
NP,dosreis,1,m5,optimizedtruetree,-72963.6896,546,147019.3793,744343.3793,149318.3669,0,27.948506513699982
NP,dosreis,1,poisson,optimizedtruetree,-66160.7301,545,133411.4602,728551.4602,135706.2372,0,20.25926347390001
NP,opisthokonta,1,m1,inferredtree,-51398.7359,157,103111.4718,103257.3895,103772.5361,6,29.1222420282
NP,opisthokonta,1,m2,inferredtree,-52692.8668,137,105659.7337,105764.7670,106236.5859,4,25.803877996999997
NP,opisthokonta,1,m3,inferredtree,-54121.9010,156,108555.8021,108699.4502,109212.6557,8,29.612622115899995
NP,opisthokonta,1,m4,inferredtree,-54519.1411,137,109312.2823,109417.3156,109889.1345,4,27.127263521199993
