name,tree,rep,model,logl,k,AIC,AICc,BIC,rf,treelength
LAC,dosreis,1,m3,-30113.3387,565,61356.6773,700936.6773,63372.7919,64,27.610273438300034
LAC,dosreis,1,m2,-29807.9730,546,60707.9459,658031.9459,62656.2620,62,18.01264920739999
LAC,dosreis,1,m1,-28818.8743,547,58731.7487,658243.7487,60683.6331,66,16.801682164299972
LAC,dosreis,1,m4,-30602.6943,566,62337.3886,704181.3886,64357.0716,70,32.33670794590003
LAC,dosreis,1,m5,-34013.8978,545,69117.7956,664257.7956,71062.5434,64,22.06551385780002
LAC,dosreis,1,poisson,-32437.1416,545,65964.2831,661104.2831,67909.0309,70,18.612629762499996
LAC,dosreis,1,GTR20,-27906.4373,753,57318.8745,1192842.8745,60005.8379,60,18.84188611990003
LAC,andersen,1,m4,-13183.3264,343,27052.6527,263036.6527,28276.5949,102,8.171939520500002
LAC,andersen,1,m5,-14694.0498,343,30074.0996,266058.0996,31298.0418,116,10.696872136100005
LAC,andersen,1,m3,-12808.6831,363,26343.3663,290607.3663,27638.6753,98,8.364894329999997
LAC,andersen,1,m2,-12785.9769,344,26259.9537,263619.9537,27487.4643,96,8.183116049800006
LAC,andersen,1,m1,-12425.3522,345,25540.7043,264280.7043,26771.7832,98,8.6654560777
LAC,andersen,1,poisson,-13796.9014,343,28279.8028,264263.8028,29503.7450,94,7.970706831200002
LAC,andersen,1,GTR20,-12004.2232,551,25110.4463,633414.4463,27076.6042,98,8.279235254200005
LAC,opisthokonta,1,m3,-25558.5044,139,51395.0088,51714.0252,51891.0087,22,26.097646849000007
LAC,opisthokonta,1,poisson,-27581.4435,137,55436.8870,55741.8225,55925.7502,12,22.051335049100008
LAC,opisthokonta,1,m2,-24989.9225,158,50295.8449,50783.6507,50859.6433,22,34.29383985680001
LAC,opisthokonta,1,m1,-24357.2119,158,49030.4239,49518.2297,49594.2223,14,25.503211198099997
LAC,opisthokonta,1,m4,-26273.4425,137,52820.8851,53125.8206,53309.7483,18,25.18885813170001
LAC,opisthokonta,1,m5,-28725.2642,137,57724.5285,58029.4639,58213.3916,26,33.604024967499996
LAC,opisthokonta,1,GTR20,-24082.5008,345,48855.0017,287595.0017,50086.0805,8,23.762698609999998
LAC,prum,1,m1,-12399.4555,399,25596.9111,344796.9111,27020.6805,127,7.572050075100005
LAC,prum,1,m3,-13000.6500,398,26797.3000,344401.3000,28217.5011,125,7.016440756900008
LAC,prum,1,m2,-12778.3765,398,26352.7529,343956.7529,27772.9540,126,8.618235257800007
LAC,prum,1,m4,-13206.6425,398,27209.2849,344813.2849,28629.4860,132,6.619770670900004
LAC,prum,1,m5,-14390.6043,397,29575.2085,345587.2085,30991.8413,133,8.130955612100001
LAC,prum,1,GTR20,-11941.8038,605,25093.6076,758353.6076,27252.4561,133,6.829710643599998
LAC,prum,1,poisson,-13820.8336,397,28435.6672,344447.6672,29852.3000,132,6.795940255300002
LAC,ruhfel,1,poisson,-41549.0766,671,84440.1531,986264.1531,86834.5123,220,27.5082440179
LAC,ruhfel,1,m1,-36708.4400,692,74800.8801,1033912.8801,77270.1744,222,27.301942015900032
LAC,ruhfel,1,m3,-38533.0743,690,78446.1486,1032026.1486,80908.3063,230,29.26225755800001
LAC,ruhfel,1,m2,-37911.4391,671,77164.8783,978988.8783,79559.2374,220,28.190878375900006
LAC,ruhfel,1,m4,-39025.9076,690,79431.8152,1033011.8152,81893.9729,232,30.756414597199992
LAC,ruhfel,1,m5,-43378.7848,671,88099.5696,989923.5696,90493.9288,232,38.7168768062999
LAC,ruhfel,1,GTR20,-36088.9096,879,73935.8192,1620975.8192,77072.3941,218,29.064626062200016
LAC,salichos,1,poisson,-10209.2742,43,20504.5484,20521.9062,20657.9872,10,8.568167607500001
LAC,salichos,1,m2,-9291.5944,64,18711.1889,18753.4224,18939.5629,14,17.3755060746
LAC,salichos,1,m3,-9436.4765,44,18960.9530,18979.2018,19117.9601,14,9.773959787099997
LAC,salichos,1,m1,-9075.7052,64,18279.4104,18321.6439,18507.7844,12,11.811700839100004
LAC,salichos,1,m5,-10530.6697,43,21147.3393,21164.6971,21300.7781,14,13.924838581499996
LAC,salichos,1,m4,-9628.7105,45,19347.4210,19366.5877,19507.9965,12,18.5178013538
LAC,salichos,1,GTR20,-8989.4382,251,18480.8763,31131.2763,19376.5308,8,9.370013558500002
LAC,rayfinned,1,poisson,-24500.3962,601,50202.7924,773806.7924,52347.3674,166,13.131056941099976
LAC,rayfinned,1,GTR20,-21249.0211,809,44116.0423,1354696.0423,47002.8330,153,13.234818079900005
LAC,rayfinned,1,m5,-26193.4648,601,53588.9297,777192.9297,55733.5047,170,16.236254701999954
LAC,rayfinned,1,m4,-23409.2560,620,48058.5121,818098.5121,50270.8857,157,13.5441932916
LAC,rayfinned,1,m1,-21963.9720,622,45171.9441,820183.9441,47391.4543,160,17.138532569799935
LAC,rayfinned,1,m2,-22710.4416,603,46626.8832,775050.8832,48778.5950,154,16.239930061099955
LAC,rayfinned,1,m3,-22763.3768,621,46768.7537,819292.7537,48984.6956,172,13.242954239699948
LAC,spiralia,1,m2,-16311.4499,203,33028.8998,34456.8998,33753.2737,20,11.110458000100003
LAC,spiralia,1,m3,-16521.5881,204,33451.1762,34918.5446,34179.1185,30,12.408076407899994
LAC,spiralia,1,m1,-15788.8609,205,31987.7218,33495.9361,32719.2324,26,12.010961549099997
LAC,spiralia,1,m5,-18975.7110,203,38357.4220,39785.4220,39081.7960,30,13.690540652100001
LAC,spiralia,1,m4,-17049.4703,223,34544.9405,37173.9932,35340.6814,28,11.5135895369
LAC,spiralia,1,poisson,-17839.5865,203,36085.1731,37513.1731,36809.5470,24,10.802503371799993
LAC,spiralia,1,GTR20,-15313.4579,411,31448.9158,370112.9158,32915.5054,18,10.997167019700003
LAC,dosreis,2,poisson,-30694.1610,545,62478.3219,657618.3219,64423.0697,88,17.417791833700004
LAC,dosreis,2,GTR20,-26452.7633,753,54411.5266,1189935.5266,57098.4900,62,17.666704210599992
LAC,dosreis,2,m5,-32671.6550,545,66433.3101,661573.3101,68378.0578,68,21.20677511670001
LAC,dosreis,2,m4,-28988.6758,546,59069.3515,656393.3515,61017.6676,74,17.027630422399977
LAC,dosreis,2,m1,-27379.0053,566,55890.0106,697734.0106,57909.6936,60,21.321602275200014
LAC,dosreis,2,m2,-28196.5422,564,57521.0845,694841.0845,59533.6308,56,17.98621214669999
LAC,dosreis,2,m3,-28634.4801,565,58398.9601,697978.9601,60415.0748,60,18.04486621160001
LAC,andersen,2,m1,-12099.4838,351,24900.9677,272004.9677,26153.4566,112,8.118471314799999
LAC,andersen,2,m2,-12428.1380,350,25556.2759,271256.2759,26805.1965,124,8.1101774034
LAC,andersen,2,m3,-12472.2448,368,25680.4896,297264.4896,26993.6404,124,7.893738629499999
LAC,andersen,2,m5,-13869.4711,349,28436.9423,272736.9423,29682.2945,132,9.817804005400001
LAC,andersen,2,m4,-12882.6702,350,26465.3404,272165.3404,27714.2609,124,7.758258416100001
LAC,andersen,2,poisson,-13448.4792,349,27594.9584,271894.9584,28840.3107,120,7.639048324200002
LAC,andersen,2,GTR20,-11697.4246,557,24508.8493,646120.8493,26496.4172,120,8.0235355143
LAC,opisthokonta,2,GTR20,-24096.6655,345,48883.3309,287623.3309,50114.4098,10,24.15900104879999
LAC,opisthokonta,2,m5,-28711.2199,137,57696.4399,58001.3754,58185.3031,22,34.17651516420001
LAC,opisthokonta,2,m4,-26026.5762,137,52327.1525,52632.0879,52816.0156,14,23.3598892746
LAC,opisthokonta,2,m1,-24311.5929,158,48939.1858,49426.9916,49502.9842,16,25.464757575500006
LAC,opisthokonta,2,m2,-24882.9610,157,50079.9219,50556.9604,50640.1520,16,33.368214353599996
LAC,opisthokonta,2,m3,-25442.0648,157,51198.1297,51675.1682,51758.3598,20,43.00374211580001
LAC,opisthokonta,2,poisson,-27796.2781,137,55866.5562,56171.4916,56355.4194,26,22.5129093377
LAC,prum,2,poisson,-13804.8156,397,28403.6312,344415.6312,29820.2640,114,6.780396219400003
LAC,prum,2,GTR20,-11913.0007,605,25036.0013,758296.0013,27194.8497,116,6.80368769410001
LAC,prum,2,m5,-14366.9781,397,29527.9562,345539.9562,30944.5890,122,7.962938131900004
LAC,prum,2,m4,-13005.2836,416,26842.5671,373786.5671,28326.9984,120,6.979404093100004
LAC,prum,2,m2,-12609.8411,418,26055.6821,376339.6821,27547.2501,122,8.588043653600002
LAC,prum,2,m3,-12870.6439,399,26539.2878,345739.2878,27963.0572,126,7.023240634200006
LAC,prum,2,m1,-12379.6076,418,25595.2152,375879.2152,27086.7832,126,7.643456476500014
LAC,ruhfel,2,m5,-44207.4355,689,89792.8711,1040612.8711,92251.4605,218,39.09361130229988
LAC,ruhfel,2,m4,-40069.7246,709,81557.4491,1088337.4491,84087.4054,196,31.4539131235
LAC,ruhfel,2,m2,-38628.9367,690,78637.8734,1032217.8734,81100.0311,198,43.49795394559989
LAC,ruhfel,2,m3,-39221.1408,689,79820.2817,1030640.2817,82278.8710,200,29.480992906500013
LAC,ruhfel,2,poisson,-42167.6028,689,85713.2055,1036533.2055,88171.7949,196,28.220246858500015
LAC,ruhfel,2,m1,-37476.4542,691,76334.9083,1032678.9083,78800.6344,192,29.686001217900014
LAC,ruhfel,2,GTR20,-36740.6279,897,75275.2557,1686287.2557,78476.0607,186,29.697497591100007
LAC,salichos,2,m4,-9588.3752,43,19262.7503,19280.1081,19416.1892,12,9.3712188664
LAC,salichos,2,m5,-10434.5050,43,20955.0100,20972.3678,21108.4488,10,14.1275363568
LAC,salichos,2,m1,-9027.9235,64,18183.8469,18226.0804,18412.2210,10,11.227151972200003
LAC,salichos,2,m3,-9382.1348,43,18850.2697,18867.6275,19003.7085,12,8.8985386194
LAC,salichos,2,m2,-9162.3289,63,18450.6578,18491.3850,18675.4635,10,9.964156565999998
LAC,salichos,2,poisson,-10104.7478,43,20295.4956,20312.8534,20448.9344,12,8.313010680699998
LAC,salichos,2,GTR20,-8907.6255,251,18317.2510,30967.6510,19212.9054,6,9.1464941092
LAC,rayfinned,2,m3,-22615.8255,620,46471.6510,816511.6510,48684.0246,156,13.948365218899974
LAC,rayfinned,2,m2,-22144.6171,618,45525.2341,810609.2341,47730.4710,144,13.128518874199974
LAC,rayfinned,2,m1,-21590.9036,601,44383.8072,767987.8072,46528.3822,154,13.355883597299986
LAC,rayfinned,2,m4,-22960.7867,618,47157.5735,812241.5735,49362.8104,154,12.999154974499977
LAC,rayfinned,2,m5,-25444.1835,599,52086.3670,770886.3670,54223.8053,160,15.091458516399955
LAC,rayfinned,2,GTR20,-20849.3329,807,43312.6658,1347424.6658,46192.3198,134,12.95963305269997
LAC,rayfinned,2,poisson,-24205.5132,599,49609.0264,768409.0264,51746.4648,146,12.891932848699975
LAC,spiralia,2,poisson,-17086.8861,203,34579.7722,36007.7722,35304.1461,22,10.276955956599998
LAC,spiralia,2,m4,-16184.9113,203,32775.8226,34203.8226,33500.1965,36,10.105043026699999
LAC,spiralia,2,m5,-18049.5365,203,36505.0731,37933.0731,37229.4470,42,12.370933502299996
LAC,spiralia,2,m1,-15232.3698,205,30874.7396,32382.9539,31606.2502,36,10.796161148200003
LAC,spiralia,2,m3,-16059.1431,223,32564.2861,35193.3388,33360.0269,42,13.355102909999994
LAC,spiralia,2,m2,-15730.2858,205,31870.5715,33378.7858,32602.0821,36,12.839479816699995
LAC,spiralia,2,GTR20,-14792.1568,411,30406.3136,369070.3136,31872.9032,32,10.41190129289999
LAC,dosreis,3,m3,-28600.4501,565,58330.9001,697910.9001,60347.0148,70,17.967475956500003
LAC,dosreis,3,m2,-28022.8318,566,57177.6636,699021.6636,59197.3465,72,21.88812636100001
LAC,dosreis,3,m1,-27231.2443,547,55556.4886,655068.4886,57508.3731,62,17.815746272600006
LAC,dosreis,3,poisson,-30596.8469,545,62283.6937,657423.6937,64228.4415,66,17.3167901151
LAC,dosreis,3,m4,-29020.2923,564,59168.5846,696488.5846,61181.1309,64,17.846436804899998
LAC,dosreis,3,m5,-32384.0897,545,65858.1793,660998.1793,67802.9271,84,20.265397885800034
LAC,dosreis,3,GTR20,-26362.0458,753,54230.0916,1189754.0916,56917.0550,66,17.574679573800015
LAC,andersen,3,GTR20,-11554.4983,555,24218.9966,641378.9966,26199.4278,112,7.947275892900006
LAC,andersen,3,poisson,-13342.5027,347,27379.0055,268891.0055,28617.2210,122,7.593913101900005
LAC,andersen,3,m4,-12635.4331,349,25968.8661,270268.8661,27214.2184,118,11.833077286200005
LAC,andersen,3,m5,-13983.7789,347,28661.5578,270173.5578,29899.7734,126,9.8163632766
LAC,andersen,3,m3,-12402.8990,347,25499.7980,267011.7980,26738.0135,130,7.846032787500001
LAC,andersen,3,m2,-12221.9837,348,25139.9675,268043.9675,26381.7513,118,9.246943191700002
LAC,andersen,3,m1,-11885.8508,368,24507.7017,296091.7017,25820.8524,120,8.794762786700005
LAC,opisthokonta,3,m3,-24304.1216,137,48882.2433,49187.1787,49371.1064,14,21.685542552799998
LAC,opisthokonta,3,m2,-23786.0534,158,47888.1067,48375.9125,48451.9051,16,22.9577919524
LAC,opisthokonta,3,m1,-23166.2684,158,46648.5367,47136.3426,47212.3352,12,23.010303498299983
LAC,opisthokonta,3,m4,-24782.8928,138,49841.7856,50153.6880,50334.2171,14,24.757324152999992
LAC,opisthokonta,3,m5,-27378.2019,137,55030.4038,55335.3393,55519.2670,26,31.55273946599999
LAC,opisthokonta,3,poisson,-26462.4782,137,53198.9564,53503.8919,53687.8196,14,20.8726905185
LAC,opisthokonta,3,GTR20,-22950.6320,345,46591.2641,285331.2641,47822.3429,8,22.34415881019999
LAC,prum,3,m1,-12214.5685,399,25227.1371,344427.1371,26650.9065,130,6.913580712100003
LAC,prum,3,m3,-12678.3176,416,26188.6352,373132.6352,27673.0665,126,6.873016780300002
LAC,prum,3,m2,-12465.5509,418,25767.1018,376051.1018,27258.6698,137,9.229933563700001
LAC,prum,3,m4,-12922.3459,397,26638.6918,342650.6918,28055.3246,136,6.807067613400011
LAC,prum,3,m5,-14327.5554,397,29449.1108,345461.1108,30865.7436,140,7.717525412600007
LAC,prum,3,poisson,-13587.1511,397,27968.3023,343980.3023,29384.9350,125,6.703269817499998
LAC,prum,3,GTR20,-11773.1576,605,24756.3151,758016.3151,26915.1636,131,6.735810753600014
LAC,ruhfel,3,GTR20,-35669.7738,877,73093.5476,1613105.5476,76222.9857,188,29.09165999450002
LAC,ruhfel,3,poisson,-41101.1518,669,83540.3036,980000.3036,85927.5260,220,27.323141563800007
LAC,ruhfel,3,m1,-36357.6160,690,74095.2320,1027675.2320,76557.3897,220,31.4360671001
LAC,ruhfel,3,m3,-38042.7041,689,77463.4082,1028283.4082,79921.9975,224,32.50869827569992
LAC,ruhfel,3,m2,-37518.1676,671,76378.3352,978202.3352,78772.6943,218,26.082647473400026
LAC,ruhfel,3,m4,-38963.5314,670,79267.0629,978407.0629,81657.8537,214,28.680118810200028
LAC,ruhfel,3,m5,-43689.9176,669,88717.8353,985177.8353,91105.0577,222,37.56706895339991
LAC,salichos,3,GTR20,-9063.9617,251,18629.9233,31280.3233,19525.5778,4,9.3349941118
LAC,salichos,3,m2,-9285.7731,63,18697.5462,18738.2735,18922.3519,4,10.038246301900003
LAC,salichos,3,m3,-9494.5250,44,19077.0500,19095.2988,19234.0571,8,9.372184238900001
LAC,salichos,3,m1,-9139.3760,64,18406.7519,18448.9854,18635.1260,2,11.349367373599998
LAC,salichos,3,m5,-10459.5399,43,21005.0799,21022.4377,21158.5187,8,13.2213773162
LAC,salichos,3,poisson,-10305.1343,43,20696.2686,20713.6264,20849.7075,6,8.5130440427
LAC,salichos,3,m4,-9617.6295,62,19359.2589,19398.5152,19580.4963,2,11.197605797500001
LAC,rayfinned,3,GTR20,-19859.9525,805,41329.9050,1338989.9050,44202.4224,172,12.19206666819999
LAC,rayfinned,3,m5,-23953.7104,597,49101.4208,763113.4208,51231.7225,176,14.495414259899961
LAC,rayfinned,3,m4,-21809.9237,599,44817.8474,763617.8474,46955.2858,174,22.196027283399964
LAC,rayfinned,3,m1,-20449.0661,599,42096.1323,760896.1323,44233.5706,174,12.967926779199978
LAC,rayfinned,3,m2,-21062.0186,599,43322.0373,762122.0373,45459.4757,168,17.238523920099958
LAC,rayfinned,3,m3,-21442.5140,598,44081.0281,760485.0281,46214.8981,170,12.001290018399972
LAC,rayfinned,3,poisson,-22963.0652,597,47120.1304,761132.1304,49250.4321,172,12.118835849199993
LAC,spiralia,3,GTR20,-14945.0819,411,30712.1638,369376.1638,32178.7534,14,10.838097880300008
LAC,spiralia,3,poisson,-17480.4179,203,35366.8357,36794.8357,36091.2097,34,10.571957573800002
LAC,spiralia,3,m2,-15712.8352,224,31873.6704,34597.9947,32672.9796,24,14.046613576399997
LAC,spiralia,3,m3,-16059.7386,203,32525.4772,33953.4772,33249.8511,22,10.648261659100001
LAC,spiralia,3,m1,-15312.2684,205,31034.5368,32542.7511,31766.0474,24,11.183369928200003
LAC,spiralia,3,m5,-18096.1633,203,36598.3265,38026.3265,37322.7005,26,13.421817315299998
LAC,spiralia,3,m4,-16291.4174,222,33026.8348,35565.6040,33819.0073,20,11.026109226299997
LAC,dosreis,4,m5,-33328.4903,545,67746.9806,662886.9806,69691.7284,66,21.931798941700034
LAC,dosreis,4,m4,-29750.4131,564,60628.8262,697948.8262,62641.3725,66,17.922905582599988
LAC,dosreis,4,m1,-27802.7761,547,56699.5522,656211.5522,58651.4367,54,20.383044758300002
LAC,dosreis,4,m2,-28626.0178,566,58384.0356,700228.0356,60403.7185,64,27.098786963300007
LAC,dosreis,4,m3,-29189.8998,547,59473.7996,658985.7996,61425.6840,58,30.45626774810003
LAC,dosreis,4,poisson,-31151.2176,545,63392.4352,658532.4352,65337.1830,62,17.588136989699986
LAC,dosreis,4,GTR20,-26984.0646,753,55474.1291,1190998.1291,58161.0925,64,17.876335239299994
LAC,andersen,4,poisson,-12782.7245,343,26251.4491,262235.4491,27475.3912,122,7.263624422400003
LAC,andersen,4,GTR20,-11202.3694,551,23506.7388,631810.7388,25472.8966,122,7.616406661100005
LAC,andersen,4,m1,-11559.1504,345,23808.3008,262548.3008,25039.3797,124,8.036961845300006
LAC,andersen,4,m2,-11813.5363,364,24355.0726,290075.0726,25653.9500,116,8.609285233700005
LAC,andersen,4,m3,-11969.4102,362,24662.8205,287474.8205,25954.5612,126,7.568439607900004
LAC,andersen,4,m5,-13560.5283,343,27807.0565,263791.0565,29030.9987,134,10.445475564300002
LAC,andersen,4,m4,-12264.3597,343,25214.7194,261198.7194,26438.6616,132,7.587574965900004
LAC,opisthokonta,4,GTR20,-23306.3745,345,47302.7490,286042.7490,48533.8279,8,22.684991953199997
LAC,opisthokonta,4,m5,-27831.8085,137,55937.6170,56242.5525,56426.4802,26,31.730848534800007
LAC,opisthokonta,4,m4,-25193.2989,138,50662.5978,50974.5002,51155.0293,10,22.970365663400006
LAC,opisthokonta,4,m1,-23416.1477,158,47148.2954,47636.1012,47712.0938,16,25.21817011850002
LAC,opisthokonta,4,m2,-24099.2936,158,48514.5872,49002.3931,49078.3857,18,28.039367623300006
LAC,opisthokonta,4,m3,-24670.3589,158,49656.7178,50144.5236,50220.5162,16,57.836216716400024
LAC,opisthokonta,4,poisson,-26740.7130,137,53755.4260,54060.3614,54244.2892,16,21.213500161400002
LAC,prum,4,m5,-14958.0755,397,30710.1511,346722.1511,32126.7838,114,7.963044759799999
LAC,prum,4,poisson,-14148.4503,397,29090.9005,345102.9005,30507.5333,108,7.009966255000003
LAC,prum,4,m4,-13568.5520,398,27933.1040,345537.1040,29353.3051,124,12.610723990299986
LAC,prum,4,m2,-12949.2779,418,26734.5558,377018.5558,28226.1238,116,8.935729797099988
LAC,prum,4,m3,-13208.4037,417,27250.8073,375862.8073,28738.8070,109,10.505161814299983
LAC,prum,4,m1,-12555.5093,417,25945.0187,374557.0187,27433.0183,118,8.290931679000003
LAC,prum,4,GTR20,-12231.8103,605,25673.6206,758933.6206,27832.4690,118,7.021372541900004
LAC,ruhfel,4,poisson,-41011.5353,667,83357.0707,974469.0707,85737.1565,210,27.110953833499998
LAC,ruhfel,4,m5,-43001.2102,667,87336.4205,978448.4205,89716.5063,228,35.28142861309993
LAC,ruhfel,4,m4,-38820.8905,686,79013.7809,1021577.7809,81461.6653,228,29.72888256210001
LAC,ruhfel,4,m2,-37371.9511,669,76081.9023,972541.9023,78469.1248,208,26.708559835899987
LAC,ruhfel,4,GTR20,-35578.7283,875,72907.4566,1605907.4566,76029.7580,206,28.589274432500023
LAC,ruhfel,4,m3,-37963.6013,687,77301.2026,1022613.2026,79752.6553,220,40.679568239199924
LAC,ruhfel,4,m1,-36382.6388,669,74103.2776,970563.2776,76490.5001,212,25.080974702000017
LAC,salichos,4,GTR20,-9139.8003,251,18781.6006,31432.0006,19677.2550,6,9.4706598221
LAC,salichos,4,poisson,-10309.9471,43,20705.8941,20723.2519,20859.3329,10,8.4813449983
LAC,salichos,4,m4,-9832.4340,44,19752.8680,19771.1168,19909.8751,8,20.204309760799994
LAC,salichos,4,m5,-10794.8920,43,21675.7840,21693.1418,21829.2228,4,15.185528722399997
LAC,salichos,4,m1,-9258.0290,64,18644.0581,18686.2916,18872.4321,6,11.828649281
LAC,salichos,4,m3,-9552.5458,63,19231.0916,19271.8189,19455.8973,6,23.1829760474
LAC,salichos,4,m2,-9417.3534,63,18960.7069,19001.4341,19185.5126,10,11.072586146499999
LAC,rayfinned,4,m3,-22758.5317,621,46759.0634,819283.0634,48975.0054,156,13.586343020199983
LAC,rayfinned,4,m2,-22371.2665,620,45982.5329,816022.5329,48194.9065,154,13.27883384679998
LAC,rayfinned,4,m1,-21768.6010,603,44743.2019,773167.2019,46894.9137,140,14.016183684699955
LAC,rayfinned,4,m4,-23174.5904,601,47551.1809,771155.1809,49695.7559,139,13.338055613899993
LAC,rayfinned,4,poisson,-24443.8575,601,50089.7149,773693.7149,52234.2900,158,13.131195008099976
LAC,rayfinned,4,m5,-25753.8520,601,52709.7039,776313.7039,54854.2790,156,15.52908246739995
LAC,rayfinned,4,GTR20,-21066.0014,809,43750.0028,1354330.0028,46636.7935,150,13.268204512799977
LAC,spiralia,4,m4,-16365.6535,222,33175.3069,35714.0761,33967.4794,24,10.592662180099987
LAC,spiralia,4,poisson,-17275.1673,203,34956.3346,36384.3346,35680.7085,26,10.364390933100005
LAC,spiralia,4,m5,-18584.0042,203,37574.0085,39002.0085,38298.3824,26,13.014256434799998
LAC,spiralia,4,m1,-15351.3552,224,31150.7104,33875.0348,31950.0196,18,11.851924896599995
LAC,spiralia,4,m3,-16061.6568,224,32571.3135,35295.6379,33370.6227,20,17.502669252199993
LAC,spiralia,4,m2,-15749.2127,223,31944.4254,34573.4780,32740.1662,24,10.744577813800005
LAC,spiralia,4,GTR20,-14879.7244,411,30581.4488,369245.4488,32048.0384,22,10.557993024399996
LAC,dosreis,5,poisson,-30378.3352,541,61838.6703,648282.6703,63769.1447,72,17.109072779299993
LAC,dosreis,5,GTR20,-26098.8189,749,53695.6378,1177195.6378,56368.3278,72,17.343880438000003
LAC,dosreis,5,m3,-28024.0566,561,57170.1131,687734.1131,59171.9544,78,17.8535668517
LAC,dosreis,5,m2,-27499.6656,562,56123.3312,688935.3312,58128.7408,86,23.5917340115
LAC,dosreis,5,m1,-26863.5936,543,54813.1873,645597.1873,56750.7983,82,17.539798579999974
LAC,dosreis,5,m4,-28489.9052,560,58099.8105,686419.8105,60098.0834,80,17.403285340900005
LAC,dosreis,5,m5,-31685.9722,541,64453.9444,650897.9444,66384.4188,88,20.717676675000032
LAC,andersen,5,m4,-13033.6107,353,26773.2215,276697.2215,28032.8471,122,9.701690334600004
LAC,andersen,5,m5,-14341.3443,351,29384.6887,276488.6887,30637.1776,116,9.700157769700006
LAC,andersen,5,m3,-12724.3645,352,26152.7289,274664.7289,27408.7862,124,8.082144502400004
LAC,andersen,5,m2,-12528.0569,353,25762.1137,275686.1137,27021.7393,118,8.5487020591
LAC,andersen,5,m1,-12196.3661,353,25098.7322,275022.7322,26358.3578,120,8.073043787100001
LAC,andersen,5,GTR20,-11799.2743,559,24716.5487,650796.5487,26711.2533,126,7.95102703690001
LAC,andersen,5,poisson,-13495.6559,351,27693.3119,274797.3119,28945.8008,130,7.750844837100005
LAC,opisthokonta,5,m3,-25270.4931,157,50854.9862,51332.0247,51415.2163,30,47.835588111899995
LAC,opisthokonta,5,m2,-24705.6980,138,49687.3960,49999.2985,50179.8276,26,22.830849722800004
LAC,opisthokonta,5,m1,-24036.5341,158,48389.0682,48876.8740,48952.8666,18,25.04856120599999
LAC,opisthokonta,5,poisson,-27504.2494,137,55282.4988,55587.4343,55771.3620,24,22.153165310800002
