simtype,modelm,name_levels,tree_levels,model_name,n
control,m1,LAC,Aves,WAG+G4,1
control,m1,LAC,Lassa Virus,WAG+G4,2
control,m1,LAC,Yeast,WAG+G4,2
control,m1,HA,Yeast,WAG+I+G4,4
control,m1,HA,Lassa Virus,WAG+G4,5
control,m1,NP,Aves,WAG+G4,5
control,m1,NP,Yeast,WAG+I+G4,6
control,m1,NP,Lassa Virus,WAG+G4,7
control,m1,HA,Aves,WAG+G4,8
control,m1,HA,Aves,WAG+I+G4,12
control,m1,NP,Lassa Virus,WAG+I+G4,13
control,m1,NP,Yeast,WAG+G4,14
control,m1,HA,Lassa Virus,WAG+I+G4,15
control,m1,NP,Aves,WAG+I+G4,15
control,m1,HA,Yeast,WAG+G4,16
control,m1,LAC,Lassa Virus,WAG+I+G4,18
control,m1,LAC,Yeast,WAG+I+G4,18
control,m1,LAC,Aves,WAG+I+G4,19
control,m1,HA,Mammals,WAG+I+G4,20
control,m1,HA,Opisthokonta,WAG+I+G4,20
control,m1,HA,Ray-finned fish,WAG+I+G4,20
control,m1,HA,Green Plant,WAG+I+G4,20
control,m1,HA,Spiralia,WAG+I+G4,20
control,m1,HIV,Lassa Virus,WAG+I+G4,20
control,m1,HIV,Mammals,WAG+I+G4,20
control,m1,HIV,Opisthokonta,WAG+I+G4,20
control,m1,HIV,Aves,WAG+I+G4,20
control,m1,HIV,Ray-finned fish,WAG+I+G4,20
control,m1,HIV,Green Plant,WAG+I+G4,20
control,m1,HIV,Yeast,WAG+I+G4,20
control,m1,HIV,Spiralia,WAG+I+G4,20
control,m1,LAC,Mammals,WAG+I+G4,20
control,m1,LAC,Opisthokonta,WAG+I+G4,20
control,m1,LAC,Ray-finned fish,WAG+I+G4,20
control,m1,LAC,Green Plant,WAG+I+G4,20
control,m1,LAC,Spiralia,WAG+I+G4,20
control,m1,NP,Mammals,WAG+I+G4,20
control,m1,NP,Opisthokonta,WAG+I+G4,20
control,m1,NP,Ray-finned fish,WAG+I+G4,20
control,m1,NP,Green Plant,WAG+I+G4,20
control,m1,NP,Spiralia,WAG+I+G4,20
control,m2,HA,Lassa Virus,rtREV+F+I+G4,1
control,m2,HA,Mammals,rtREV+F+I+G4,1
control,m2,HA,Opisthokonta,DCMut+G4,1
control,m2,HA,Opisthokonta,rtREV+F+I+G4,1
control,m2,HA,Opisthokonta,rtREV+I+G4,1
control,m2,HA,Aves,rtREV+F+G4,1
control,m2,HA,Yeast,rtREV+I+G4,1
control,m2,HA,Spiralia,rtREV+F+G4,1
control,m2,HIV,Lassa Virus,rtREV+F+G4,1
control,m2,HIV,Mammals,rtREV+G4,1
control,m2,HIV,Opisthokonta,Dayhoff+F+G4,1
control,m2,HIV,Opisthokonta,rtREV+F+G4,1
control,m2,HIV,Opisthokonta,rtREV+G4,1
control,m2,HIV,Aves,Dayhoff+F+I+G4,1
control,m2,HIV,Aves,rtREV+F+I+G4,1
control,m2,HIV,Green Plant,DCMut+G4,1
control,m2,HIV,Green Plant,rtREV+G4,1
control,m2,HIV,Yeast,Dayhoff+F+G4,1
control,m2,HIV,Yeast,rtREV+G4,1
control,m2,HIV,Spiralia,rtREV+F+G4,1
control,m2,LAC,Lassa Virus,cpREV+F+I+G4,1
control,m2,LAC,Lassa Virus,Dayhoff+F+G4,1
control,m2,LAC,Mammals,cpREV+F+I+G4,1
control,m2,LAC,Opisthokonta,rtREV+F+I+G4,1
control,m2,LAC,Aves,Blosum62+I,1
control,m2,LAC,Aves,LG+I,1
control,m2,LAC,Aves,mtInv+F+I+G4,1
control,m2,LAC,Aves,PMB+I,1
control,m2,LAC,Green Plant,cpREV+F+G4,1
control,m2,LAC,Green Plant,cpREV+F+I+G4,1
control,m2,LAC,Green Plant,rtREV+F+I+G4,1
control,m2,LAC,Yeast,cpREV+F+G4,1
control,m2,LAC,Yeast,Dayhoff+F+I+G4,1
control,m2,LAC,Yeast,DCMut+F+I+G4,1
control,m2,LAC,Yeast,mtInv+F+I+G4,1
control,m2,LAC,Yeast,rtREV+F+G4,1
control,m2,LAC,Spiralia,DCMut+F+I+G4,1
control,m2,LAC,Spiralia,rtREV+F+I+G4,1
control,m2,NP,Lassa Virus,Dayhoff+F+I+G4,1
control,m2,NP,Lassa Virus,DCMut+F+I+G4,1
control,m2,NP,Opisthokonta,rtREV+F+G4,1
control,m2,NP,Ray-finned fish,rtREV+F+I+G4,1
control,m2,NP,Yeast,Dayhoff+F+G4,1
control,m2,NP,Yeast,Dayhoff+F+I+G4,1
control,m2,NP,Yeast,rtREV+F+G4,1
control,m2,NP,Yeast,rtREV+G4,1
control,m2,NP,Yeast,rtREV+I+G4,1
control,m2,NP,Spiralia,rtREV+G4,1
control,m2,HA,Lassa Virus,rtREV+G4,2
control,m2,HA,Opisthokonta,Dayhoff+F+G4,2
