type,name,tree,repl,pogofit,hb,q1,q2,q3,q4,q5,poisson,true
rtree,NP,0.03,1,0.5020,1.0000,1.0000,0.9930,0.9980,0.9990,0.5240,0.9930,0.9870
rtree,NP,0.03,2,0.9910,0.9550,0.9930,0.5090,0.4880,0.9910,1.0000,0.9910,0.9980
rtree,NP,0.03,3,1.0000,0.6060,1.0000,0.5380,0.8800,1.0000,0.9850,1.0000,1.0000
rtree,NP,0.03,4,0.9900,0.9900,1.0000,1.0000,0.4920,0.9990,0.5340,0.9980,1.0000
rtree,NP,0.03,5,0.5270,0.9960,0.9520,0.9990,0.5410,1.0000,0.9990,0.6780,0.9980
rtree,NP,0.03,6,0.9930,0.5090,1.0000,0.9880,0.5180,0.9980,1.0000,1.0000,0.9970
rtree,NP,0.03,7,0.9850,0.4840,0.9880,1.0000,1.0000,0.9950,0.5290,0.9990,0.9850
rtree,NP,0.03,8,0.9730,0.5100,1.0000,1.0000,0.9970,0.9930,0.8730,0.9960,0.5020
rtree,NP,0.03,9,0.9050,1.0000,1.0000,0.9610,0.9840,0.9970,0.5220,0.5020,1.0000
rtree,NP,0.03,10,1.0000,0.9910,1.0000,1.0000,0.9790,1.0000,0.9940,0.5360,0.5040
rtree,NP,0.03,11,0.9890,0.9890,1.0000,0.5080,0.9990,1.0000,1.0000,0.5090,0.5170
rtree,NP,0.03,12,0.9940,0.5120,1.0000,0.9960,0.5290,0.9910,0.9900,0.9950,0.9990
rtree,NP,0.03,13,0.9990,0.8490,1.0000,0.9980,0.6580,0.8540,0.2420,0.6580,0.6580
rtree,NP,0.03,14,0.9890,0.9710,1.0000,0.5430,0.9970,0.9890,0.9970,0.9310,0.5200
rtree,NP,0.03,15,1.0000,1.0000,1.0000,0.5030,0.9970,0.9910,0.5190,1.0000,0.9960
rtree,NP,0.03,16,0.8210,1.0000,0.8220,0.6680,0.6700,0.5460,0.6670,0.6680,0.5470
rtree,NP,0.03,17,0.9870,0.9890,1.0000,0.9990,0.5080,0.9870,1.0000,0.5080,0.9850
rtree,NP,0.03,18,0.7950,0.9570,1.0000,1.0000,0.3740,0.7580,0.9960,0.9930,0.9970
rtree,NP,0.03,19,0.9760,1.0000,0.9700,0.5050,0.8530,0.9850,0.5150,0.9900,0.9400
rtree,NP,0.03,20,0.9740,0.9930,1.0000,0.5010,0.5270,0.5100,0.5270,0.7620,0.7950
rtree,NP,0.3,1,0.4910,1.0000,1.0000,0.9930,0.9920,0.5070,0.9940,0.9950,0.9900
rtree,NP,0.3,2,0.9890,0.8200,0.4920,0.9960,0.9970,1.0000,1.0000,0.6080,0.9980
rtree,NP,0.3,3,0.9740,0.4960,1.0000,0.9860,0.9980,0.9750,0.9950,0.5020,0.9940
rtree,NP,0.3,4,0.9800,0.5080,1.0000,0.9960,0.9980,0.9970,0.9750,0.9980,0.4950
rtree,NP,0.3,5,0.9900,0.9820,1.0000,0.4960,0.9900,0.9920,0.9870,0.9870,0.4990
rtree,NP,0.3,6,0.9940,0.9060,1.0000,0.5080,1.0000,0.9930,0.9960,0.4900,0.9920
rtree,NP,0.3,7,0.5130,0.9710,1.0000,0.9950,0.9810,0.9850,0.9930,0.5010,0.9930
rtree,NP,0.3,8,0.4860,0.9830,1.0000,0.5070,0.8390,0.9810,0.9940,0.9730,0.9860
rtree,NP,0.3,9,0.9970,0.4880,1.0000,0.9950,0.5200,0.9950,0.9950,0.9880,0.9920
rtree,NP,0.3,10,0.5100,0.9940,1.0000,0.4840,0.9910,0.9880,0.9810,0.9920,0.9560
rtree,NP,0.3,11,0.4960,0.5000,1.0000,0.9790,0.9900,0.6300,0.9900,0.8930,0.9820
rtree,NP,0.3,12,0.4980,0.9550,1.0000,0.5000,0.9240,0.9760,0.9910,0.9960,0.9870
rtree,NP,0.3,13,0.9980,0.9990,1.0000,0.4960,0.9940,0.9970,0.5030,0.9980,0.9980
rtree,NP,0.3,14,0.9810,0.9790,1.0000,0.4960,0.8350,0.9950,0.9860,0.5010,0.9040
rtree,NP,0.3,15,0.9970,0.5220,1.0000,0.5210,0.9980,0.9980,0.4880,0.9810,0.9980
rtree,NP,0.3,16,0.5020,0.9990,1.0000,0.4980,0.9870,0.9970,0.9840,0.9950,0.9390
