name,bic,model_name,modelm
PF01676,11838.297,Blosum62+I+G4,1
PF01676,12117.275,DCMut+G4,2
PF01676,12336.502,WAG+F,3
PF01676,12682.665,DCMut+F,4
PF01676,13615.701,mtMAM,5
PF00756,22796.571,WAG+I+G4,1
PF00756,23037.133,PMB+I,2
PF00756,23269.682,JTTDCMut+F+I,3
PF00756,23867.88,HIVb,4
PF00756,25375.71,mtMAM,5
PF05188,25764.963,LG+G4,1
PF05188,26097.162,VT+F+I,2
PF05188,26290.425,JTTDCMut+F+I,3
PF05188,26792.106,FLU+I,4
PF05188,28233.699,mtMAM+I,5
PF07732,43667.193,LG+I+G4,1
PF07732,44626.588,DCMut+F+G4,2
PF07732,45516.608,LG+F,3
PF07732,46747.497,mtVer+G4,4
PF07732,50618.27,mtMAM,5
PF02210,125617.923,WAG+F+G4,1
PF02210,126829.59,FLU+G4,2
PF02210,128845.19,cpREV+F+I,3
PF02210,131278.999,HIVb+F+I,4
PF02210,138984.093,mtART+I,5
PF02441,20034.323,LG+G4,1
PF02441,20435.602,DCMut+I+G4,2
PF02441,20719.628,rtREV+F,3
PF02441,21242.416,mtREV+F,4
PF02441,22803.713,mtMAM,5
PF04151,52916.375,WAG+F+G4,1
PF04151,53570.02,cpREV+G4,2
PF04151,54039.506,DCMut+F+I,3
PF04151,55445.764,mtMAM+F+I+G4,4
PF04151,58942.801,mtMAM+I,5
PF07452,13024.056,VT+G4,1
PF07452,13148.756,cpREV+F+G4,2
PF07452,13242.863,Dayhoff,3
PF07452,13559.383,mtZOA+F,4
PF07452,14363.346,mtART,5
PF00107,68217.17,PMB+G4,1
PF00107,69485.884,JTT+F+G4,2
PF00107,70468.1,HIVb+F+I+G4,3
PF00107,72342.463,HIVw+F+I+G4,4
PF00107,76534.677,mtMAM+I,5
PF01243,51103.212,LG+G4,1
PF01243,51810.862,Blosum62,2
PF01243,52540.335,JTT,3
PF01243,54028.209,mtZOA+F+I,4
PF01243,57892.433,mtMAM+I,5
PF00516,24976.441,FLU+G4,1
PF00516,25342.723,HIVw+G4,2
PF00516,25923.727,LG+F+I,3
PF00516,26512.831,HIVw,4
PF00516,29373.988,mtMAM,5
PF04290,16597.769,LG+F+I+G4,1
PF04290,16781.818,VT+G4,2
PF04290,16922.179,Dayhoff+F+I,3
PF04290,17181.669,mtInv+G4,4
PF04290,18222.527,HIVw,5
PF07729,56138.646,LG+F+G4,1
PF07729,57217.508,HIVb+F+I+G4,2
PF07729,58578.728,VT,3
PF07729,60304.192,Dayhoff,4
PF07729,66271.1,mtMAM+I,5
PF01551,93191.084,WAG+G4,1
PF01551,95520.688,JTT+F+G4,2
PF01551,97573.855,mtART+F+I+G4,3
PF01551,100283.172,HIVw+F+I+G4,4
PF01551,109604.308,mtMAM+I,5
PF02627,66944.218,LG+F+G4,1
PF02627,67960.396,LG+F+I,2
PF02627,68849.704,cpREV+I,3
PF02627,70972.502,mtZOA+I+G4,4
PF02627,76336.198,mtMAM+I,5
PF04542,65501.574,LG+F+G4,1
PF04542,66740.652,VT+F,2
PF04542,67502.878,cpREV+F+I,3
PF04542,69196.994,HIVb+I,4
PF04542,74719.442,mtMAM+I,5
PF05193,144854.211,VT+G4,1
PF05193,146674.444,mtInv+F+I+G4,2
PF05193,148017.55,rtREV,3
PF05193,150971.661,FLU+I,4
PF05193,159955.117,mtMAM+I,5
PF00690,42398.294,LG+G4,1
PF00690,43193.211,DCMut+G4,2
PF00690,44008.754,LG+F,3
PF00690,45036.027,mtART+I+G4,4
PF00690,48800.732,mtMAM+I,5
PF07714,119593.633,LG+I+G4,1
PF07714,121727.009,mtZOA+F+I+G4,2
PF07714,126642.316,VT,3
PF07714,128752.445,mtMAM+G4,4
PF07714,142948.115,mtMAM,5
PF02931,78014.926,WAG+F+I+G4,1
PF02931,79058.061,mtInv+F+I+G4,2
PF02931,80730.386,LG,3
PF02931,82076.328,mtInv+G4,4
PF02931,88848.216,mtMAM,5
PF00754,97351.165,VT+G4,1
PF00754,98634.772,DCMut+G4,2
PF00754,99993.672,cpREV+F,3
PF00754,101891.521,HIVb+F+I,4
PF00754,108400.604,mtMAM+I,5
PF02950,25408.08,VT+I+G4,1
PF02950,26060.607,Dayhoff+F+G4,2
PF02950,27058.986,PMB+F+I,3
PF02950,27896.993,HIVw+F+I,4
PF02950,31733.118,mtART,5
PF06863,17062.646,PMB+G4,1
PF06863,17328.223,JTTDCMut+F+G4,2
PF06863,17577.963,cpREV,3
PF06863,17916.985,mtREV+F,4
PF06863,18988.676,mtMAM,5
PF00588,81361.194,LG+I+G4,1
PF00588,83274.786,mtZOA+F+I+G4,2
PF00588,84526.367,WAG+F,3
PF00588,86843.877,HIVw+F+I+G4,4
PF00588,93586.415,mtMAM,5
PF04909,172516.489,Blosum62+F+G4,1
PF04909,175298.711,Blosum62,2
PF04909,177804.462,cpREV,3
PF04909,182072.108,HIVb+I,4
PF04909,193985.597,mtMAM+I,5
PF07983,26006.363,WAG+I+G4,1
PF07983,26619.996,LG+F+G4,2
PF07983,27203.348,FLU+F,3
PF07983,27877.625,mtVer+G4,4
PF07983,30369.228,mtMAM,5
PF01966,78991.116,Blosum62+I+G4,1
PF01966,80454.305,JTT+F+G4,2
PF01966,81796.109,HIVb+F+G4,3
PF01966,83836.443,HIVb+I,4
PF01966,89595.215,mtMAM,5
PF01750,14022.663,LG+I+G4,1
PF01750,14278.642,WAG+F+I,2
PF01750,14471.277,Dayhoff+G4,3
PF01750,14833.977,mtMet+F,4
PF01750,16015.353,mtMAM,5
PF05016,56558.196,VT+F+G4,1
PF05016,57413.203,WAG+F,2
PF05016,58060.314,JTT+F,3
PF05016,59650.263,HIVb+I,4
PF05016,64954.304,mtMAM+I,5
PF01118,74986.116,LG+I+G4,1
PF01118,76729.782,DCMut+F+G4,2
PF01118,78271.201,HIVb+I+G4,3
PF01118,80806.264,mtInv+G4,4
PF01118,89955.019,mtMAM,5
PF00571,222768.203,LG+G4,1
PF00571,226424.317,PMB,2
PF00571,229179.288,mtMet+F+G4,3
PF00571,234039.388,mtZOA+I+G4,4
PF00571,251893.727,mtMAM+I,5
PF00534,62140.54,LG+G4,1
PF00534,63100.185,DCMut+F+G4,2
PF00534,63629.548,rtREV+F+I,3
PF00534,65053.715,FLU+F,4
PF00534,68069.535,mtART+I,5
PF01827,69190.286,JTT+F+G4,1
PF01827,70067.461,HIVb+G4,2
PF01827,71600.189,mtMet+G4,3
PF01827,72223.077,mtVer+F+I,4
PF01827,76809.964,mtART+I,5
PF00555,31312.85,VT+F+G4,1
PF00555,31829.003,Blosum62+G4,2
PF00555,32364.824,VT,3
PF00555,32918.126,HIVb+F+I,4
PF00555,34728.515,mtMAM+I,5
PF00611,13157.829,LG+G4,1
PF00611,13276.524,LG+I,2
PF00611,13368.973,Dayhoff+G4,3
PF00611,13574.266,mtZOA+I+G4,4
PF00611,14242.623,mtMAM+I,5
PF01595,73147.281,LG+F+G4,1
PF01595,74432.954,Dayhoff+F+I+G4,2
PF01595,75800.906,WAG,3
PF01595,77474.039,FLU+F+I,4
PF01595,83016.452,mtMAM+I,5
PF05157,12967.873,LG+G4,1
PF05157,13093.799,WAG+I,2
PF05157,13230.874,mtMet+F+I+G4,3
PF05157,13449.431,FLU+I,4
PF05157,14258.313,mtInv+I,5
PF00733,110055.664,LG+F+I+G4,1
PF00733,111939.214,mtZOA+F+G4,2
PF00733,114399.333,rtREV+F+I,3
PF00733,117705.825,HIVb+F,4
PF00733,126829.615,mtMAM,5
PF05685,68731.079,VT+F+G4,1
PF05685,70051.8,FLU+F+G4,2
PF05685,71193.812,cpREV,3
PF05685,73230.389,mtZOA+I+G4,4
PF05685,80981.721,mtMAM+I,5
PF01432,51438.355,LG+I+G4,1
PF01432,52228.382,DCMut+F+G4,2
PF01432,52867.423,JTT+F+I,3
PF01432,54237.864,HIVw+F+I+G4,4
PF01432,58085.031,mtMAM,5
PF02779,60364.61,LG+F+G4,1
PF02779,61835.556,Blosum62+I,2
PF02779,62786.041,cpREV+I,3
PF02779,64139.42,mtMAM+F+I+G4,4
PF02779,69618.239,HIVw+I,5
PF02852,37887.804,LG+G4,1
PF02852,38698.558,JTTDCMut+F+G4,2
PF02852,39423.491,mtMet+F+I+G4,3
PF02852,40347.87,FLU+F+I,4
PF02852,43244.846,mtMAM+I,5
PF03478,20721.832,VT+F+G4,1
PF03478,21106.301,DCMut+F+I+G4,2
PF03478,21362.477,JTTDCMut,3
PF03478,21849.876,mtMet+I+G4,4
PF03478,23642.795,mtART+I,5
PF00656,111818.77,LG+G4,1
PF00656,113533.158,DCMut+G4,2
PF00656,115880.411,cpREV+I,3
PF00656,118759.021,FLU+I,4
PF00656,128384.925,mtMAM+I,5
PF04560,17379.44,LG+I+G4,1
PF04560,17759.83,Dayhoff+G4,2
PF04560,18250.854,JTTDCMut+I,3
PF04560,18651.218,rtREV,4
PF04560,19991.593,mtMAM,5
PF00306,51905.138,VT+I+G4,1
PF00306,52779.623,DCMut+G4,2
PF00306,54175.394,rtREV+F+I,3
PF00306,55646.052,FLU+F,4
PF00306,60870.611,mtMAM,5
PF07978,10539.508,LG+G4,1
PF07978,10696.805,cpREV+I+G4,2
PF07978,10816.389,JTTDCMut+F,3
PF07978,11134.364,mtMAM+F+G4,4
PF07978,11874.48,mtMAM+I,5
PF06026,30650.216,LG+I+G4,1
PF06026,31595.662,Dayhoff+F+I+G4,2
PF06026,32471.941,rtREV+F+I,3
PF06026,33484.278,mtMAM+G4,4
PF06026,37192.457,mtMAM,5
PF00226,56324.93,LG+G4,1
PF00226,58016.057,cpREV+F+G4,2
PF00226,59245.351,WAG+F+I,3
PF00226,60959.715,mtVer+I+G4,4
PF00226,67269.308,mtMAM+I,5
PF01263,89591.849,LG+I+G4,1
PF01263,91021.533,WAG,2
PF01263,92251.331,HIVb+I+G4,3
PF01263,94421.695,HIVb,4
PF01263,100977.839,mtMAM,5
PF00717,58089.787,VT+G4,1
PF00717,59268.97,DCMut+I+G4,2
PF00717,60267.138,rtREV,3
PF00717,61934.438,mtMet+I+G4,4
PF00717,67759.275,mtMAM+I,5
PF00104,124562.931,LG+F+G4,1
PF00104,126008.618,DCMut+F+I+G4,2
PF00104,127379.591,FLU+F+G4,3
PF00104,129766.472,FLU+F+I,4
PF00104,136215.427,mtMAM+I,5
PF00141,196983.373,WAG+F+G4,1
PF00141,199776.183,Dayhoff+G4,2
PF00141,206189.908,cpREV+I,3
PF00141,211578.155,mtMet+I+G4,4
PF00141,232925.249,mtMAM,5
PF01590,268016.134,VT+F+G4,1
PF01590,271527.086,Blosum62+F,2
PF01590,273888.978,JTT+I,3
PF01590,281083.64,mtZOA+F+I,4
PF01590,299443.992,mtMAM+I,5
PF03237,43457.994,Blosum62+G4,1
PF03237,43831.672,LG,2
PF03237,44406.082,mtREV+F+G4,3
PF03237,45077.881,mtART+F+I,4
PF03237,47285.072,mtMAM+I,5
PF01734,40303.104,LG+I+G4,1
PF01734,40970.436,mtREV+F+I+G4,2
PF01734,41415.56,cpREV+F,3
PF01734,42450.134,FLU+I,4
PF01734,44784.233,mtMAM,5
PF04607,35699.098,LG+I+G4,1
PF04607,36299.59,mtZOA+F+I+G4,2
PF04607,37848.99,cpREV+I,3
PF04607,38389.212,mtInv+F,4
PF04607,42350.503,mtMAM,5
PF07654,25382.187,WAG+I+G4,1
PF07654,25734.747,FLU+G4,2
PF07654,26104.614,HIVb+I+G4,3
PF07654,26837.834,HIVw+G4,4
PF07654,29170.91,mtART,5
PF00963,19524.924,WAG+F+G4,1
PF00963,19775.504,DCMut+G4,2
PF00963,19978.386,PMB+I+G4,3
PF00963,20429.183,mtMAM+F+I+G4,4
PF00963,21964.853,mtMAM+I,5
PF00120,78693.991,LG+I+G4,1
PF00120,80549.001,Dayhoff+I+G4,2
PF00120,82227.443,cpREV+I,3
PF00120,84323.617,mtMet+F,4
PF00120,90789.6,mtMAM,5
PF04397,47401.478,LG+G4,1
PF04397,48240.652,mtZOA+F+G4,2
PF04397,48764.368,rtREV+F+I,3
PF04397,49819.092,mtZOA+F,4
PF04397,53426.563,mtMAM+I,5
PF03767,25202.867,WAG+I+G4,1
PF03767,25512.746,DCMut+G4,2
PF03767,25910.799,HIVb+I+G4,3
PF03767,26552.283,FLU,4
PF03767,28361.951,mtMAM,5
PF03466,383568.505,LG+F+G4,1
PF03466,389852.042,DCMut+F+I+G4,2
PF03466,394977.828,mtVer+F+G4,3
PF03466,404016.243,HIVw+F+I+G4,4
PF03466,435621.892,mtART+I,5
PF00122,72158.466,LG+I+G4,1
PF00122,73728.99,mtZOA+F+I+G4,2
PF00122,75455.897,LG+F+I,3
PF00122,77487.123,FLU+I,4
PF00122,85038.715,mtMAM,5
PF02349,41453.297,JTT+F+G4,1
PF02349,42189.991,mtMet+F+G4,2
PF02349,42841.696,PMB+G4,3
PF02349,43380.615,HIVb+I,4
PF02349,49040.896,mtART+I,5
PF03195,6724.427,LG+I+G4,1
PF03195,6886.539,mtInv+F+I+G4,2
PF03195,7000.628,Dayhoff,3
PF03195,7108.08,FLU,4
PF03195,7725.533,mtART,5
PF01183,19570.125,WAG+F+I+G4,1
PF01183,19864.624,JTTDCMut+G4,2
PF01183,20154.944,rtREV,3
PF01183,20754.739,mtREV+F,4
PF01183,22544.698,mtMAM,5
PF02525,33046.938,LG+G4,1
PF02525,33514.872,WAG+F,2
PF02525,34013.262,cpREV+I,3
PF02525,34916.789,mtMet+F+I,4
PF02525,37786.405,mtMAM+I,5
PF00106,130796.076,WAG+F+G4,1
PF00106,134239.762,mtREV+F+G4,2
PF00106,136954.159,LG,3
PF00106,142335.583,mtMet+F+I,4
PF00106,158229.747,mtART+I,5
PF03171,51404.383,VT+G4,1
PF03171,52333.43,DCMut+G4,2
PF03171,53006.096,HIVb+F+G4,3
PF03171,54217.303,mtMet+I+G4,4
PF03171,57970.475,mtMAM+I,5
PF08032,42073.184,LG+I+G4,1
PF08032,42917.979,Dayhoff+I+G4,2
PF08032,43407.15,HIVb+G4,3
PF08032,44590.547,mtMet+F+I,4
PF08032,48038.892,mtMAM,5
PF03328,17629.674,LG+I+G4,1
PF03328,17851.532,LG+F+I,2
PF03328,18184.255,JTTDCMut+F,3
PF03328,18659.082,HIVb+F,4
PF03328,19835.462,mtMAM,5
PF02698,75658.227,LG+I+G4,1
PF02698,77032.159,DCMut+I+G4,2
PF02698,78605.113,cpREV+F+I,3
PF02698,80971.891,HIVb+I,4
PF02698,87250.939,mtMAM,5
PF00433,29133.963,VT+G4,1
PF00433,29785.756,DCMut+F+I+G4,2
PF00433,30380.812,cpREV+I,3
PF00433,31158.605,mtInv+I+G4,4
PF00433,33840.312,mtMAM+I,5
PF00246,143570.485,LG+I+G4,1
PF00246,145976.613,DCMut+G4,2
PF00246,148037.243,rtREV,3
PF00246,151923.024,mtREV+G4,4
PF00246,162213.306,mtMAM,5
PF03936,79122.861,JTT+F+G4,1
PF03936,80070.921,JTTDCMut,2
PF03936,80638.098,mtVer+F+I+G4,3
PF03936,81770.587,Dayhoff+I,4
PF03936,85946.466,mtMAM+I,5
PF01697,58322.124,VT+F+G4,1
PF01697,58932.493,rtREV+G4,2
PF01697,59712.4,cpREV+I,3
PF01697,60907.767,mtZOA+F+I,4
PF01697,64648.443,mtMAM+I,5
PF02274,43030.404,LG+I+G4,1
PF02274,43845.781,DCMut+F+G4,2
PF02274,44352.325,HIVb+I+G4,3
PF02274,45571.595,HIVb+I,4
PF02274,48734.457,mtMAM,5
PF00102,99035.823,LG+F+I+G4,1
PF00102,100297.756,mtZOA+F+G4,2
PF00102,102831.78,LG+F+I,3
PF00102,104103.038,Dayhoff,4
PF00102,112658.256,mtMAM+I,5
PF00227,108061.955,LG+G4,1
PF00227,109913.034,JTT+F+G4,2
PF00227,111407.048,JTT,3
PF00227,113719.36,mtREV+I+G4,4
PF00227,121324.103,mtMAM+I,5
PF07859,99925.947,LG+F+I+G4,1
PF07859,101848.469,DCMut+I+G4,2
PF07859,103708.055,cpREV+I,3
PF07859,106627.985,mtZOA+F,4
PF07859,115994.397,mtMAM,5
PF03129,40377.278,LG+G4,1
PF03129,41153.506,Blosum62,2
PF03129,41770.111,JTT,3
PF03129,42723.094,HIVb+I,4
PF03129,46131.523,mtMAM+I,5
PF05738,36375.64,WAG+F+G4,1
PF05738,37186.606,DCMut+G4,2
PF05738,37738.759,JTT+F+I,3
PF05738,38687.133,mtMet+F+I,4
PF05738,42016.411,mtMAM+I,5
PF01636,282193.041,Blosum62+F+G4,1
PF01636,287133.529,VT+F,2
PF01636,292281.981,LG,3
PF01636,299904.89,mtZOA+I+G4,4
PF01636,320708.569,mtMAM+I,5
PF00673,5988.753,LG+I+G4,1
PF00673,6141.516,cpREV+F+I+G4,2
PF00673,6222.128,Dayhoff+F+G4,3
PF00673,6386.924,mtZOA+F,4
PF00673,6944.947,mtMAM,5
PF07025,12956.525,LG+F+G4,1
PF07025,13152.58,rtREV+G4,2
PF07025,13321.445,mtMAM+F+G4,3
PF07025,13647.5,HIVb,4
PF07025,14705.381,mtMAM,5
PF01490,45352.975,LG+F+G4,1
PF01490,45901.723,mtZOA+I+G4,2
PF01490,46305.311,LG,3
PF01490,46937.116,mtREV+I+G4,4
PF01490,49211.759,HIVw,5
PF04172,26775.418,LG+F+G4,1
PF04172,27266.711,Dayhoff+F+I+G4,2
PF04172,27785.481,cpREV,3
PF04172,28400.506,HIVw+F+I+G4,4
PF04172,30095.802,HIVw,5
PF01039,52418.007,LG+G4,1
PF01039,53499.677,DCMut+F+I+G4,2
PF01039,54405.719,mtART+F+I+G4,3
PF01039,56399.481,HIVw+F+I+G4,4
PF01039,61427.827,mtMAM,5
PF00225,114886.794,LG+F+I+G4,1
PF00225,116522.438,mtZOA+F+I+G4,2
PF00225,121790.798,PMB+F+I,3
PF00225,124168.942,Dayhoff+F,4
PF00225,137522.766,mtMAM,5
PF01225,57692.691,LG+G4,1
PF01225,59161.456,DCMut+F+I+G4,2
PF01225,60255.02,rtREV+F+I,3
PF01225,62607.735,HIVw+F+I+G4,4
