name,m1,m2,m3,m4,m5,poisson
PF01676,1,0.793,0.768,0.761,0.33,0.773
PF00756,1,0.87,0.87,0.647,0.435,0.428
PF05188,1,0.351,0.354,0.353,0.169,0.259
PF07732,1,0.686,0.272,0.289,0.001,0.194
PF02210,1,0.278,0.384,0.05,0.002,0
PF02441,1,0.7,0.313,0.214,0.176,0.34
PF04151,1,0.567,0.775,0.139,0.004,0.017
PF07452,1,0.86,0.713,0.636,0.213,0.708
PF00107,1,0.758,0.389,0.118,0.012,0.024
PF01243,1,0.628,0.26,0.44,0.032,0.001
PF00516,1,0.722,0.487,0.629,0.442,0.462
PF04290,1,0.836,0.724,0.752,0.321,0.062
PF07729,1,0.356,0.215,0.195,0,0.001
PF01551,1,0.654,0.09,0.129,0.003,0.004
PF02627,1,0.769,0.302,0.618,0.023,0
PF04542,1,0.622,0.482,0.333,0.001,0
PF05193,1,0.546,0.247,0.179,0.001,0.023
PF00690,1,0.794,0.634,0.162,0.011,0.004
PF07714,1,0.769,0.524,0.113,0.054,0.095
PF02931,1,0.719,0.504,0.656,0.093,0.018
PF00754,1,0.464,0.312,0.083,0.001,0
PF02950,1,0.815,0.251,0.019,0.014,0.143
PF06863,1,0.558,0.707,0.529,0.392,0.425
PF00588,1,0.879,0.533,0.293,0,0.005
PF04909,1,0.456,0.439,0.117,0.002,0.016
PF07983,1,0.671,0.173,0.514,0.114,0.302
PF01966,1,0.383,0.047,0.061,0.001,0.021
PF01750,1,0.705,0.46,0.609,0.088,0.139
PF05016,1,0.712,0.385,0.141,0.005,0.005
PF01118,1,0.402,0.443,0.071,0.003,0.001
PF00571,1,0.108,0.114,0.007,0,0
PF00534,1,0.833,0.792,0.096,0.017,0.009
PF01827,1,0.657,0.274,0.069,0.002,0.009
PF00555,1,0.597,0.415,0.366,0.203,0.228
PF00611,1,0.745,0.74,0.637,0.174,0.116
PF01595,1,0.751,0.565,0.185,0.004,0.002
PF05157,1,0.633,0.735,0.8,0.286,0.338
PF00733,1,0.513,0.24,0.05,0,0.001
PF05685,1,0.548,0.184,0.095,0.007,0.028
PF01432,0.939,0.832,1,0.656,0.312,0.707
PF02779,1,0.378,0.481,0.116,0.096,0.002
PF02852,1,0.74,0.523,0.394,0.013,0.044
PF03478,1,0.727,0.55,0.337,0.039,0.068
PF00656,1,0.576,0.021,0.009,0.007,0.004
PF04560,1,0.76,0.477,0.558,0.233,0.146
PF00306,1,0.808,0.326,0.276,0.061,0.318
PF07978,1,0.95,0.977,0.315,0.121,0.254
PF06026,1,0.812,0.646,0.652,0.074,0.136
PF00226,1,0.379,0.56,0.198,0.001,0.001
PF01263,1,0.603,0.643,0.624,0.005,0.51
PF00717,1,0.508,0.344,0.107,0.002,0
PF00104,1,0.481,0.56,0.172,0.022,0.002
PF00141,1,0.842,0.445,0.248,0.013,0.012
PF01590,1,0.062,0.145,0,0,0
PF03237,1,0.78,0.359,0.253,0.26,0.317
PF01734,1,0.748,0.374,0.349,0.065,0.191
PF04607,1,0.61,0.139,0.316,0.053,0.005
PF07654,1,0.846,0.634,0.294,0.309,0.359
PF00963,1,0.706,0.727,0.487,0.302,0.247
PF00120,1,0.734,0.508,0.284,0.074,0.106
PF04397,1,0.837,0.659,0.44,0.004,0.023
PF03767,1,0.829,0.606,0.711,0.367,0.461
PF03466,1,0.27,0.021,0,0,0
PF00122,1,0.683,0.319,0.239,0.024,0.048
PF02349,1,0.718,0.311,0.349,0.011,0.11
PF03195,1,0.706,0.718,0.478,0.349,0.527
PF01183,1,0.709,0.563,0.729,0.502,0.594
PF02525,1,0.599,0.659,0.583,0.097,0.072
PF00106,1,0.083,0.249,0.012,0,0.003
PF03171,1,0.664,0.473,0.282,0.009,0.142
PF08032,1,0.81,0.656,0.094,0.018,0
PF03328,1,0.9,0.362,0.91,0.422,0.043
PF02698,1,0.64,0.217,0.008,0,0.002
PF00433,1,0.243,0.254,0.198,0.02,0.08
PF00246,1,0.737,0.692,0.275,0.015,0.004
PF03936,1,0.754,0.647,0.34,0.147,0.113
PF01697,1,0.865,0.652,0.276,0.11,0.33
PF02274,1,0.727,0.607,0.813,0.258,0.215
PF00102,1,0.695,0.381,0.176,0.02,0.23
PF00227,1,0.607,0.504,0.473,0.006,0.002
PF07859,1,0.509,0.438,0.231,0.007,0.135
PF03129,1,0.49,0.39,0.291,0.043,0
PF05738,1,0.557,0.181,0.079,0.003,0.01
PF01636,1,0.314,0.133,0.004,0,0
PF00673,1,0.834,0.805,0.833,0.562,0.059
PF07025,1,0.831,0.881,0.447,0.231,0.312
PF01490,1,0.73,0.842,0.564,0.146,0.787
PF04172,1,0.843,0.623,0.577,0.28,0.022
PF01039,1,0.739,0.763,0.594,0.153,0.178
PF00225,1,0.755,0.6,0.413,0.017,0.018
PF01225,1,0.7,0.18,0.311,0.007,0.002
PF01554,1,0.756,0.533,0.707,0.021,0.083
PF00275,1,0.738,0.738,0.627,0.024,0.358
PF01478,1,0.672,0.558,0.251,0.03,0.015
PF00355,1,0.763,0.526,0.132,0.007,0.019
PF07993,1,0.631,0.366,0.165,0.003,0.036
PF00149,1,0.405,0.072,0.031,0,0.001
PF00520,1,0.731,0.307,0.253,0.143,0.045
PF01699,1,0.491,0.125,0.368,0.002,0.001
PF02801,1,0.775,0.095,0.111,0,0.035
PF01541,1,0.529,0.506,0.241,0.005,0.037
PF06480,1,0.754,0.643,0.502,0.015,0.008
PF00581,1,0.638,0.638,0.395,0.103,0.153
PF00680,1,0.744,0.912,0.913,0.827,0.352
PF01583,1,0.925,0.802,0.675,0.654,0.165
PF00152,1,0.589,0.212,0.277,0.008,0.053
PF00117,1,0.505,0.417,0.554,0.001,0.034
PF00874,1,0.596,0.39,0.123,0,0
PF04408,1,0.292,0.168,0.243,0.016,0.004
PF00487,1,0.623,0.434,0.581,0.044,0.034
PF01850,1,0.427,0.066,0.023,0,0.019
PF05000,1,0.686,0.492,0.48,0.005,0.003
PF03144,1,0.811,0.339,0.137,0,0
PF02789,1,0.495,0.142,0.269,0.035,0.006
PF03358,1,0.95,0.964,0.439,0.096,0.641
PF01397,1,0.628,0.744,0.663,0.616,0.092
PF01627,1,0.522,0.265,0.018,0,0
PF02866,1,0.911,0.58,0.722,0.257,0.111
PF06968,1,0.896,0.909,0.237,0.034,0.219
PF03140,1,0.771,0.79,0.678,0.203,0.262
PF00156,1,0.722,0.665,0.312,0.018,0.025
PF07702,1,0.304,0.452,0.153,0.001,0
PF00990,1,0.51,0.478,0.317,0.023,0.031
PF02674,1,0.502,0.614,0.6,0.787,0.194
PF01547,1,0.781,0.242,0.327,0.033,0.004
PF02588,1,0.61,0.594,0.103,0.009,0
PF02769,1,0.701,0.406,0.099,0,0.003
PF00169,1,0.758,0.726,0.239,0.004,0.003
PF02086,1,0.931,0.444,0.579,0.026,0.108
PF04203,1,0.689,0.671,0.406,0.262,0.633
PF00111,1,0.366,0.477,0.082,0.01,0.041
PF06114,1,0.577,0.465,0.103,0.017,0.047
PF04965,1,0.784,0.715,0.551,0.553,0.905
PF07681,1,0.548,0.278,0.571,0.053,0.023
PF00135,1,0.748,0.19,0.267,0,0.006
PF04452,1,0.728,0.562,0.321,0.005,0.008
PF02142,1,0.679,0.67,0.359,0.006,0.067
PF07724,1,0.675,0.222,0.13,0.013,0.03
PF04307,1,0.733,0.315,0.575,0.281,0.063
PF02984,1,0.555,0.489,0.296,0.075,0.104
PF04043,1,0.653,0.732,0.299,0.005,0.127
PF07228,1,0.689,0.524,0.049,0.002,0
PF00856,1,0.443,0.475,0.2,0.004,0.033
PF05239,1,0.898,0.498,0.335,0.046,0.027
PF07662,1,0.745,0.716,0.278,0.376,0.241
PF02225,1,0.376,0.219,0.127,0.004,0.01
PF07686,1,0.695,0.533,0.235,0.011,0.018
PF04385,0.74,1,0.845,0.607,0.143,0.32
PF01523,1,0.677,0.341,0.635,0.38,0.281
PF03610,1,0.882,0.628,0.721,0.387,0.131
PF01909,1,0.503,0.323,0.032,0.002,0.014
PF00622,1,0.911,0.596,0.624,0.089,0.271
PF01486,1,0.754,0.603,0.538,0.512,0.048
PF01814,1,0.336,0.409,0.009,0.001,0
PF03364,1,0.551,0.686,0.177,0.021,0.04
PF00787,1,0.442,0.517,0.606,0.005,0.207
PF02826,1,0.287,0.04,0.28,0,0
PF03065,1,0.641,0.939,0.622,0.526,0.63
PF00665,1,0.513,0.287,0.027,0.004,0.018
PF06458,1,0.698,0.148,0.379,0.012,0.007
PF01521,1,0.836,0.593,0.462,0.398,0.383
PF00479,1,0.601,0.464,0.22,0.003,0.029
PF07992,1,0.484,0.483,0.028,0.002,0
PF00188,0.875,1,0.178,0.096,0,0.001
PF00912,0.788,1,0.458,0.387,0.036,0.017
PF03958,1,0.66,0.375,0.187,0,0.001
PF07738,1,0.725,0.697,0.646,0.142,0.243
PF03793,1,0.615,0.401,0.086,0,0.002
PF00254,1,0.752,0.426,0.259,0.067,0.057
PF00579,0.964,1,0.745,0.403,0.177,0.371
PF04776,1,0.84,0.778,0.67,0.368,0.744
PF01155,1,0.61,0.737,0.235,0.149,0.823
PF00953,1,0.648,0.533,0.765,0.506,0.192
PF00916,1,0.715,0.596,0.687,0.4,0.349
PF01678,1,0.861,0.86,0.705,0.447,0.298
PF01464,1,0.842,0.149,0.093,0.142,0.168
PF03797,1,0.616,0.323,0.043,0,0
PF00389,1,0.678,0.691,0.104,0.01,0.004
PF00168,1,0.385,0.296,0.087,0,0
PF00501,1,0.83,0.187,0.27,0,0
PF00208,1,0.833,0.273,0.173,0.046,0.016
PF00109,1,0.56,0.522,0.186,0.01,0
PF00977,1,0.36,0.459,0.018,0,0
PF00270,1,0.367,0.227,0.265,0.003,0.002
PF00328,1,0.804,0.407,0.04,0,0.175
PF03947,1,0.453,0.36,0.458,0.392,0.195
PF00237,0.886,0.843,1,0.705,0.31,0.736
PF06426,1,0.826,0.894,0.819,0.178,0.147
PF00173,1,0.656,0.783,0.649,0.075,0.107
PF02470,1,0.578,0.303,0.055,0.004,0.001
PF03734,1,0.703,0.784,0.461,0.466,0.524
PF02734,1,0.448,0.491,0.15,0.037,0.125
PF03061,1,0.442,0.607,0.146,0.015,0
PF06969,1,0.701,0.319,0.29,0.005,0.012
PF00482,1,0.759,0.415,0.162,0,0
PF01546,1,0.489,0.34,0.045,0,0.001
PF01602,1,0.809,0.809,0.809,0.374,0.204
PF00112,1,0.879,0.739,0.3,0.02,0.01
PF07703,1,0.581,0.753,0.507,0.201,0.106
PF03710,1,0.932,0.718,0.722,0.079,0.544
