name,model,boot,in_true
PF01676,poisson,100,TRUE
PF01676,poisson,68,TRUE
PF01676,poisson,87,TRUE
PF01676,poisson,98,TRUE
PF01676,poisson,89,TRUE
PF01676,poisson,59,TRUE
PF01676,poisson,98,TRUE
PF01676,poisson,100,TRUE
PF01676,poisson,40,FALSE
PF01676,poisson,77,TRUE
PF01676,poisson,35,TRUE
PF01676,poisson,50,TRUE
PF01676,poisson,55,TRUE
PF01676,poisson,99,TRUE
PF01676,poisson,97,TRUE
PF01676,poisson,62,TRUE
PF01676,poisson,71,TRUE
PF01676,poisson,77,TRUE
PF01676,poisson,86,FALSE
PF01676,poisson,73,FALSE
PF01676,poisson,100,TRUE
PF01676,poisson,83,TRUE
PF01676,poisson,89,TRUE
PF01676,poisson,99,TRUE
PF01676,poisson,94,TRUE
PF01676,m5,100,TRUE
PF01676,m5,75,TRUE
PF01676,m5,94,TRUE
PF01676,m5,97,TRUE
PF01676,m5,75,TRUE
PF01676,m5,91,TRUE
PF01676,m5,74,TRUE
PF01676,m5,99,TRUE
PF01676,m5,56,FALSE
PF01676,m5,49,FALSE
PF01676,m5,42,FALSE
PF01676,m5,71,TRUE
PF01676,m5,54,TRUE
PF01676,m5,93,TRUE
PF01676,m5,87,TRUE
PF01676,m5,96,TRUE
PF01676,m5,80,TRUE
PF01676,m5,72,TRUE
PF01676,m5,80,FALSE
PF01676,m5,75,TRUE
PF01676,m5,51,TRUE
PF01676,m5,100,TRUE
PF01676,m5,54,TRUE
PF01676,m5,95,TRUE
PF01676,m5,100,FALSE
PF01676,m4,71,TRUE
PF01676,m4,69,TRUE
PF01676,m4,100,TRUE
PF01676,m4,77,FALSE
PF01676,m4,100,TRUE
PF01676,m4,94,TRUE
PF01676,m4,98,TRUE
PF01676,m4,84,TRUE
PF01676,m4,95,TRUE
PF01676,m4,94,TRUE
PF01676,m4,100,TRUE
PF01676,m4,63,TRUE
PF01676,m4,58,TRUE
PF01676,m4,53,FALSE
PF01676,m4,63,TRUE
PF01676,m4,48,TRUE
PF01676,m4,96,TRUE
PF01676,m4,95,TRUE
PF01676,m4,49,FALSE
PF01676,m4,95,TRUE
PF01676,m4,90,TRUE
PF01676,m4,72,FALSE
PF01676,m4,93,FALSE
PF01676,m4,99,TRUE
PF01676,m4,50,FALSE
PF01676,m1,100,TRUE
PF01676,m1,74,TRUE
PF01676,m1,98,TRUE
PF01676,m1,97,TRUE
PF01676,m1,61,TRUE
PF01676,m1,95,TRUE
PF01676,m1,99,TRUE
PF01676,m1,100,TRUE
PF01676,m1,72,TRUE
PF01676,m1,52,TRUE
PF01676,m1,49,TRUE
PF01676,m1,65,TRUE
PF01676,m1,62,TRUE
PF01676,m1,96,TRUE
PF01676,m1,94,TRUE
PF01676,m1,88,TRUE
PF01676,m1,82,TRUE
PF01676,m1,57,TRUE
PF01676,m1,71,TRUE
PF01676,m1,66,TRUE
PF01676,m1,100,TRUE
PF01676,m1,54,TRUE
PF01676,m1,58,TRUE
PF01676,m1,96,TRUE
PF01676,m1,78,TRUE
PF01676,m2,75,TRUE
PF01676,m2,46,FALSE
PF01676,m2,100,TRUE
PF01676,m2,46,FALSE
PF01676,m2,100,TRUE
PF01676,m2,75,TRUE
PF01676,m2,96,TRUE
PF01676,m2,77,FALSE
PF01676,m2,96,TRUE
PF01676,m2,98,TRUE
PF01676,m2,98,TRUE
PF01676,m2,100,TRUE
PF01676,m2,58,TRUE
PF01676,m2,53,TRUE
PF01676,m2,38,TRUE
PF01676,m2,57,TRUE
PF01676,m2,57,TRUE
PF01676,m2,96,TRUE
PF01676,m2,96,TRUE
PF01676,m2,88,TRUE
PF01676,m2,83,TRUE
PF01676,m2,44,FALSE
PF01676,m2,70,FALSE
PF01676,m2,96,TRUE
PF01676,m2,64,TRUE
PF01676,m3,75,TRUE
PF01676,m3,82,TRUE
PF01676,m3,100,TRUE
PF01676,m3,70,FALSE
PF01676,m3,100,TRUE
PF01676,m3,57,TRUE
PF01676,m3,97,TRUE
PF01676,m3,100,TRUE
PF01676,m3,91,TRUE
PF01676,m3,93,TRUE
PF01676,m3,96,TRUE
PF01676,m3,100,TRUE
PF01676,m3,63,TRUE
PF01676,m3,37,TRUE
PF01676,m3,22,TRUE
PF01676,m3,52,TRUE
PF01676,m3,47,TRUE
PF01676,m3,98,TRUE
PF01676,m3,93,TRUE
PF01676,m3,92,TRUE
PF01676,m3,83,TRUE
PF01676,m3,66,FALSE
PF01676,m3,80,FALSE
PF01676,m3,99,TRUE
PF01676,m3,60,TRUE
PF01676,GTR20,69,TRUE
PF01676,GTR20,73,TRUE
PF01676,GTR20,100,TRUE
PF01676,GTR20,65,FALSE
PF01676,GTR20,100,TRUE
PF01676,GTR20,83,TRUE
PF01676,GTR20,97,TRUE
PF01676,GTR20,100,TRUE
PF01676,GTR20,87,TRUE
PF01676,GTR20,87,TRUE
PF01676,GTR20,99,TRUE
PF01676,GTR20,100,TRUE
PF01676,GTR20,67,FALSE
PF01676,GTR20,69,TRUE
PF01676,GTR20,50,TRUE
PF01676,GTR20,95,TRUE
PF01676,GTR20,83,TRUE
PF01676,GTR20,98,TRUE
