name,model,optim,logl,k,AIC,AICc,BIC,rf_r1,wrf_r1,treelength
PF00102,poisson,inferredtree,-54036.2426,219,108510.4852,108927.6281,109410.8966,72,45.57048700479999,61.49478593460001
PF00102,r1,inferredtree,-48572.3852,240,97624.7704,98175.6275,98611.5225,0,0.0,98.75069515320003
PF00102,r2,inferredtree,-50340.7414,219,101119.4828,101536.6257,102019.8942,72,38.22599600070002,67.6776836617
PF00102,r3,inferredtree,-51930.0635,221,104302.1269,104730.6160,105210.7612,64,32.77830093709999,121.9917975427
PF00102,r4,inferredtree,-53436.2569,219,107310.5137,107727.6566,108210.9251,82,25.258828297399994,103.27222856379997
PF00102,r5,inferredtree,-55359.8440,220,111159.6880,111582.4706,112064.2108,90,60.66182745779997,145.38346431539998
PF00102,poisson,optimizedtruetree,-54125.4764,219,108688.9529,109106.0958,109589.3642,0,37.626734627700024,62.00883995499997
PF00102,r1,optimizedtruetree,-48572.3852,240,97624.7703,98175.6275,98611.5225,0,0.0,98.75084207890005
PF00102,r2,optimizedtruetree,-50380.9754,219,101199.9509,101617.0937,102100.3622,0,31.29743498810001,68.09507088239997
PF00102,r3,optimizedtruetree,-52005.7496,221,104453.4992,104881.9883,105362.1335,0,23.789402449899992,119.65600521520003
PF00102,r4,optimizedtruetree,-53577.5543,219,107593.1085,108010.2514,108493.5199,0,13.158387086699998,104.15852368240004
PF00102,r5,optimizedtruetree,-55543.2581,220,111526.5162,111949.2988,112431.0390,0,51.1156643352,147.4996725655
PF00104,poisson,inferredtree,-67129.6358,347,134953.2715,376465.2715,136277.8091,100,55.2702711978,97.74827265650002
PF00104,r1,inferredtree,-60913.2064,367,122560.4127,392672.4127,123961.2925,0,0.0,139.17620617390006
PF00104,r2,inferredtree,-62377.5997,367,125489.1994,395601.1994,126890.0792,76,39.86058293090003,108.34108950419996
PF00104,r3,inferredtree,-63776.1554,348,128248.3109,371152.3109,129576.6656,90,25.935604046399984,141.4927252801
PF00104,r4,inferredtree,-65274.4419,349,131246.8837,375546.8837,132579.0555,86,30.844317859899984,147.32229494719996
PF00104,r5,inferredtree,-66743.7518,348,134183.5035,377087.5035,135511.8582,110,117.93445514680003,239.71516148869995
PF00104,poisson,optimizedtruetree,-67220.7943,347,135135.5885,376647.5885,136460.1261,0,43.39996349090001,98.45178298319999
PF00104,r1,optimizedtruetree,-60913.2111,367,122560.4223,392672.4223,123961.3021,0,0.0,139.37910016310008
PF00104,r2,optimizedtruetree,-62413.3072,367,125560.6145,395672.6145,126961.4942,0,31.391981740099997,108.97053882799997
PF00104,r3,optimizedtruetree,-63862.5685,348,128421.1371,371325.1371,129749.4918,0,13.515176162499998,143.09109114859996
PF00104,r4,optimizedtruetree,-65365.7363,349,131429.4726,375729.4726,132761.6444,0,23.887015144500005,154.8500059933998
PF00104,r5,optimizedtruetree,-66848.2992,348,134392.5984,377296.5984,135720.9530,0,104.2367762443,241.86929204979995
PF00106,poisson,inferredtree,-71693.7389,519,144425.4779,684185.4779,146182.0308,298,37.227801230600015,101.36238512269998
PF00106,r1,inferredtree,-63168.6960,539,127415.3921,709535.3921,129239.6349,0,0.0,105.01860860609992
PF00106,r2,inferredtree,-66365.3288,539,133808.6576,715928.6576,135632.9004,258,255.38749831280006,346.28453423289943
PF00106,r3,inferredtree,-69982.9730,520,141005.9461,682845.9461,142765.8835,294,71.5046451649,158.2819095242001
PF00106,r4,inferredtree,-73362.5223,519,147763.0446,687523.0446,149519.5975,280,67.69512099230006,156.07490252280002
PF00106,r5,inferredtree,-76445.0611,520,153930.1222,695770.1222,155690.0596,306,132.19671842459988,220.16287438309988
PF00106,poisson,optimizedtruetree,-72107.9232,519,145253.8463,685013.8463,147010.3993,0,17.238350944699974,104.4854094011001
PF00106,r1,optimizedtruetree,-63168.6961,539,127415.3922,709535.3922,129239.6350,0,0.0,105.01683812680001
